Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1995,16.29,17.26,20.47,17.48,20.47,20.48,20.47
1996,16.53,17.49,20.68,17.71,20.68,20.70,20.68
1997,16.69,17.65,20.78,17.87,20.78,20.81,20.78
1998,16.67,17.66,20.88,17.87,20.88,20.90,20.88
1999,16.65,17.59,20.70,17.83,20.70,20.74,20.70
2000,16.66,17.64,20.81,17.82,20.81,20.82,20.81
2001,16.73,17.72,20.94,17.87,20.94,20.92,20.94
2002,16.70,17.67,20.82,17.85,20.82,20.83,20.82
2003,16.92,17.87,20.95,18.07,20.95,20.99,20.95
2004,17.14,18.06,21.11,18.30,21.11,21.15,21.11
2005,16.88,17.86,21.06,18.08,21.06,21.08,21.06
2006,16.72,17.67,20.77,17.92,20.77,20.83,20.77
2007,16.92,17.91,21.11,18.08,21.11,21.10,21.11
2008,17.14,18.10,21.21,18.27,21.21,21.21,21.21
2009,17.18,18.13,21.26,18.33,21.26,21.28,21.26
2010,17.26,18.19,21.24,18.37,21.24,21.25,21.24
2011,17.11,18.08,21.24,18.26,21.24,21.25,21.24
2012,17.13,18.11,21.33,18.35,21.33,21.37,21.33
2013,17.03,17.99,21.12,18.17,21.12,21.13,21.12
2014,17.38,18.34,21.43,18.54,21.43,21.46,21.43
