Variable:,tas
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1995,14.71,14.05,16.32,17.45,11.99,18.41,16.77,13.60,18.70,17.20,15.32,14.48,17.08,18.71
1996,14.88,14.11,16.61,17.63,12.17,18.56,16.95,13.73,18.92,17.45,15.58,14.69,17.30,18.97
1997,15.13,14.45,16.89,17.85,12.37,18.90,17.18,14.01,19.04,17.62,15.84,14.93,17.52,19.07
1998,14.85,14.16,16.56,17.60,12.10,18.75,17.00,13.67,18.88,17.40,15.51,14.71,17.27,18.92
1999,14.90,14.18,16.53,17.68,12.21,18.74,17.03,13.82,18.75,17.46,15.55,14.77,17.14,18.78
2000,15.14,14.50,16.78,17.85,12.46,18.88,17.18,14.05,18.94,17.62,15.77,14.95,17.44,18.99
2001,15.05,14.41,16.62,17.79,12.42,18.84,17.18,14.01,18.92,17.52,15.62,14.80,17.33,18.92
2002,14.98,14.36,16.62,17.68,12.31,18.71,17.01,13.87,18.88,17.49,15.60,14.75,17.41,18.96
2003,15.27,14.60,16.90,17.94,12.57,18.99,17.36,14.20,19.11,17.71,15.91,15.03,17.55,19.18
2004,15.47,14.80,17.18,18.18,12.71,19.06,17.46,14.41,19.27,17.98,16.16,15.29,17.82,19.32
2005,15.35,14.63,17.04,18.12,12.66,19.11,17.43,14.26,19.21,17.90,16.02,15.13,17.68,19.32
2006,15.32,14.52,16.97,18.11,12.68,19.05,17.42,14.27,19.11,17.84,16.00,15.18,17.59,19.17
2007,15.35,14.66,16.98,18.06,12.75,19.10,17.44,14.26,19.25,17.82,15.99,15.15,17.67,19.28
2008,15.50,14.82,17.15,18.26,12.86,19.34,17.68,14.44,19.28,17.99,16.16,15.32,17.77,19.34
2009,15.37,14.71,17.08,18.05,12.62,19.05,17.42,14.25,19.33,17.87,16.01,15.14,17.81,19.41
2010,15.42,14.67,17.13,18.25,12.69,19.26,17.58,14.27,19.31,18.01,16.14,15.26,17.77,19.39
2011,15.67,15.12,17.17,18.20,12.94,19.19,17.63,14.72,19.34,17.92,16.25,15.54,17.85,19.41
2012,15.67,15.13,17.41,18.16,12.85,19.15,17.46,14.61,19.52,18.11,16.26,15.35,18.20,19.68
2013,15.65,15.01,17.35,18.36,12.92,19.30,17.65,14.50,19.42,18.17,16.35,15.50,17.96,19.51
2014,15.62,14.94,17.30,18.20,12.86,19.15,17.51,14.61,19.39,18.03,16.26,15.42,17.94,19.50
