Variable:,tas
,"Czech Republic",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1995,9.09,8.73,9.77,9.00,9.02,9.29,9.00,9.30,8.92
1996,8.94,8.60,9.51,8.89,8.95,9.03,8.89,9.17,8.79
1997,8.94,8.68,9.55,8.92,8.92,9.02,8.91,9.17,8.86
1998,9.32,8.96,9.89,9.29,9.32,9.34,9.27,9.57,9.13
1999,9.41,9.14,10.05,9.42,9.39,9.47,9.41,9.66,9.32
2000,9.39,9.05,10.09,9.39,9.41,9.57,9.37,9.61,9.30
2001,9.44,9.10,10.13,9.38,9.39,9.67,9.37,9.61,9.35
2002,9.12,8.70,9.78,8.93,9.00,9.37,8.96,9.36,8.90
2003,9.69,9.28,10.32,9.60,9.58,9.88,9.58,9.92,9.35
2004,9.32,8.82,9.95,9.21,9.29,9.54,9.17,9.49,9.05
2005,9.58,9.34,10.26,9.57,9.55,9.75,9.57,9.77,9.58
2006,9.82,9.41,10.41,9.75,9.74,9.99,9.74,10.04,9.66
2007,9.42,9.14,10.15,9.35,9.31,9.66,9.35,9.64,9.24
2008,9.68,9.46,10.35,9.65,9.62,9.84,9.64,9.88,9.57
2009,9.76,9.46,10.42,9.67,9.65,9.93,9.68,10.00,9.58
2010,9.97,9.48,10.56,9.84,9.92,10.12,9.84,10.19,9.73
2011,9.86,9.49,10.46,9.83,9.87,10.00,9.81,10.06,9.73
2012,9.51,9.12,10.19,9.40,9.43,9.74,9.39,9.74,9.26
2013,9.73,9.39,10.33,9.63,9.64,9.86,9.65,9.98,9.56
2014,9.81,9.50,10.44,9.77,9.78,9.89,9.77,10.07,9.67
