Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1995,20.82,25.91,25.27,15.73,14.32,14.09,8.15,8.15,24.04,17.09
1996,21.11,26.14,25.53,16.02,14.40,14.20,8.41,8.31,24.46,17.50
1997,21.50,26.45,25.91,16.41,14.80,14.58,8.71,8.68,24.92,17.85
1998,21.26,26.31,25.74,16.13,14.59,14.37,8.56,8.50,24.57,17.57
1999,21.09,26.18,25.55,16.04,14.51,14.31,8.43,8.40,24.33,17.51
2000,21.19,26.16,25.57,16.18,14.65,14.42,8.58,8.52,24.49,17.61
2001,21.44,26.59,25.87,16.29,14.78,14.63,8.76,8.72,24.73,17.58
2002,21.41,26.47,25.87,16.27,14.75,14.60,8.73,8.66,24.68,17.63
2003,21.42,26.51,25.88,16.37,14.88,14.70,8.81,8.73,24.64,17.78
2004,21.68,26.75,26.15,16.59,15.03,14.80,8.99,8.91,24.96,17.90
2005,21.46,26.49,25.87,16.59,14.95,14.75,8.98,8.91,24.64,18.07
2006,21.32,26.38,25.75,16.28,14.81,14.63,8.71,8.73,24.53,17.59
2007,21.47,26.38,25.88,16.40,14.89,14.68,8.82,8.90,24.77,17.65
2008,21.63,26.74,26.02,16.57,15.03,14.91,9.16,9.06,24.85,17.88
2009,21.69,26.67,26.05,16.55,14.92,14.75,8.99,8.91,25.11,18.06
2010,21.63,26.56,25.95,16.80,15.15,14.90,9.19,9.18,24.86,18.13
2011,21.76,26.72,26.12,16.68,15.11,14.95,9.13,9.03,25.11,18.13
2012,21.93,26.92,26.31,16.82,15.19,14.97,9.11,9.18,25.34,18.24
2013,21.84,26.98,26.40,16.60,15.12,15.07,9.14,9.09,25.07,17.85
2014,21.93,27.08,26.44,16.71,15.21,14.97,9.10,9.08,25.26,17.97
