Variable:,tas
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
1995,3.01,4.77,9.04,1.17,1.12,2.75,-0.16,1.85,2.43
1996,3.21,4.92,9.28,1.40,1.29,2.98,0.01,2.04,2.65
1997,3.09,4.83,9.24,1.20,1.12,2.88,-0.08,1.97,2.54
1998,3.17,4.90,9.19,1.32,1.22,2.90,0.07,2.05,2.60
1999,3.50,5.35,9.50,1.73,1.67,3.26,0.30,2.44,3.00
2000,3.56,5.32,9.56,1.82,1.80,3.17,0.45,2.42,2.96
2001,3.62,5.36,9.72,1.86,1.79,3.35,0.47,2.48,3.07
2002,3.75,5.63,9.64,1.95,1.89,3.38,0.62,2.59,3.18
2003,3.37,5.15,9.40,1.59,1.51,3.09,0.26,2.19,2.78
2004,3.80,5.56,9.81,2.06,1.98,3.33,0.65,2.74,3.30
2005,3.65,5.42,9.62,1.81,1.70,3.36,0.46,2.52,3.11
2006,3.83,5.72,9.89,1.96,2.06,3.52,0.65,2.66,3.24
2007,3.94,5.64,9.98,2.14,1.89,3.68,0.76,2.92,3.50
2008,3.65,5.38,9.62,1.88,1.73,3.28,0.56,2.57,3.11
2009,3.99,5.76,9.96,2.27,2.22,3.59,0.84,2.85,3.37
2010,3.97,5.90,10.09,2.05,2.13,3.69,0.78,2.84,3.41
2011,3.97,5.83,10.02,2.16,2.13,3.65,0.77,2.87,3.43
2012,4.22,5.95,10.19,2.54,2.33,3.85,1.06,3.14,3.72
2013,3.95,5.61,10.03,2.17,2.06,3.81,0.65,2.84,3.43
2014,3.91,5.68,9.96,2.07,2.03,3.60,0.70,2.76,3.35
