Variable:,tas
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1995,13.32,14.84,14.15,14.07,15.88,15.13,14.22,13.10,13.20,13.78,13.05
1996,13.41,15.09,14.34,14.23,16.24,15.41,14.46,13.16,13.33,14.03,13.13
1997,13.42,15.16,14.23,14.21,16.35,15.49,14.55,13.17,13.35,14.10,13.13
1998,13.40,15.03,14.26,14.18,16.16,15.35,14.46,13.15,13.32,14.04,13.10
1999,13.46,15.08,14.23,14.21,16.18,15.39,14.56,13.23,13.44,14.18,13.21
2000,13.58,15.33,14.38,14.39,16.50,15.66,14.76,13.34,13.52,14.30,13.33
2001,13.86,15.45,14.70,14.63,16.53,15.75,14.90,13.62,13.81,14.51,13.60
2002,13.55,15.22,14.36,14.33,16.32,15.53,14.70,13.32,13.54,14.31,13.33
2003,13.74,15.39,14.52,14.51,16.49,15.70,14.87,13.49,13.70,14.46,13.50
2004,13.79,15.47,14.58,14.56,16.61,15.79,14.86,13.53,13.70,14.40,13.53
2005,13.82,15.48,14.64,14.61,16.61,15.80,14.86,13.59,13.75,14.42,13.55
2006,13.71,15.42,14.54,14.53,16.55,15.74,14.89,13.52,13.74,14.50,13.49
2007,13.63,15.25,14.41,14.39,16.35,15.56,14.73,13.44,13.60,14.33,13.38
2008,13.76,15.43,14.52,14.53,16.55,15.74,14.83,13.56,13.72,14.40,13.52
2009,13.78,15.52,14.51,14.55,16.65,15.84,14.93,13.55,13.76,14.48,13.58
2010,13.95,15.69,14.78,14.77,16.86,16.02,15.06,13.69,13.86,14.58,13.69
2011,13.83,15.51,14.70,14.64,16.66,15.83,14.90,13.56,13.70,14.43,13.54
2012,13.94,15.61,14.65,14.68,16.73,15.92,15.07,13.71,13.90,14.65,13.70
2013,14.05,15.85,14.93,14.91,17.04,16.18,15.21,13.76,13.94,14.69,13.81
2014,14.01,15.66,14.80,14.80,16.74,15.96,15.16,13.79,14.03,14.79,13.81
