Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1995,6.49,6.64,7.21,6.18,6.74,6.57,6.30,7.02,7.13,6.58,6.95,7.27,6.49,6.82,6.81,6.85,6.31
1996,6.53,6.71,7.38,6.24,6.76,6.58,6.35,7.14,7.17,6.43,7.00,7.42,6.48,6.65,6.82,6.55,6.25
1997,6.56,6.70,7.38,6.13,6.85,6.74,6.30,7.17,7.29,6.58,7.10,7.42,6.65,6.77,6.96,6.63,6.45
1998,7.22,7.52,7.99,6.92,7.38,7.16,7.11,7.73,7.67,7.02,7.59,8.02,7.07,7.23,7.35,7.13,6.86
1999,6.57,6.79,7.42,6.21,6.84,6.66,6.33,7.24,7.32,6.52,7.14,7.47,6.54,6.77,6.92,6.68,6.30
2000,7.98,8.22,8.79,7.71,8.18,7.99,7.85,8.60,8.55,7.68,8.42,8.84,7.87,7.88,8.19,7.65,7.58
2001,7.39,7.52,8.11,7.04,7.64,7.55,7.19,7.90,7.98,7.43,7.81,8.16,7.47,7.55,7.71,7.48,7.29
2002,7.26,7.43,7.88,6.96,7.50,7.39,7.11,7.73,7.78,7.18,7.66,7.92,7.28,7.38,7.57,7.23,7.04
2003,7.53,7.61,8.10,7.21,7.92,7.78,7.36,7.94,8.17,7.58,7.98,8.16,7.66,7.82,8.03,7.69,7.39
2004,7.28,7.39,7.98,7.02,7.53,7.41,7.11,7.77,7.80,7.17,7.66,8.02,7.31,7.33,7.61,7.15,7.08
2005,7.49,7.67,8.16,7.22,7.68,7.56,7.35,7.96,7.94,7.43,7.82,8.19,7.47,7.57,7.71,7.50,7.28
2006,7.78,7.91,8.38,7.47,8.08,7.98,7.65,8.23,8.31,7.79,8.17,8.43,7.87,8.01,8.16,7.89,7.58
2007,7.40,7.55,8.20,7.14,7.59,7.48,7.19,7.98,7.99,7.30,7.84,8.25,7.38,7.47,7.67,7.35,7.14
2008,7.88,8.06,8.63,7.59,8.12,7.92,7.75,8.45,8.54,7.77,8.36,8.68,7.81,8.01,8.17,7.90,7.57
2009,7.70,7.87,8.38,7.45,7.92,7.71,7.59,8.21,8.33,7.58,8.16,8.44,7.62,7.72,7.96,7.64,7.43
2010,7.69,7.78,8.34,7.39,7.95,7.86,7.50,8.21,8.40,7.73,8.20,8.39,7.78,7.88,8.04,7.80,7.58
2011,7.96,8.08,8.66,7.72,8.05,8.02,7.80,8.51,8.49,7.91,8.35,8.70,7.96,7.99,8.10,7.92,7.80
2012,7.93,8.09,8.60,7.73,8.09,7.91,7.81,8.45,8.47,7.79,8.32,8.65,7.82,7.99,8.12,7.89,7.63
2013,7.67,7.83,8.32,7.37,7.91,7.82,7.47,8.18,8.24,7.64,8.10,8.38,7.73,7.86,7.98,7.72,7.50
2014,7.74,7.92,8.44,7.46,7.95,7.79,7.56,8.27,8.32,7.64,8.17,8.48,7.70,7.83,8.00,7.70,7.48
