Variable:,tas
,Barbados,"Christ Church","St. Andrew","St. George","St. James","St. John","St. Joseph","St. Lucy","St. Michael","St. Peter","St. Phillip","St. Tomas"
1995,26.77,26.79,26.79,26.79,26.79,26.79,26.79,26.79,26.79,26.79,26.79,26.79
1996,26.70,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71
1997,26.84,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86,26.86
1998,26.78,26.80,26.80,26.80,26.80,26.80,26.80,26.80,26.80,26.80,26.80,26.80
1999,26.92,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93
2000,26.99,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01,27.01
2001,27.06,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08
2002,26.91,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93,26.93
2003,27.07,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09,27.09
2004,27.06,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07
2005,26.96,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2006,27.04,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06
2007,26.97,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2008,27.17,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19
2009,27.07,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08
2010,27.12,27.13,27.13,27.13,27.13,27.13,27.13,27.13,27.13,27.13,27.13,27.13
2011,27.05,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07
2012,27.26,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28,27.28
2013,27.23,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25
2014,27.24,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26
