Variable:,tas
,Maldives,"Alifu Alifu","Alifu Dhaalu",Baa,Dhaalu,Faafu,"Gaafu Alifu","Gaafu Dhaalu","Haa Alifu","Haa Dhaalu",Kaafu,Laamu,Lhaviyani,Male',Meemu,Noonu,Raa,Seenu,Shaviyani,Thaa,Vaavu
1995,27.35,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.50,27.35,27.35,27.35,27.35
1996,27.29,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.29,27.29,27.29,27.29
1997,27.60,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.60,27.60,27.60,27.60
1998,27.51,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.51,27.51,27.51,27.51
1999,27.58,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.70,27.58,27.58,27.58,27.58
2000,27.54,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.54,27.54,27.54,27.54
2001,27.60,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.60,27.60,27.60,27.60
2002,27.54,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.54,27.54,27.54,27.54
2003,27.62,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.62,27.62,27.62,27.62
2004,27.70,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.70,27.70,27.70,27.70
2005,27.76,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.76,27.76,27.76,27.76
2006,27.60,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.60,27.60,27.60,27.60
2007,27.69,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.69,27.69,27.69,27.69
2008,27.79,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.95,27.79,27.79,27.79,27.79
2009,27.72,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.72,27.72,27.72,27.72
2010,27.75,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.75,27.75,27.75,27.75
2011,27.73,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.96,27.73,27.73,27.73,27.73
2012,27.85,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,27.85,27.85,27.85,27.85
2013,27.86,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,27.86,27.86,27.86,27.86
2014,27.89,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.89,27.89,27.89,27.89
