Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1995,6.75,7.91,5.70,5.70,8.89,8.89,5.71,6.06,9.95,6.83,7.47,9.06,7.12,9.76,5.06,4.98,6.15,7.65,6.94,8.88,6.48,5.96,4.98,5.00,8.85,7.65,7.65
1996,6.89,8.04,5.84,5.84,9.00,9.00,5.86,6.16,9.94,7.06,7.79,9.17,7.27,9.81,5.30,5.22,6.31,7.78,7.10,8.99,6.62,6.20,5.22,5.14,8.87,7.78,7.78
1997,6.82,7.94,5.73,5.73,8.97,8.97,5.78,6.12,10.01,6.95,7.71,9.16,7.17,9.87,5.13,5.05,6.21,7.67,6.97,8.96,6.51,6.06,5.05,5.07,8.91,7.67,7.67
1998,6.96,8.20,5.84,5.84,9.26,9.26,5.97,6.31,10.28,7.00,7.67,9.41,7.39,10.08,5.23,5.14,6.31,7.91,7.17,9.25,6.67,6.12,5.14,5.21,9.15,7.91,7.91
1999,7.16,8.33,6.13,6.13,9.32,9.32,6.15,6.52,10.43,7.25,7.92,9.50,7.54,10.25,5.42,5.33,6.59,8.07,7.34,9.31,6.91,6.32,5.33,5.43,9.32,8.07,8.07
2000,7.19,8.39,6.15,6.15,9.36,9.36,6.10,6.42,10.34,7.26,7.91,9.54,7.57,10.21,5.42,5.33,6.60,8.13,7.38,9.35,6.95,6.32,5.33,5.35,9.22,8.13,8.13
2001,7.16,8.23,6.21,6.21,9.23,9.23,6.07,6.40,10.24,7.33,8.05,9.40,7.46,10.07,5.50,5.42,6.66,7.96,7.28,9.22,6.91,6.41,5.42,5.37,9.16,7.96,7.96
2002,6.93,8.04,5.88,5.88,9.01,9.01,5.92,6.32,10.25,7.09,7.83,9.20,7.28,10.03,5.26,5.18,6.35,7.78,7.09,9.00,6.64,6.19,5.18,5.25,9.14,7.78,7.78
2003,7.28,8.44,6.28,6.28,9.42,9.42,6.19,6.45,10.27,7.40,8.07,9.60,7.64,10.19,5.58,5.49,6.73,8.18,7.46,9.41,7.04,6.48,5.49,5.44,9.18,8.18,8.18
2004,7.23,8.40,6.15,6.15,9.45,9.45,6.26,6.60,10.47,7.33,8.02,9.61,7.62,10.29,5.56,5.48,6.62,8.12,7.42,9.44,6.94,6.46,5.48,5.53,9.37,8.12,8.12
2005,7.53,8.67,6.52,6.52,9.58,9.58,6.45,6.75,10.52,7.73,8.48,9.73,7.89,10.36,5.92,5.84,6.99,8.42,7.73,9.57,7.28,6.84,5.84,5.76,9.46,8.42,8.42
2006,7.56,8.78,6.52,6.52,9.79,9.79,6.54,6.86,10.71,7.59,8.17,9.96,7.97,10.59,5.80,5.71,6.96,8.51,7.76,9.78,7.32,6.67,5.71,5.77,9.62,8.51,8.51
2007,7.45,8.55,6.48,6.48,9.50,9.50,6.38,6.72,10.55,7.61,8.30,9.68,7.79,10.40,5.81,5.73,6.93,8.30,7.62,9.49,7.21,6.71,5.73,5.68,9.46,8.30,8.30
2008,7.52,8.65,6.52,6.52,9.57,9.57,6.40,6.71,10.58,7.68,8.40,9.75,7.86,10.44,5.87,5.79,6.98,8.40,7.71,9.56,7.28,6.78,5.79,5.70,9.48,8.40,8.40
2009,7.69,8.84,6.69,6.69,9.81,9.81,6.64,6.97,10.83,7.84,8.52,9.99,8.06,10.68,6.02,5.94,7.15,8.58,7.88,9.80,7.45,6.93,5.94,5.92,9.74,8.58,8.58
2010,7.60,8.73,6.58,6.58,9.68,9.68,6.52,6.89,10.86,7.76,8.46,9.88,7.95,10.68,5.96,5.88,7.04,8.47,7.78,9.67,7.34,6.87,5.88,5.82,9.73,8.47,8.47
2011,7.69,8.83,6.67,6.67,9.78,9.78,6.62,6.95,10.79,7.84,8.57,9.95,8.04,10.63,6.01,5.93,7.14,8.57,7.87,9.77,7.43,6.94,5.93,5.92,9.71,8.57,8.57
2012,7.39,8.51,6.31,6.31,9.47,9.47,6.39,6.75,10.65,7.62,8.38,9.70,7.76,10.53,5.90,5.82,6.80,8.25,7.60,9.46,7.09,6.81,5.82,5.73,9.54,8.25,8.25
2013,7.52,8.62,6.54,6.54,9.55,9.55,6.41,6.72,10.57,7.72,8.45,9.73,7.85,10.43,5.91,5.83,7.00,8.37,7.69,9.54,7.28,6.83,5.83,5.71,9.48,8.37,8.37
2014,7.69,8.86,6.67,6.67,9.82,9.82,6.67,7.00,10.83,7.82,8.47,9.99,8.08,10.67,6.04,5.96,7.13,8.60,7.90,9.81,7.45,6.94,5.96,5.96,9.74,8.60,8.60
