Variable:,tas
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
1995,13.51,6.85,16.55,8.13,12.84,16.46,14.95,9.21,15.43,16.25,12.79,11.89,12.57,14.79,15.66
1996,13.58,7.04,16.57,8.23,12.90,16.45,15.03,9.34,15.50,16.20,13.00,12.05,12.64,14.88,15.82
1997,13.73,6.86,16.88,8.16,13.11,16.58,15.40,9.36,15.61,16.18,12.94,12.03,12.71,15.10,15.85
1998,13.88,6.90,17.19,8.27,13.20,16.79,15.54,9.39,15.70,16.31,12.93,12.11,12.72,15.39,15.95
1999,13.85,7.41,16.95,8.63,13.14,16.85,15.38,9.64,15.78,16.60,13.12,12.25,12.89,15.20,15.97
2000,13.86,7.41,16.90,8.52,13.18,16.82,15.44,9.59,15.77,16.63,13.22,12.28,12.98,15.17,16.11
2001,14.01,7.45,17.08,8.67,13.39,16.87,15.56,9.76,15.89,16.63,13.38,12.41,13.09,15.27,16.21
2002,14.25,7.53,17.27,8.86,13.63,17.18,15.85,9.86,16.11,16.99,13.51,12.59,13.27,15.58,16.32
2003,14.02,7.21,17.04,8.46,13.37,16.79,15.62,9.57,15.72,16.57,13.05,12.24,12.84,15.48,16.07
2004,13.95,7.83,16.89,8.93,13.37,16.82,15.42,9.89,15.74,16.76,13.20,12.31,12.91,15.17,15.98
2005,14.13,7.41,17.13,8.71,13.47,17.05,15.61,9.78,16.00,16.85,13.43,12.50,13.18,15.46,16.28
2006,14.36,7.81,17.35,9.03,13.71,17.17,15.98,10.03,16.08,17.02,13.51,12.59,13.25,15.75,16.30
2007,14.59,7.69,17.63,8.98,13.94,17.38,16.29,10.08,16.32,17.15,13.65,12.78,13.51,16.05,16.61
2008,14.30,7.47,17.20,8.73,13.85,17.05,15.81,9.78,15.96,16.86,13.34,12.43,13.11,15.58,16.17
2009,14.39,7.87,17.42,9.00,13.74,17.29,15.88,10.07,16.26,17.09,13.79,12.77,13.48,15.70,16.52
2010,14.31,7.98,17.39,9.33,13.57,17.30,15.80,10.33,16.23,17.08,13.64,12.83,13.41,15.64,16.52
2011,14.24,7.84,17.41,9.12,13.42,17.33,15.69,10.17,16.20,17.26,13.71,12.78,13.39,15.57,16.51
2012,14.44,8.03,17.44,9.23,13.80,17.35,15.96,10.27,16.26,17.12,13.83,12.91,13.49,15.72,16.64
2013,14.55,7.80,17.78,8.92,13.96,17.49,16.23,10.07,16.46,17.20,13.78,12.76,13.58,15.90,16.59
2014,14.49,7.72,17.53,8.95,13.86,17.28,16.05,10.02,16.25,17.13,13.61,12.68,13.39,15.88,16.47
