Variable:,tas
,Slovakia,"Banska Bystrica",Bratislava,Kosice,Nitra,Presov,Trencin,Trnava,Zilna
1995,8.81,10.43,11.07,10.71,11.26,8.22,10.69,11.29,8.48
1996,8.49,10.23,10.75,10.66,11.01,7.93,10.38,11.00,8.16
1997,8.50,10.13,10.87,10.52,11.07,7.91,10.45,11.11,8.19
1998,8.65,10.32,11.17,10.66,11.24,8.06,10.63,11.39,8.29
1999,8.78,10.44,11.27,10.68,11.39,8.13,10.81,11.50,8.50
2000,9.01,10.85,11.56,11.02,11.80,8.33,11.14,11.81,8.71
2001,9.26,11.10,11.66,11.29,11.94,8.62,11.29,11.91,8.95
2002,8.83,10.53,11.08,10.79,11.34,8.24,10.76,11.31,8.51
2003,9.41,11.10,11.56,11.46,11.87,8.87,11.27,11.80,9.08
2004,8.84,10.52,11.21,10.73,11.42,8.19,10.83,11.43,8.57
2005,9.16,10.72,11.55,11.15,11.82,8.58,11.15,11.79,8.81
2006,9.47,11.17,11.75,11.44,12.01,8.88,11.42,12.00,9.12
2007,9.11,10.69,11.47,11.08,11.62,8.54,11.06,11.69,8.77
2008,9.37,11.05,11.62,11.42,11.88,8.82,11.25,11.87,9.01
2009,9.46,11.21,11.74,11.44,12.06,8.88,11.40,12.00,9.12
2010,9.64,11.30,11.82,11.67,12.11,9.10,11.51,12.07,9.32
2011,9.48,11.16,11.78,11.53,12.08,8.91,11.41,12.05,9.15
2012,9.25,10.95,11.58,11.25,11.84,8.64,11.19,11.83,8.94
2013,9.37,11.00,11.60,11.37,11.82,8.83,11.24,11.84,9.02
2014,9.27,10.93,11.83,11.26,11.99,8.65,11.34,12.08,8.93
