Variable:,tas
,"Cayman Islands","Grand Cayman","Cayman Brac","Little Cayman"
1995,26.94,26.74,26.74,26.74
1996,26.99,26.80,26.80,26.80
1997,27.10,26.91,26.91,26.91
1998,27.04,26.84,26.84,26.84
1999,27.08,26.91,26.91,26.91
2000,27.16,26.98,26.98,26.98
2001,27.13,26.94,26.94,26.94
2002,27.24,27.02,27.02,27.02
2003,27.28,27.09,27.09,27.09
2004,27.19,27.03,27.03,27.03
2005,27.27,27.08,27.08,27.08
2006,27.31,27.12,27.12,27.12
2007,27.37,27.17,27.17,27.17
2008,27.30,27.10,27.10,27.10
2009,27.29,27.07,27.07,27.07
2010,27.35,27.14,27.14,27.14
2011,27.47,27.24,27.24,27.24
2012,27.55,27.35,27.35,27.35
2013,27.45,27.25,27.25,27.25
2014,27.50,27.32,27.32,27.32
