Variable:,tas
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1995,8.01,8.34,8.24,8.67,8.37,8.02,8.14,8.43,8.35,7.85,8.06
1996,7.70,8.15,7.99,8.43,8.20,7.69,7.81,8.10,8.04,7.59,7.85
1997,7.62,7.99,7.90,8.40,8.04,7.58,7.81,8.04,8.03,7.42,7.72
1998,8.21,8.66,8.54,8.84,8.67,8.27,8.30,8.52,8.45,8.07,8.35
1999,7.63,7.94,7.86,8.34,7.99,7.62,7.74,7.94,7.94,7.45,7.70
2000,8.74,9.01,8.97,9.36,8.95,8.78,8.88,9.04,9.04,8.60,8.85
2001,8.35,8.60,8.56,9.17,8.68,8.32,8.52,8.76,8.78,8.14,8.35
2002,8.17,8.38,8.35,8.70,8.46,8.22,8.27,8.43,8.40,8.02,8.16
2003,8.63,8.88,8.84,9.23,8.91,8.65,8.75,8.93,8.91,8.50,8.70
2004,7.96,8.12,8.06,8.67,8.18,7.98,8.03,8.21,8.27,7.82,7.98
2005,8.43,8.80,8.70,9.03,8.81,8.46,8.51,8.73,8.69,8.29,8.56
2006,8.84,9.23,9.11,9.48,9.25,8.85,8.92,9.16,9.11,8.74,8.97
2007,8.39,8.69,8.64,8.95,8.73,8.46,8.50,8.67,8.61,8.24,8.45
2008,8.91,9.16,9.08,9.48,9.19,8.95,8.95,9.11,9.12,8.82,8.97
2009,8.66,9.04,9.00,9.51,9.10,8.62,8.90,9.18,9.19,8.37,8.66
2010,8.76,9.24,9.05,9.27,9.21,8.78,8.75,8.97,8.89,8.74,9.02
2011,8.71,8.91,8.86,9.37,8.92,8.70,8.80,8.98,9.00,8.57,8.76
2012,8.76,8.96,8.93,9.29,8.95,8.79,8.87,9.01,8.98,8.59,8.80
2013,8.69,8.85,8.89,9.36,8.96,8.71,8.87,9.07,9.03,8.45,8.62
2014,8.75,9.10,9.00,9.46,9.14,8.75,8.87,9.11,9.08,8.61,8.84
