Variable:,tas
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1995,13.92,5.06,13.01,7.54,12.83,6.54,20.38,12.52,11.13,11.11,21.88,17.64,15.11,8.70,20.46,8.31,13.74,13.42,12.71,11.81,9.95,13.14,22.98,10.15,14.83,12.01,7.85,8.67,12.02,6.72,15.99,11.92,7.76,6.48,16.30
1996,13.87,5.00,12.90,7.64,12.80,6.71,20.31,12.50,11.12,11.09,21.73,17.53,15.01,8.69,20.25,8.28,13.74,13.40,12.84,11.87,9.95,13.21,22.90,10.10,14.88,12.02,7.97,8.71,12.14,6.78,15.87,11.93,7.74,6.50,16.16
1997,13.97,5.01,12.99,7.66,12.88,6.70,20.44,12.53,11.24,11.21,21.91,17.65,15.08,8.74,20.47,8.35,13.84,13.53,12.79,11.86,10.02,13.19,23.03,10.29,14.97,12.11,7.97,8.72,12.12,6.85,16.05,12.07,7.84,6.58,16.38
1998,13.91,4.85,13.09,7.33,12.83,6.52,20.43,12.59,11.15,11.06,21.91,17.78,15.18,8.61,20.44,8.11,13.65,13.30,12.63,11.65,9.88,13.01,22.97,9.93,14.89,11.95,7.77,8.62,11.91,6.66,16.01,11.97,7.44,6.31,16.37
1999,14.34,5.62,13.27,8.02,13.15,7.12,20.71,12.84,11.81,11.56,22.15,17.90,15.38,9.29,20.73,8.85,14.31,13.92,13.11,12.29,10.58,13.61,23.21,10.75,15.49,12.61,8.26,9.01,12.54,7.37,16.47,12.53,8.31,7.05,16.74
2000,14.38,5.46,13.61,8.00,13.27,7.11,20.83,13.13,11.59,11.60,22.26,18.16,15.62,9.29,20.76,8.85,14.27,13.95,13.05,12.35,10.52,13.67,23.37,10.69,15.24,12.55,8.30,9.19,12.39,7.29,16.31,12.42,8.26,7.02,16.74
2001,14.42,5.51,13.46,8.04,13.37,7.26,20.82,13.02,11.77,11.74,22.30,18.04,15.55,9.23,20.91,8.74,14.29,13.86,13.23,12.28,10.53,13.63,23.36,10.51,15.43,12.57,8.46,9.28,12.54,7.41,16.50,12.52,8.10,7.03,16.79
2002,14.57,5.69,13.74,8.21,13.58,7.50,20.87,13.34,11.92,11.86,22.33,18.30,15.85,9.53,20.90,9.07,14.40,13.97,13.38,12.47,10.75,13.78,23.42,10.66,15.55,12.74,8.57,9.46,12.71,7.66,16.61,12.65,8.42,7.26,16.88
2003,14.25,5.36,13.18,7.83,13.13,6.95,20.71,12.66,11.76,11.35,22.23,17.90,15.31,9.08,20.83,8.63,14.18,13.51,13.03,11.97,10.41,13.28,23.32,10.28,15.45,12.52,8.18,8.87,12.33,7.15,16.55,12.37,8.00,6.82,16.80
2004,14.43,5.55,13.57,8.09,13.48,7.27,20.77,13.20,11.71,11.79,22.26,18.03,15.65,9.14,20.84,8.72,14.19,13.69,13.28,12.08,10.42,13.40,23.36,10.39,15.42,12.51,8.55,9.42,12.53,7.29,16.50,12.59,8.11,6.98,16.79
2005,14.49,5.53,13.51,8.14,13.58,7.28,20.95,13.15,11.75,11.70,22.45,18.13,15.73,9.16,21.07,8.72,14.17,13.70,13.37,12.07,10.44,13.38,23.49,10.51,15.48,12.47,8.61,9.42,12.64,7.40,16.59,12.52,8.16,7.07,16.84
2006,14.68,5.80,13.71,8.31,13.66,7.42,21.17,13.23,11.86,11.85,22.68,18.48,15.85,9.34,21.27,8.94,14.37,13.92,13.51,12.31,10.62,13.62,23.74,10.69,15.54,12.69,8.71,9.47,12.84,7.52,16.72,12.61,8.39,7.20,17.07
2007,14.74,5.63,13.87,8.35,13.77,7.29,21.37,13.35,11.96,11.92,22.84,18.62,16.01,9.27,21.38,8.93,14.56,13.78,13.59,12.27,10.64,13.59,23.93,10.48,15.76,12.85,8.77,9.48,12.84,7.33,16.83,12.59,8.38,7.11,17.05
2008,14.39,5.43,13.45,8.04,13.43,7.15,20.94,13.06,11.67,11.53,22.30,18.15,15.65,9.16,20.79,8.74,14.14,13.80,13.26,12.21,10.43,13.56,23.55,10.43,15.32,12.44,8.49,9.24,12.42,7.27,16.40,12.37,8.14,6.96,16.69
2009,14.73,5.81,13.76,8.45,13.70,7.50,21.15,13.40,12.09,11.95,22.54,18.36,15.96,9.58,21.09,9.16,14.69,14.31,13.67,12.70,10.86,14.05,23.65,10.98,15.73,12.94,8.78,9.59,12.92,7.67,16.77,12.84,8.58,7.37,17.09
2010,14.77,5.74,13.78,8.51,13.74,7.55,21.20,13.34,12.11,11.97,22.63,18.41,15.91,9.57,21.26,9.23,14.67,14.34,13.54,12.77,10.87,14.10,23.72,11.05,15.95,12.97,8.89,9.62,12.81,7.67,16.92,12.78,8.74,7.43,17.17
2011,14.83,5.93,13.99,8.44,13.90,7.50,21.39,13.57,11.89,12.08,22.78,18.60,16.10,9.44,21.25,9.05,14.45,14.06,13.78,12.40,10.70,13.70,23.90,10.89,15.60,12.75,8.87,9.70,13.10,7.53,16.71,12.79,8.52,7.25,17.12
2012,14.90,6.09,13.89,8.63,13.83,7.78,21.28,13.43,12.23,12.14,22.80,18.52,16.03,9.66,21.39,9.28,14.69,14.36,13.80,12.73,10.96,14.04,23.86,11.14,15.82,13.02,9.04,9.72,13.06,7.82,16.96,12.97,8.76,7.50,17.32
2013,14.66,5.64,13.86,8.28,13.82,7.38,21.12,13.48,11.91,11.81,22.56,18.46,16.09,9.22,21.09,8.89,14.39,13.93,13.42,12.35,10.58,13.68,23.72,10.58,15.57,12.74,8.73,9.66,12.65,7.41,16.74,12.67,8.39,7.13,17.04
2014,14.88,5.94,13.90,8.48,13.72,7.75,21.35,13.43,12.23,12.14,22.83,18.54,15.90,9.69,21.37,9.20,14.81,14.21,13.55,12.68,11.00,14.02,23.90,10.96,15.93,13.08,8.88,9.73,12.85,7.88,16.96,13.00,8.58,7.51,17.28
