Variable:,tas
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1995,9.47,10.45,9.62,8.42,10.47
1996,9.63,10.60,9.82,8.57,10.60
1997,9.38,10.35,9.68,8.35,10.43
1998,9.54,10.56,9.59,8.45,10.50
1999,9.71,10.77,9.86,8.52,10.78
2000,10.09,11.05,10.05,9.02,10.98
2001,9.82,10.75,9.89,8.79,10.71
2002,9.60,10.60,9.75,8.51,10.63
2003,9.80,10.84,9.84,8.68,10.77
2004,9.76,10.72,9.99,8.72,10.70
2005,9.92,10.90,10.12,8.90,10.92
2006,10.09,11.16,10.09,8.91,11.08
2007,9.94,10.93,10.07,8.86,10.93
2008,9.72,10.72,9.86,8.62,10.70
2009,10.09,11.10,10.11,8.97,11.04
2010,9.98,10.96,10.06,8.92,10.91
2011,10.02,11.02,10.11,8.91,11.01
2012,10.00,11.00,10.06,8.88,10.93
2013,9.91,10.87,9.98,8.85,10.93
2014,10.08,11.10,10.08,8.95,11.06
