Variable:,tas
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1995,18.35,16.79,17.90,16.89,16.98,17.50,20.79,17.29,19.14,18.40
1996,18.47,16.95,17.86,17.31,17.15,17.53,20.52,17.06,19.22,18.69
1997,18.79,17.24,18.11,17.36,17.30,17.74,21.08,17.36,19.71,18.98
1998,18.61,17.06,17.94,17.24,17.20,17.58,20.80,17.24,19.41,18.86
1999,18.62,16.94,17.86,17.32,17.28,17.69,20.84,17.29,19.28,18.85
2000,18.81,17.28,18.25,17.44,17.38,17.71,21.13,17.48,19.68,18.98
2001,18.86,17.30,18.36,17.32,17.44,17.98,21.10,17.69,19.66,19.00
2002,18.74,17.13,17.90,17.35,17.41,17.77,20.90,17.25,19.44,19.03
2003,18.92,17.29,18.50,17.36,17.36,17.90,21.57,17.80,19.79,19.00
2004,18.92,17.34,18.19,17.48,17.48,17.87,21.01,17.54,19.71,19.23
2005,18.89,17.46,18.42,17.39,17.43,17.90,21.23,17.62,19.86,18.99
2006,18.95,17.43,18.35,17.50,17.60,17.83,21.06,17.72,19.85,19.18
2007,18.85,17.22,18.12,17.40,17.41,17.83,21.04,17.53,19.65,19.13
2008,18.92,17.36,18.26,17.45,17.53,17.85,21.26,17.50,19.75,19.13
2009,18.92,17.44,18.53,17.38,17.43,17.88,21.42,17.65,19.76,19.03
2010,19.08,17.67,18.50,17.68,17.66,18.02,21.09,17.74,19.99,19.33
2011,19.06,17.51,18.29,17.58,17.60,17.93,21.22,17.71,19.87,19.37
2012,19.10,17.48,18.34,17.72,17.64,18.06,21.28,17.72,19.86,19.40
2013,19.22,17.85,18.62,17.58,17.57,18.10,21.41,17.91,20.23,19.45
2014,19.16,17.55,18.61,17.70,17.71,18.16,21.47,17.84,19.92,19.37
