Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1995,3.35,8.64,4.16,4.29,8.37,8.72,2.13,7.58,8.03,8.40,-0.06,6.68,7.13,8.87,7.12,7.19,6.74,6.33,1.90,3.27,6.41,7.92
1996,3.34,8.47,4.28,4.37,8.52,8.61,2.07,7.39,7.84,8.24,-0.12,6.75,7.03,8.81,7.24,7.44,6.96,6.47,1.96,3.35,6.56,7.81
1997,3.38,8.52,4.36,4.40,8.38,8.68,2.23,7.41,7.85,8.29,-0.01,6.77,6.97,8.86,7.21,7.38,6.93,6.50,1.80,3.31,6.61,7.82
1998,3.87,9.03,4.80,4.96,8.94,9.09,2.72,7.95,8.42,8.78,0.41,7.21,7.52,9.32,7.72,7.90,7.43,6.86,2.43,3.86,7.04,8.31
1999,3.60,8.69,4.55,4.74,8.49,8.81,2.48,7.72,8.03,8.48,0.07,7.05,7.31,9.04,7.49,7.60,7.23,6.58,2.12,3.68,6.89,8.02
2000,4.34,9.57,5.58,5.44,9.47,9.62,3.10,8.53,8.97,9.31,0.69,8.09,8.20,9.84,8.38,8.40,7.94,7.82,2.81,4.27,7.79,8.98
2001,4.30,9.38,5.20,5.31,9.26,9.40,3.04,8.24,8.75,9.13,1.01,7.52,7.79,9.64,7.99,8.19,7.72,7.26,2.91,4.28,7.38,8.57
2002,3.84,8.81,4.76,4.90,8.79,8.87,2.54,7.82,8.24,8.59,0.50,7.23,7.47,9.17,7.65,7.74,7.36,6.92,2.45,3.74,7.06,8.15
2003,3.88,9.20,4.83,4.85,9.10,9.32,2.51,8.11,8.55,9.00,0.50,7.37,7.67,9.56,7.80,7.88,7.39,7.01,2.23,3.66,7.12,8.46
2004,4.09,9.07,4.94,5.11,8.90,9.12,2.98,8.08,8.55,8.82,0.78,7.30,7.71,9.29,7.74,7.88,7.43,6.94,2.76,4.09,7.09,8.36
2005,4.02,9.08,5.04,5.26,9.15,9.20,2.69,8.00,8.50,8.86,0.61,7.41,7.72,9.43,7.99,8.13,7.74,6.95,2.46,4.05,7.37,8.29
2006,4.27,9.46,5.08,5.23,9.55,9.49,2.91,8.46,9.04,9.22,0.90,7.73,8.22,9.77,8.27,8.37,7.86,7.17,2.73,4.25,7.51,8.67
2007,4.01,9.10,5.05,5.12,9.02,9.35,2.80,8.03,8.46,8.91,0.59,7.41,7.65,9.51,7.87,8.03,7.61,7.08,2.55,3.94,7.25,8.43
2008,4.27,9.41,4.81,4.97,9.54,9.40,2.80,8.25,8.81,9.15,1.16,7.44,7.90,9.73,7.99,8.25,7.68,7.03,2.89,4.10,7.22,8.52
2009,4.19,9.40,5.04,5.06,9.41,9.40,2.89,8.25,8.87,9.15,0.82,7.64,7.98,9.66,8.15,8.11,7.61,7.23,2.75,4.08,7.41,8.56
2010,4.31,9.16,5.26,5.37,9.15,9.24,3.06,8.07,8.58,8.93,1.11,7.53,7.81,9.50,7.96,8.09,7.70,7.23,2.94,4.20,7.37,8.44
2011,4.58,9.56,5.42,5.52,9.55,9.63,3.46,8.47,8.97,9.32,1.31,7.71,8.01,9.82,8.15,8.35,7.87,7.52,3.26,4.65,7.46,8.80
2012,4.33,9.37,5.23,5.42,9.36,9.46,3.09,8.24,8.75,9.15,1.02,7.54,7.86,9.74,8.04,8.28,7.82,7.19,2.95,4.35,7.37,8.58
2013,4.27,9.27,5.10,5.30,9.20,9.23,3.03,8.09,8.66,9.02,1.01,7.40,7.77,9.56,8.00,8.18,7.77,7.07,2.93,4.32,7.34,8.36
2014,4.59,9.53,5.55,5.68,9.39,9.60,3.42,8.50,8.95,9.30,1.24,7.82,8.12,9.77,8.30,8.44,8.01,7.54,3.26,4.74,7.66,8.83
