Variable:,tas
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1995,19.68,19.98,19.81,18.60,19.06,18.99
1996,19.61,19.94,19.77,18.47,18.98,18.89
1997,19.88,20.14,19.98,18.78,19.20,19.16
1998,19.72,20.02,19.84,18.62,19.00,18.98
1999,19.75,20.05,19.89,18.58,19.02,18.95
2000,19.81,20.07,19.91,18.74,19.22,19.16
2001,20.12,20.40,20.23,18.96,19.39,19.34
2002,20.06,20.35,20.18,18.91,19.44,19.35
2003,19.89,20.19,20.02,18.79,19.20,19.16
2004,20.36,20.68,20.50,19.25,19.71,19.63
2005,20.07,20.32,20.19,18.92,19.35,19.29
2006,19.99,20.24,20.09,18.87,19.35,19.29
2007,19.98,20.25,20.08,18.91,19.40,19.33
2008,20.00,20.21,20.06,18.96,19.41,19.38
2009,20.11,20.42,20.25,18.99,19.40,19.35
2010,20.22,20.54,20.36,19.02,19.49,19.41
2011,20.30,20.61,20.43,19.12,19.62,19.53
2012,20.40,20.77,20.59,19.22,19.61,19.56
2013,20.32,20.63,20.45,19.19,19.67,19.60
2014,20.24,20.50,20.35,19.12,19.49,19.47
