Variable:,tas
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1995,13.03,14.22,15.36,16.73,16.72,12.87,11.25,16.66,14.34,11.53,12.71,15.95,10.47,15.20,16.89,18.31,15.30,6.64,15.09,6.10,13.94
1996,13.31,14.60,15.72,17.07,17.04,13.12,11.42,16.94,14.54,11.79,13.01,16.38,10.54,15.61,17.17,18.70,15.60,6.89,15.38,6.09,14.17
1997,13.34,14.66,15.76,17.14,17.09,13.16,11.39,17.01,14.54,11.77,13.09,16.35,10.58,15.68,17.16,18.75,15.69,6.84,15.46,6.16,14.11
1998,13.32,14.60,15.74,17.17,17.11,13.14,11.51,16.98,14.52,11.75,13.04,16.35,10.60,15.57,17.10,18.71,15.62,6.87,15.37,6.19,14.23
1999,13.46,14.73,15.73,17.17,17.05,13.41,11.66,17.09,14.69,12.02,13.21,16.36,10.81,15.61,17.22,18.65,15.81,7.06,15.57,6.41,14.40
2000,13.59,14.80,16.14,17.54,17.42,13.39,11.84,17.21,14.72,11.99,13.20,16.64,10.83,15.96,17.27,19.00,15.85,7.15,15.59,6.46,14.56
2001,13.56,14.91,15.85,17.18,17.20,13.39,11.81,17.06,14.55,12.02,13.43,16.56,10.76,15.77,17.16,18.75,15.80,7.25,15.63,6.44,14.66
2002,13.39,14.65,15.78,17.24,17.13,13.15,11.43,17.05,14.61,11.89,13.19,16.42,10.75,15.60,17.26,18.80,15.68,6.91,15.56,6.40,14.21
2003,13.69,14.97,16.08,17.44,17.41,13.61,11.85,17.37,14.88,12.14,13.53,16.67,10.97,15.95,17.39,18.99,16.06,7.19,15.90,6.51,14.53
2004,13.64,15.11,16.18,17.43,17.49,13.41,11.61,17.37,14.75,12.04,13.45,16.82,10.92,15.99,17.26,19.03,15.93,7.09,15.81,6.59,14.43
2005,13.80,14.93,16.09,17.44,17.40,13.62,12.01,17.29,14.99,12.49,13.43,16.69,11.23,15.96,17.47,19.01,16.01,7.60,15.81,6.85,14.65
2006,13.67,14.90,16.12,17.45,17.42,13.37,11.93,17.26,14.78,12.16,13.28,16.71,10.94,15.98,17.44,19.10,15.87,7.25,15.61,6.63,14.55
2007,13.84,15.15,16.30,17.62,17.64,13.66,11.93,17.55,14.94,12.25,13.62,16.91,11.03,16.11,17.64,19.21,16.17,7.35,15.99,6.64,14.67
2008,13.91,15.25,16.49,17.76,17.78,13.62,12.06,17.54,14.92,12.34,13.70,17.10,11.09,16.37,17.35,19.15,16.08,7.52,16.02,6.79,14.76
2009,13.97,15.26,16.38,17.69,17.65,13.79,12.12,17.56,15.13,12.52,13.70,16.97,11.27,16.23,17.66,19.27,16.24,7.56,15.97,6.89,14.86
2010,14.05,15.37,16.52,17.86,17.79,13.88,12.21,17.71,15.12,12.40,13.84,17.05,11.24,16.36,17.73,19.50,16.39,7.51,16.21,6.80,15.09
2011,14.08,15.36,16.45,17.71,17.78,14.01,12.28,17.59,15.16,12.70,13.84,17.14,11.39,16.33,17.58,19.29,16.30,7.68,16.16,7.02,15.06
2012,13.91,15.22,16.32,17.60,17.60,13.78,12.08,17.49,15.09,12.36,13.71,16.91,11.26,16.17,17.57,19.17,16.19,7.43,15.99,6.85,14.94
2013,14.09,15.43,16.45,17.78,17.86,14.02,12.27,17.79,15.29,12.54,13.92,17.19,11.32,16.28,17.84,19.35,16.47,7.59,16.28,6.81,14.99
2014,14.00,15.31,16.43,17.63,17.74,13.87,12.06,17.63,15.27,12.49,13.68,17.11,11.39,16.35,17.76,19.24,16.29,7.46,16.08,6.99,14.82
