Variable:,tas
,Fiji,Central,Eastern,Northern,Western
2015,25.19,25.01,25.57,25.65,25.58
2016,25.43,25.20,25.78,25.91,25.73
2017,25.37,25.18,25.68,25.74,25.70
2018,25.20,24.96,25.54,25.70,25.47
2019,25.42,25.16,25.69,25.92,25.71
2020,25.34,25.13,25.64,25.78,25.69
2021,25.48,25.30,25.83,25.92,25.82
2022,25.45,25.20,25.76,25.93,25.75
2023,25.61,25.43,26.01,26.06,25.95
2024,25.64,25.46,26.02,26.07,25.99
2025,25.67,25.48,26.04,26.11,26.01
2026,25.55,25.32,25.91,25.98,25.88
2027,25.57,25.36,25.90,26.02,25.90
2028,25.66,25.45,25.95,26.06,25.96
2029,25.70,25.53,26.03,26.13,26.08
2030,25.48,25.27,25.83,25.94,25.81
2031,25.61,25.37,25.92,26.09,25.90
2032,25.66,25.50,26.05,26.08,26.02
2033,25.74,25.53,26.06,26.19,26.08
2034,25.62,25.39,25.92,26.10,25.93
2035,25.72,25.49,26.03,26.19,26.01
2036,25.80,25.59,26.07,26.22,26.14
2037,25.83,25.68,26.19,26.24,26.22
2038,25.77,25.55,26.07,26.20,26.11
2039,25.85,25.64,26.22,26.33,26.13
2040,25.73,25.50,26.09,26.21,26.05
2041,25.84,25.63,26.18,26.31,26.11
2042,25.67,25.43,26.00,26.15,25.98
2043,25.75,25.55,26.05,26.18,26.11
2044,25.93,25.71,26.19,26.35,26.21
2045,25.79,25.62,26.19,26.23,26.12
2046,25.96,25.70,26.24,26.45,26.22
2047,25.86,25.64,26.25,26.37,26.18
2048,25.86,25.64,26.21,26.35,26.17
2049,25.91,25.64,26.21,26.41,26.16
2050,25.88,25.70,26.27,26.36,26.21
2051,25.94,25.71,26.15,26.36,26.25
2052,25.85,25.65,26.25,26.35,26.19
2053,25.93,25.71,26.21,26.37,26.30
2054,25.84,25.60,26.15,26.30,26.17
2055,26.00,25.80,26.35,26.49,26.32
2056,26.01,25.77,26.34,26.49,26.29
2057,26.04,25.80,26.29,26.49,26.34
2058,25.87,25.64,26.15,26.34,26.18
2059,26.04,25.76,26.26,26.51,26.34
2060,26.33,26.14,26.68,26.76,26.64
2061,25.89,25.69,26.28,26.33,26.23
2062,26.04,25.81,26.31,26.52,26.34
2063,26.13,25.88,26.40,26.57,26.49
2064,26.05,25.84,26.35,26.49,26.39
2065,25.98,25.72,26.26,26.44,26.26
2066,25.92,25.68,26.20,26.37,26.22
2067,26.09,25.91,26.43,26.54,26.42
2068,26.12,25.88,26.45,26.57,26.43
2069,26.03,25.79,26.32,26.53,26.31
2070,26.18,25.93,26.48,26.63,26.47
2071,26.01,25.79,26.34,26.42,26.32
2072,25.96,25.74,26.30,26.42,26.25
2073,25.94,25.79,26.25,26.35,26.31
2074,26.09,25.84,26.35,26.52,26.43
2075,25.89,25.67,26.16,26.33,26.25
2076,26.04,25.77,26.28,26.54,26.33
2077,25.96,25.72,26.25,26.44,26.25
2078,25.99,25.75,26.20,26.45,26.32
2079,26.03,25.78,26.28,26.51,26.31
2080,26.03,25.80,26.32,26.48,26.34
2081,26.05,25.81,26.38,26.53,26.35
2082,26.04,25.82,26.38,26.49,26.41
2083,26.05,25.87,26.41,26.55,26.43
2084,25.96,25.74,26.28,26.43,26.32
2085,26.04,25.83,26.37,26.49,26.37
2086,25.93,25.71,26.25,26.38,26.27
2087,26.10,25.91,26.48,26.53,26.44
2088,26.25,26.05,26.54,26.69,26.57
2089,25.96,25.76,26.28,26.40,26.32
2090,26.20,26.00,26.47,26.66,26.56
2091,26.08,25.88,26.33,26.48,26.50
2092,26.11,25.86,26.35,26.58,26.42
2093,26.10,25.82,26.36,26.60,26.37
2094,26.01,25.76,26.34,26.50,26.30
2095,26.00,25.76,26.31,26.45,26.31
2096,25.91,25.69,26.25,26.38,26.21
2097,26.03,25.80,26.31,26.47,26.36
2098,26.11,25.88,26.41,26.54,26.40
2099,25.95,25.71,26.24,26.42,26.26
2100,26.10,25.91,26.38,26.48,26.40
