Variable:,tas
,Finland,Aaland,"Eastern Finland",Lapland,Oulu,"Southern Finland","Western Finland"
2015,4.58,8.05,5.95,2.55,4.79,7.13,6.59
2016,4.34,8.40,5.76,2.11,4.57,7.02,6.58
2017,5.02,8.97,6.64,2.77,5.20,7.74,7.10
2018,4.72,8.21,6.10,2.74,4.86,7.29,6.72
2019,4.78,8.33,6.23,2.67,4.92,7.35,6.82
2020,4.80,8.41,6.31,2.57,4.98,7.41,6.95
2021,4.96,8.63,6.66,2.66,5.13,7.76,7.06
2022,5.15,8.88,6.48,3.04,5.33,7.70,7.34
2023,5.29,9.12,6.88,2.89,5.44,8.15,7.64
2024,4.90,8.34,6.18,2.83,4.95,7.49,7.08
2025,5.12,8.70,6.59,2.91,5.28,7.82,7.24
2026,4.60,8.53,6.13,2.24,4.81,7.23,6.88
2027,4.53,8.26,5.98,2.35,4.75,7.17,6.68
2028,5.33,9.04,7.13,2.76,5.44,8.44,7.63
2029,5.33,8.98,6.68,3.24,5.37,8.03,7.56
2030,5.13,8.93,6.43,3.07,5.39,7.64,7.24
2031,4.74,8.41,6.16,2.62,4.90,7.38,6.89
2032,5.19,8.67,6.69,2.93,5.38,7.82,7.27
2033,5.20,8.64,6.78,2.86,5.45,7.83,7.32
2034,5.56,8.92,7.10,3.33,5.73,8.10,7.60
2035,4.84,8.83,6.39,2.53,4.96,7.57,7.11
2036,5.17,8.66,6.81,2.85,5.37,8.00,7.22
2037,5.72,9.08,7.05,3.75,5.90,8.18,7.69
2038,5.13,8.71,6.52,3.06,5.34,7.59,7.11
2039,5.82,9.12,7.35,3.54,6.07,8.38,7.96
2040,5.45,9.33,7.25,3.17,5.51,8.21,7.43
2041,6.65,9.78,8.15,4.40,6.92,9.05,8.68
2042,5.59,9.07,7.03,3.50,5.71,8.14,7.58
2043,5.86,9.57,7.12,3.80,5.91,8.42,8.01
2044,5.47,8.91,7.06,3.23,5.68,8.04,7.52
2045,5.51,8.74,7.00,3.38,5.74,7.80,7.48
2046,5.88,9.20,7.38,3.69,6.10,8.37,7.94
2047,5.21,8.73,6.40,3.35,5.43,7.65,7.10
2048,5.63,9.40,7.19,3.24,5.80,8.60,7.89
2049,5.68,9.65,7.19,3.34,5.85,8.51,7.99
2050,5.30,8.97,6.68,3.24,5.47,7.73,7.32
2051,5.84,9.32,7.41,3.62,6.00,8.61,7.90
2052,5.95,9.11,7.67,3.51,6.24,8.59,8.03
2053,5.63,9.02,7.16,3.28,5.85,8.39,7.81
2054,5.69,9.40,7.09,3.46,5.89,8.56,7.85
2055,6.12,9.39,7.49,4.17,6.14,8.69,8.15
2056,5.70,9.36,6.97,3.79,5.75,8.11,7.73
2057,5.86,9.31,7.23,3.78,6.00,8.40,7.94
2058,6.15,9.41,7.73,3.88,6.40,8.65,8.21
2059,6.15,9.48,7.69,3.94,6.42,8.63,8.08
2060,5.80,9.51,7.29,3.61,5.96,8.55,7.91
2061,6.02,9.42,7.43,3.84,6.29,8.62,8.09
2062,5.94,9.58,7.52,3.77,6.00,8.80,8.01
2063,5.46,8.97,6.91,3.35,5.58,8.14,7.49
2064,6.29,9.85,7.91,3.98,6.48,8.84,8.44
2065,5.63,9.10,7.22,3.29,5.79,8.41,7.85
2066,5.70,9.61,7.13,3.55,5.89,8.40,7.80
2067,6.10,9.73,7.57,3.93,6.24,8.84,8.21
2068,5.85,9.18,7.43,3.51,6.01,8.52,8.04
2069,5.94,9.82,7.59,3.55,5.99,8.75,8.26
2070,5.71,9.36,7.15,3.54,5.82,8.60,7.90
2071,5.73,9.24,7.27,3.48,5.79,8.45,7.86
2072,5.80,9.21,7.27,3.69,6.02,8.38,7.74
2073,6.01,9.92,7.58,3.80,6.07,8.87,8.12
2074,6.26,9.65,7.75,4.03,6.45,8.94,8.37
2075,6.06,9.42,7.58,3.84,6.19,8.60,8.19
2076,5.66,9.17,7.19,3.46,5.77,8.33,7.76
2077,6.08,9.22,7.59,4.03,6.36,8.40,7.94
2078,6.38,9.65,7.81,4.42,6.53,8.73,8.19
2079,6.19,9.46,7.63,3.99,6.42,8.62,8.28
2080,5.71,9.63,6.92,3.77,5.67,8.42,7.89
2081,5.69,9.64,7.09,3.63,5.68,8.41,7.87
2082,5.63,9.22,7.17,3.43,5.61,8.41,7.84
2083,6.07,9.73,7.71,3.70,6.25,9.00,8.22
2084,6.15,9.69,7.69,3.88,6.37,8.87,8.22
2085,5.59,9.21,7.11,3.44,5.65,8.38,7.67
2086,5.93,9.49,7.38,3.74,6.10,8.46,7.99
2087,5.95,9.42,7.47,3.66,6.19,8.56,8.07
2088,6.11,9.39,7.75,3.70,6.44,8.80,8.24
2089,6.04,9.41,7.69,3.84,6.15,8.61,8.03
2090,6.54,9.63,8.15,4.30,6.71,9.20,8.58
2091,6.12,9.36,7.68,3.90,6.39,8.57,8.07
2092,6.15,9.63,7.68,3.93,6.37,8.75,8.24
2093,6.11,9.37,7.47,4.07,6.21,8.76,8.09
2094,6.33,9.53,8.13,4.04,6.46,9.09,8.29
2095,6.46,9.92,7.98,4.20,6.68,9.11,8.53
2096,6.27,9.72,7.82,4.16,6.25,8.84,8.38
2097,6.41,10.09,7.84,4.17,6.49,9.22,8.70
2098,6.22,9.62,7.83,3.94,6.42,8.80,8.29
2099,6.35,10.01,8.03,3.95,6.50,9.21,8.57
2100,6.36,9.69,7.81,4.35,6.41,8.97,8.30
