Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,26.86,27.28,27.21,25.31,27.28
2016,26.75,27.05,27.00,25.21,27.05
2017,26.74,27.03,26.98,25.24,27.03
2018,26.81,27.18,27.12,25.28,27.18
2019,26.95,27.28,27.22,25.41,27.28
2020,26.91,27.21,27.16,25.35,27.21
2021,26.96,27.35,27.28,25.40,27.35
2022,26.92,27.24,27.19,25.47,27.24
2023,26.96,27.30,27.24,25.47,27.30
2024,27.13,27.50,27.44,25.66,27.50
2025,27.04,27.40,27.34,25.52,27.40
2026,27.07,27.32,27.28,25.55,27.32
2027,27.25,27.52,27.47,25.79,27.52
2028,27.08,27.42,27.36,25.62,27.42
2029,27.15,27.49,27.43,25.66,27.49
2030,27.07,27.44,27.38,25.62,27.44
2031,27.25,27.60,27.54,25.73,27.60
2032,27.19,27.52,27.46,25.73,27.52
2033,27.20,27.51,27.46,25.80,27.51
2034,27.39,27.72,27.66,25.84,27.72
2035,27.29,27.63,27.57,25.78,27.63
2036,27.38,27.71,27.65,25.95,27.71
2037,27.44,27.81,27.75,25.95,27.81
2038,27.50,27.83,27.77,25.99,27.83
2039,27.46,27.77,27.72,25.95,27.77
2040,27.52,27.89,27.83,25.96,27.89
2041,27.50,27.77,27.72,26.03,27.77
2042,27.29,27.64,27.58,25.80,27.64
2043,27.56,27.87,27.82,26.08,27.87
2044,27.50,27.83,27.77,26.08,27.83
2045,27.43,27.75,27.69,25.99,27.75
2046,27.65,27.96,27.91,26.13,27.96
2047,27.62,27.95,27.89,26.12,27.95
2048,27.50,27.93,27.86,26.01,27.93
2049,27.58,27.87,27.82,26.14,27.87
2050,27.53,27.86,27.80,26.11,27.86
2051,27.73,28.05,28.00,26.24,28.05
2052,27.66,27.96,27.91,26.26,27.96
2053,27.58,27.88,27.83,26.02,27.88
2054,27.63,28.00,27.94,26.20,28.00
2055,27.62,27.98,27.92,26.19,27.98
2056,27.72,28.04,27.98,26.22,28.04
2057,27.56,27.84,27.79,26.16,27.84
2058,27.72,28.04,27.99,26.35,28.04
2059,27.83,28.23,28.16,26.37,28.23
2060,27.74,28.05,28.00,26.30,28.05
2061,27.68,28.00,27.94,26.21,28.00
2062,27.76,28.03,27.98,26.26,28.03
2063,27.85,28.20,28.14,26.35,28.20
2064,27.93,28.22,28.17,26.54,28.22
2065,27.82,28.14,28.08,26.37,28.14
2066,27.77,28.11,28.05,26.29,28.11
2067,27.91,28.14,28.10,26.37,28.14
2068,27.67,27.98,27.93,26.20,27.98
2069,27.86,28.24,28.17,26.31,28.24
2070,27.71,28.03,27.97,26.27,28.03
2071,27.77,28.11,28.05,26.31,28.11
2072,27.72,28.03,27.98,26.29,28.03
2073,27.78,28.09,28.04,26.42,28.09
2074,27.69,28.06,28.00,26.22,28.06
2075,27.82,28.20,28.13,26.38,28.20
2076,27.87,28.21,28.15,26.37,28.21
2077,27.73,28.05,28.00,26.27,28.05
2078,27.82,28.11,28.06,26.38,28.11
2079,27.83,28.17,28.11,26.33,28.17
2080,27.62,28.00,27.93,26.13,28.00
2081,27.77,28.23,28.15,26.18,28.23
2082,28.15,28.47,28.42,26.67,28.47
2083,27.88,28.22,28.16,26.35,28.22
2084,27.78,28.03,27.99,26.32,28.03
2085,27.66,28.00,27.94,26.27,28.00
2086,27.72,28.01,27.96,26.24,28.01
2087,27.95,28.26,28.21,26.51,28.26
2088,27.80,28.13,28.07,26.33,28.13
2089,27.85,28.20,28.14,26.40,28.20
2090,27.87,28.19,28.14,26.44,28.19
2091,27.74,28.07,28.01,26.30,28.07
2092,27.89,28.19,28.14,26.39,28.19
2093,27.96,28.25,28.20,26.54,28.25
2094,27.70,28.08,28.01,26.27,28.08
2095,27.69,28.05,27.99,26.26,28.05
2096,27.93,28.23,28.18,26.50,28.23
2097,27.84,28.11,28.06,26.42,28.11
2098,27.72,28.08,28.02,26.24,28.08
2099,27.85,28.17,28.12,26.37,28.17
2100,27.76,28.09,28.03,26.28,28.09
