Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
2015,13.87,24.22,22.67,22.86,18.77,21.35
2016,13.72,24.32,22.73,22.61,18.48,21.18
2017,13.79,24.37,22.72,22.84,18.62,21.33
2018,13.71,24.22,22.70,22.61,18.49,21.18
2019,13.69,24.07,22.61,22.58,18.43,21.04
2020,14.12,24.64,23.07,23.03,18.93,21.64
2021,13.95,24.41,22.77,22.99,18.82,21.44
2022,14.06,24.76,23.03,23.01,18.86,21.55
2023,13.94,24.51,23.00,22.83,18.71,21.38
2024,14.12,24.50,22.93,23.28,18.97,21.60
2025,14.14,24.69,23.35,22.91,18.88,21.63
2026,14.17,24.81,23.33,23.17,18.97,21.73
2027,14.24,24.52,23.02,23.19,18.98,21.53
2028,14.27,24.83,23.28,23.37,19.13,21.70
2029,14.17,24.73,23.27,22.95,18.90,21.64
2030,14.27,24.85,23.16,23.54,19.23,21.87
2031,14.42,24.98,23.49,23.49,19.35,22.02
2032,14.28,24.80,23.22,23.18,19.06,21.76
2033,14.24,24.77,23.24,23.20,19.01,21.71
2034,14.38,24.93,23.51,23.35,19.18,21.94
2035,14.47,25.02,23.43,23.45,19.35,22.00
2036,14.50,25.26,23.71,23.69,19.48,22.22
2037,14.64,25.27,23.75,23.60,19.49,22.14
2038,14.57,25.07,23.71,23.53,19.39,21.99
2039,14.87,25.47,23.85,23.96,19.83,22.51
2040,14.89,25.37,23.90,23.85,19.65,22.31
2041,14.55,25.31,23.77,23.57,19.39,22.11
2042,14.49,25.25,23.68,23.56,19.38,22.04
2043,14.78,25.28,23.77,23.99,19.65,22.35
2044,14.76,25.40,23.86,23.82,19.68,22.38
2045,14.75,25.31,23.85,23.73,19.55,22.27
2046,14.74,25.39,23.75,23.78,19.62,22.29
2047,14.85,25.38,23.77,23.87,19.69,22.41
2048,14.78,25.36,23.83,23.69,19.54,22.33
2049,15.00,25.48,23.99,24.02,19.83,22.39
2050,14.73,25.53,23.91,23.81,19.63,22.30
2051,14.99,25.54,23.99,24.07,19.87,22.54
2052,15.05,25.61,24.10,23.99,19.89,22.55
2053,14.87,25.13,23.76,23.96,19.75,22.24
2054,14.89,25.23,23.77,23.95,19.81,22.37
2055,14.95,25.70,24.06,23.87,19.78,22.59
2056,14.98,25.64,24.17,23.78,19.74,22.52
2057,14.80,25.31,23.89,23.72,19.60,22.19
2058,15.01,25.69,24.15,24.07,19.87,22.54
2059,15.15,25.70,24.06,24.34,20.15,22.80
2060,15.11,25.67,24.21,24.13,19.97,22.65
2061,14.84,25.47,23.91,23.82,19.74,22.46
2062,15.13,25.71,24.07,24.14,19.96,22.63
2063,15.09,25.78,24.28,24.17,19.93,22.57
2064,15.21,25.85,24.43,24.10,19.94,22.66
2065,15.04,25.80,24.23,24.07,19.86,22.65
2066,15.34,26.20,24.61,24.28,20.12,22.95
2067,15.20,25.85,24.23,24.18,20.12,22.83
2068,15.24,25.89,24.28,24.27,20.07,22.78
2069,15.09,25.84,24.31,24.14,19.96,22.64
2070,15.11,25.90,24.39,24.10,19.93,22.66
2071,15.05,25.50,23.94,24.05,19.89,22.53
2072,14.99,25.65,24.09,23.88,19.74,22.48
2073,15.27,26.03,24.48,24.35,20.10,22.87
2074,15.17,25.70,24.22,24.20,20.06,22.71
2075,15.23,25.87,24.29,24.40,20.26,22.86
2076,15.21,25.82,24.30,24.26,20.07,22.67
2077,14.90,25.44,23.92,23.94,19.81,22.46
2078,14.99,25.53,23.94,24.14,19.93,22.55
2079,15.23,25.98,24.27,24.31,20.12,22.86
2080,15.10,25.64,24.17,24.08,20.06,22.62
2081,15.07,25.66,24.35,24.19,20.04,22.72
2082,15.19,25.89,24.24,24.30,20.13,22.86
2083,15.35,26.00,24.28,24.34,20.25,22.84
2084,15.29,25.84,24.29,24.28,20.18,22.81
2085,14.97,25.57,24.00,24.10,19.89,22.48
2086,15.08,25.84,24.28,24.25,20.01,22.78
2087,15.47,26.36,24.57,24.94,20.65,23.20
2088,15.18,25.85,24.16,24.44,20.30,22.96
2089,14.96,25.47,24.11,24.06,19.94,22.54
2090,15.04,25.74,24.24,24.08,19.90,22.63
2091,15.15,26.08,24.54,24.45,20.13,22.76
2092,15.05,25.78,24.13,24.11,19.92,22.64
2093,15.25,25.90,24.27,24.57,20.31,22.88
2094,15.17,25.66,24.12,24.19,20.01,22.65
2095,15.05,25.86,24.19,24.17,19.96,22.72
2096,14.94,25.62,24.17,24.08,19.86,22.59
2097,15.50,26.21,24.53,24.48,20.34,23.10
2098,15.23,25.83,24.29,24.40,20.14,22.83
2099,15.13,25.70,24.17,24.20,20.07,22.71
2100,15.23,25.85,24.26,24.35,20.09,22.70
