Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
2015,8.44,11.68,10.90,9.86,8.30,4.85,8.38,5.05,6.42,10.88
2016,8.34,11.73,10.68,9.82,8.17,4.56,8.29,4.66,6.02,10.92
2017,9.08,12.46,11.35,10.60,8.78,5.23,8.95,5.50,6.87,11.69
2018,8.22,11.53,10.75,9.63,8.13,4.70,8.26,4.76,6.03,10.58
2019,8.18,11.55,10.64,9.60,8.03,4.53,8.09,4.75,6.15,10.74
2020,8.48,11.92,11.02,9.97,8.31,4.71,8.54,4.88,6.23,10.99
2021,8.81,12.23,11.22,10.31,8.67,5.01,8.78,5.16,6.49,11.25
2022,8.41,11.80,10.65,9.87,8.32,4.65,8.36,4.72,6.08,10.91
2023,8.62,11.95,11.14,10.00,8.45,5.09,8.54,5.31,6.73,11.02
2024,8.50,11.59,10.96,9.83,8.60,4.98,8.49,5.08,6.38,10.65
2025,8.90,12.16,11.30,10.25,8.82,5.36,8.90,5.53,6.82,11.13
2026,8.94,12.02,11.05,10.33,8.92,5.27,8.72,5.43,6.90,11.37
2027,8.64,11.97,10.92,10.10,8.57,4.88,8.56,5.01,6.29,11.11
2028,8.83,12.23,11.24,10.34,8.68,5.09,8.84,5.20,6.50,11.26
2029,8.93,12.25,11.14,10.44,8.82,5.14,8.83,5.16,6.50,11.51
2030,8.71,11.94,11.17,10.01,8.62,5.20,8.62,5.46,6.72,11.00
2031,8.78,12.11,11.29,10.19,8.68,5.13,8.76,5.35,6.66,11.18
2032,8.36,11.45,10.90,9.71,8.30,4.91,8.34,5.01,6.34,10.70
2033,8.86,12.33,11.23,10.35,8.68,5.12,8.81,5.23,6.58,11.38
2034,8.79,12.05,11.21,10.25,8.68,5.15,8.71,5.35,6.79,11.33
2035,9.03,12.35,11.46,10.46,8.89,5.34,9.00,5.59,7.07,11.40
2036,8.98,12.18,11.41,10.39,8.91,5.37,8.90,5.49,6.79,11.39
2037,8.93,12.23,11.22,10.35,8.82,5.19,8.81,5.42,6.73,11.35
2038,9.47,12.72,12.06,10.91,9.34,5.89,9.49,6.00,7.35,11.95
2039,9.49,12.79,11.83,10.94,9.35,5.84,9.49,5.93,7.23,11.98
2040,9.06,12.23,11.51,10.46,8.97,5.46,8.98,5.63,7.01,11.46
2041,9.03,12.17,11.52,10.37,8.95,5.49,8.97,5.78,7.13,11.36
2042,9.27,12.70,11.60,10.79,9.12,5.54,9.26,5.61,7.02,11.82
2043,9.20,12.67,11.65,10.65,9.04,5.39,9.15,5.62,6.93,11.70
2044,9.57,12.85,12.02,10.96,9.45,5.89,9.57,6.04,7.44,11.95
2045,9.05,12.45,11.51,10.46,8.90,5.43,9.03,5.57,6.96,11.50
2046,9.16,12.38,11.56,10.50,9.10,5.57,9.06,5.89,7.22,11.49
2047,9.16,12.84,11.55,10.62,8.94,5.33,9.23,5.48,6.88,11.73
2048,9.12,12.37,11.56,10.56,9.04,5.50,9.09,5.60,6.87,11.61
2049,9.69,12.89,12.09,11.15,9.66,6.01,9.57,6.07,7.45,12.18
2050,9.46,12.70,11.89,10.81,9.29,5.99,9.45,6.28,7.67,11.78
2051,9.50,12.84,11.89,10.94,9.37,5.79,9.40,6.01,7.33,12.05
2052,9.28,12.69,11.77,10.69,9.15,5.58,9.26,5.76,7.08,11.76
2053,9.51,12.67,11.89,10.90,9.48,5.87,9.50,5.95,7.30,11.94
2054,9.62,12.95,12.06,11.09,9.50,5.89,9.58,6.05,7.33,12.14
2055,9.35,12.80,11.71,10.84,9.14,5.56,9.31,5.81,7.16,11.96
2056,9.30,12.46,11.67,10.65,9.36,5.75,9.30,5.70,7.11,11.51
2057,9.66,13.02,12.15,11.08,9.63,5.94,9.66,5.98,7.16,12.04
2058,9.82,13.28,12.17,11.25,9.74,6.18,9.82,6.16,7.37,12.34
2059,9.27,12.46,11.73,10.65,9.20,5.60,9.24,5.90,7.33,11.59
2060,9.91,13.14,12.22,11.27,9.88,6.43,9.88,6.56,7.71,12.09
2061,10.00,13.29,12.36,11.41,9.84,6.36,9.92,6.58,7.97,12.44
2062,9.94,13.39,12.47,11.43,9.83,6.18,10.02,6.27,7.52,12.40
2063,9.40,12.65,11.81,10.82,9.31,5.73,9.40,5.88,7.18,11.84
2064,9.69,12.98,12.32,11.03,9.65,6.12,9.72,6.35,7.71,11.95
2065,9.23,12.57,11.68,10.60,9.13,5.67,9.31,5.82,7.15,11.56
2066,9.35,12.60,11.71,10.76,9.32,5.70,9.40,5.74,7.19,11.70
2067,9.98,13.47,12.39,11.43,9.76,6.30,9.97,6.38,7.60,12.64
2068,9.66,13.03,12.09,11.11,9.51,5.90,9.71,6.09,7.43,12.13
2069,9.93,13.32,12.36,11.38,9.76,6.25,10.00,6.31,7.62,12.49
2070,9.48,12.88,11.78,10.93,9.38,5.78,9.42,5.90,7.37,12.04
2071,9.52,13.00,11.97,10.99,9.34,5.73,9.61,5.90,7.23,12.01
2072,9.12,12.30,11.81,10.43,9.12,5.71,9.11,5.73,6.93,11.41
2073,9.65,12.81,11.80,11.04,9.46,6.01,9.51,6.13,7.46,12.05
2074,9.88,13.15,12.21,11.23,9.95,6.27,9.83,6.31,7.85,12.26
2075,9.93,13.25,12.39,11.34,9.84,6.28,9.92,6.32,7.62,12.31
2076,9.55,12.83,12.00,10.90,9.52,5.89,9.54,6.03,7.40,11.88
2077,9.50,12.71,11.88,10.90,9.31,5.79,9.47,6.04,7.43,11.98
2078,10.18,13.15,12.68,11.58,10.25,6.57,10.23,6.57,7.82,12.36
2079,10.08,13.50,12.63,11.58,9.96,6.33,10.10,6.48,7.77,12.57
2080,9.80,13.00,12.24,11.15,9.69,6.30,9.79,6.52,7.89,12.14
2081,9.94,13.12,12.23,11.32,9.85,6.28,9.82,6.49,7.92,12.32
2082,9.69,12.94,12.25,11.09,9.73,6.11,9.72,5.98,7.37,12.09
2083,9.83,13.10,12.29,11.28,9.71,6.10,9.82,6.15,7.42,12.36
2084,10.04,13.28,12.41,11.47,9.96,6.39,10.01,6.51,7.82,12.47
2085,9.95,13.12,12.21,11.35,9.96,6.36,9.94,6.39,7.90,12.32
2086,9.80,13.02,12.21,11.13,9.69,6.28,9.69,6.50,7.91,12.16
2087,9.49,12.87,12.02,10.88,9.36,5.83,9.51,6.04,7.51,11.89
2088,9.44,12.61,11.79,10.81,9.34,5.78,9.32,6.06,7.45,11.82
2089,9.88,13.02,12.19,11.25,9.88,6.23,9.81,6.41,7.78,12.20
2090,9.76,13.15,11.99,11.28,9.59,5.93,9.65,6.05,7.39,12.35
2091,9.47,12.66,11.77,10.89,9.40,5.81,9.36,6.03,7.45,11.91
2092,9.76,13.15,12.15,11.13,9.67,6.14,9.65,6.37,7.82,12.12
2093,9.64,12.92,12.23,10.94,9.51,6.14,9.62,6.47,7.89,11.92
2094,9.96,13.27,12.26,11.43,9.84,6.13,9.93,6.30,7.67,12.41
2095,9.84,13.21,12.11,11.24,9.80,6.13,9.80,6.17,7.49,12.22
2096,10.27,13.66,12.55,11.76,10.08,6.48,10.22,6.58,7.91,12.80
2097,9.84,12.96,12.02,11.22,9.78,6.17,9.74,6.35,7.75,12.20
2098,9.38,12.53,12.02,10.70,9.37,5.78,9.43,5.94,7.18,11.64
2099,9.84,13.09,12.31,11.20,9.71,6.26,9.93,6.36,7.73,12.18
2100,10.16,13.44,12.60,11.66,10.11,6.51,10.15,6.51,7.77,12.65
