Variable:,tas
,"Cocos (Keeling) Islands","Administrative unit not available"
2015,26.96,26.63
2016,26.87,26.59
2017,26.90,26.61
2018,26.88,26.57
2019,27.07,26.73
2020,27.04,26.72
2021,27.15,26.79
2022,26.97,26.71
2023,27.09,26.80
2024,27.16,26.82
2025,27.10,26.78
2026,27.16,26.86
2027,27.17,26.85
2028,27.27,26.94
2029,27.29,26.95
2030,27.18,26.86
2031,27.36,27.04
2032,27.30,26.99
2033,27.20,26.87
2034,27.24,26.93
2035,27.37,27.01
2036,27.39,27.03
2037,27.43,27.06
2038,27.42,27.12
2039,27.46,27.15
2040,27.41,27.08
2041,27.42,27.13
2042,27.44,27.11
2043,27.51,27.17
2044,27.52,27.14
2045,27.51,27.10
2046,27.55,27.19
2047,27.64,27.40
2048,27.46,27.13
2049,27.53,27.20
2050,27.59,27.27
2051,27.63,27.31
2052,27.48,27.16
2053,27.49,27.20
2054,27.45,27.05
2055,27.55,27.28
2056,27.57,27.28
2057,27.53,27.16
2058,27.53,27.22
2059,27.67,27.35
2060,27.89,27.59
2061,27.78,27.52
2062,27.73,27.37
2063,28.02,27.69
2064,27.76,27.47
2065,27.55,27.23
2066,27.60,27.37
2067,27.85,27.50
2068,27.57,27.28
2069,27.72,27.48
2070,27.76,27.40
2071,27.72,27.32
2072,27.70,27.40
2073,27.59,27.28
2074,27.74,27.35
2075,27.73,27.41
2076,27.70,27.37
2077,27.75,27.45
2078,27.65,27.30
2079,27.55,27.24
2080,27.63,27.28
2081,27.70,27.41
2082,27.81,27.46
2083,27.63,27.26
2084,27.85,27.52
2085,27.68,27.35
2086,27.65,27.33
2087,27.65,27.34
2088,27.79,27.47
2089,27.71,27.39
2090,27.67,27.44
2091,27.69,27.44
2092,27.73,27.34
2093,27.85,27.54
2094,27.67,27.31
2095,27.69,27.36
2096,27.76,27.41
2097,27.76,27.40
2098,27.68,27.35
2099,27.66,27.32
2100,27.75,27.49
