Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2015,27.84,28.66,28.35,24.27,28.94,29.03,26.55,25.59
2016,27.69,28.50,28.30,23.92,28.91,28.85,26.16,25.37
2017,27.68,28.49,28.27,23.98,28.93,28.85,26.18,25.34
2018,27.92,28.78,28.45,24.13,29.19,29.06,26.48,25.60
2019,27.88,28.69,28.46,24.19,29.13,29.04,26.40,25.58
2020,27.97,28.90,28.52,24.26,29.03,29.23,26.49,25.68
2021,27.92,28.82,28.42,24.22,29.06,29.19,26.48,25.61
2022,28.14,29.07,28.64,24.39,29.27,29.36,26.68,25.83
2023,28.14,28.93,28.79,24.26,29.29,29.12,26.51,25.84
2024,28.25,29.19,28.75,24.50,29.35,29.44,26.81,25.97
2025,28.05,28.93,28.62,24.17,29.28,29.10,26.44,25.77
2026,28.17,28.96,28.71,24.43,29.53,29.20,26.70,25.87
2027,28.44,29.28,28.97,24.77,29.63,29.64,26.98,26.15
2028,28.24,29.05,28.85,24.47,29.51,29.27,26.64,25.96
2029,28.22,29.00,28.84,24.35,29.46,29.24,26.57,25.92
2030,28.33,29.23,29.00,24.58,29.41,29.52,26.85,26.03
2031,28.48,29.36,28.98,24.77,29.65,29.65,27.07,26.23
2032,28.50,29.42,28.97,24.81,29.74,29.60,27.05,26.20
2033,28.52,29.36,29.12,24.73,29.70,29.56,27.00,26.25
2034,28.39,29.17,28.92,24.57,29.77,29.53,26.85,26.04
2035,28.58,29.38,29.14,24.85,29.76,29.78,27.17,26.27
2036,28.64,29.56,29.13,24.89,29.82,29.85,27.18,26.34
2037,28.64,29.60,29.13,24.81,29.76,29.78,27.10,26.37
2038,28.58,29.51,29.06,24.83,29.84,29.78,27.10,26.27
2039,28.72,29.58,29.31,25.03,29.96,29.90,27.24,26.43
2040,28.56,29.41,29.07,24.78,29.70,29.71,27.17,26.28
2041,28.52,29.38,29.06,24.84,29.73,29.71,27.03,26.24
2042,28.62,29.46,29.17,24.91,29.76,29.76,27.21,26.34
2043,28.74,29.58,29.21,25.08,29.96,29.96,27.31,26.47
2044,28.80,29.68,29.29,24.96,29.96,29.89,27.28,26.54
2045,28.73,29.55,29.28,24.88,29.80,29.85,27.08,26.45
2046,28.92,29.77,29.44,25.20,30.09,30.06,27.58,26.65
2047,28.80,29.57,29.37,25.05,30.11,29.88,27.29,26.47
2048,28.75,29.67,29.36,25.10,29.97,29.98,27.29,26.45
2049,28.70,29.58,29.18,25.01,29.93,29.87,27.20,26.44
2050,28.92,29.73,29.51,25.07,30.25,29.93,27.34,26.62
2051,28.92,29.84,29.42,25.21,30.14,30.05,27.47,26.64
2052,28.93,29.75,29.46,25.05,30.08,29.94,27.36,26.69
2053,28.81,29.74,29.30,25.13,29.95,30.06,27.35,26.53
2054,28.86,29.72,29.41,25.07,30.04,30.00,27.43,26.57
2055,28.85,29.66,29.43,25.24,30.20,30.00,27.40,26.52
2056,28.75,29.61,29.26,25.14,30.05,29.95,27.39,26.47
2057,28.79,29.66,29.28,25.05,30.11,29.94,27.31,26.50
2058,29.02,29.99,29.49,25.34,30.21,30.18,27.62,26.74
2059,29.06,29.96,29.53,25.50,30.20,30.25,27.86,26.74
2060,28.86,29.78,29.34,25.22,30.03,30.02,27.47,26.62
2061,28.93,29.82,29.44,25.42,30.22,30.20,27.68,26.63
2062,29.12,30.00,29.59,25.29,30.26,30.23,27.69,26.86
2063,29.25,30.20,29.69,25.41,30.34,30.43,27.76,26.97
2064,29.14,30.00,29.71,25.33,30.28,30.21,27.62,26.86
2065,28.83,29.74,29.38,25.06,30.08,29.92,27.30,26.55
2066,28.98,29.94,29.44,25.28,30.21,30.16,27.52,26.73
2067,29.03,29.95,29.53,25.29,30.24,30.24,27.60,26.69
2068,29.07,30.07,29.49,25.28,30.05,30.18,27.69,26.82
2069,29.06,30.05,29.53,25.35,30.25,30.19,27.57,26.81
2070,29.10,29.96,29.62,25.46,30.36,30.36,27.75,26.79
2071,29.08,29.92,29.61,25.39,30.47,30.22,27.65,26.78
2072,29.06,29.97,29.54,25.33,30.31,30.18,27.61,26.78
2073,29.10,30.01,29.63,25.52,30.32,30.22,27.63,26.86
2074,29.03,29.91,29.55,25.32,30.27,30.19,27.51,26.75
2075,28.98,29.88,29.50,25.21,30.16,30.14,27.48,26.72
2076,29.13,30.01,29.59,25.35,30.44,30.28,27.69,26.85
2077,29.17,30.05,29.68,25.54,30.39,30.24,27.76,26.90
2078,29.13,30.03,29.65,25.40,30.32,30.19,27.62,26.87
2079,29.03,29.80,29.50,25.54,30.37,30.26,27.69,26.75
2080,28.92,29.83,29.53,25.24,30.07,30.07,27.48,26.69
2081,29.06,30.00,29.57,25.41,30.37,30.37,27.57,26.78
2082,29.22,30.11,29.74,25.62,30.54,30.44,27.93,26.99
2083,28.92,29.75,29.53,25.29,30.26,30.24,27.49,26.62
2084,29.03,29.91,29.49,25.30,30.41,30.15,27.53,26.72
2085,29.12,29.95,29.61,25.31,30.36,30.26,27.55,26.79
2086,29.20,29.96,29.76,25.36,30.62,30.16,27.58,26.87
2087,29.14,29.94,29.77,25.28,30.31,30.21,27.50,26.88
2088,29.13,30.06,29.69,25.47,30.31,30.32,27.80,26.88
