Variable:,tas
2015,6.75
2016,6.80
2017,6.95
2018,6.87
2019,6.80
2020,6.81
2021,6.94
2022,6.88
2023,6.89
2024,6.90
2025,6.94
2026,7.04
2027,6.84
2028,7.01
2029,7.05
2030,7.18
2031,7.02
2032,7.07
2033,6.97
2034,7.06
2035,7.18
2036,7.14
2037,7.18
2038,7.17
2039,7.15
2040,6.99
2041,7.13
2042,7.03
2043,7.22
2044,7.22
2045,7.12
2046,7.21
2047,7.24
2048,7.33
2049,7.24
2050,7.19
2051,7.47
2052,7.26
2053,7.35
2054,7.29
2055,7.38
2056,7.43
2057,7.36
2058,7.41
2059,7.43
2060,7.54
2061,7.35
2062,7.24
2063,7.56
2064,7.49
2065,7.28
2066,7.42
2067,7.44
2068,7.37
2069,7.44
2070,7.49
2071,7.38
2072,7.34
2073,7.49
2074,7.52
2075,7.18
2076,7.53
2077,7.53
2078,7.43
2079,7.49
2080,7.56
2081,7.40
2082,7.56
2083,7.74
2084,7.34
2085,7.32
2086,7.73
2087,7.44
2088,7.41
2089,7.31
2090,7.44
2091,7.58
2092,7.51
2093,7.40
2094,7.59
2095,7.59
2096,7.25
2097,7.55
2098,7.61
2099,7.45
2100,7.33
