Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,24.90,25.22,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.54,24.52
2016,24.95,25.19,24.62,24.62,24.62,24.62,24.62,24.62,24.62,24.64,24.62
2017,24.92,25.11,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.59,24.57
2018,24.94,25.28,24.55,24.55,24.55,24.55,24.55,24.55,24.55,24.57,24.55
2019,24.87,25.22,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.47,24.45
2020,25.18,25.44,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.77,24.75
2021,24.94,25.23,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.56,24.54
2022,25.10,25.39,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2023,25.06,25.34,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.67,24.65
2024,25.20,25.49,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.81,24.79
2025,25.12,25.45,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2026,25.11,25.50,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.74,24.72
2027,25.27,25.52,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.87,24.85
2028,25.23,25.58,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.80,24.78
2029,25.15,25.32,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.73,24.71
2030,25.15,25.44,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.82,24.81
2031,25.22,25.53,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.82,24.80
2032,25.15,25.41,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.80,24.78
2033,25.15,25.49,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.74,24.72
2034,25.52,25.83,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.11,25.09
2035,25.14,25.45,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.81,24.79
2036,25.27,25.58,24.90,24.90,24.90,24.90,24.90,24.90,24.90,24.92,24.90
2037,25.44,25.79,25.01,25.01,25.01,25.01,25.01,25.01,25.01,25.03,25.01
2038,25.22,25.50,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.87,24.85
2039,25.46,25.76,25.04,25.04,25.04,25.04,25.04,25.04,25.04,25.06,25.04
