Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
2015,8.79,5.33,9.22,8.40,11.97,11.32,7.91,6.47,12.83,14.52,13.83,5.14,4.55,6.09,14.54,10.32,6.87
2016,8.85,5.57,9.32,8.25,12.14,11.12,8.00,6.78,12.91,14.80,14.01,5.10,4.73,5.91,14.43,10.49,6.86
2017,9.30,6.31,9.98,8.50,12.39,11.51,8.53,7.41,13.36,15.14,14.38,5.76,5.29,6.04,14.86,10.87,7.26
2018,8.93,5.75,9.35,8.42,11.87,11.34,8.23,6.53,12.89,14.52,13.77,5.72,4.77,6.24,14.61,10.15,6.90
2019,8.92,5.88,9.26,8.58,11.91,11.29,8.14,6.71,12.82,14.51,13.85,5.58,5.03,6.04,14.49,10.31,7.14
2020,9.36,6.12,9.96,8.77,12.35,11.86,8.60,7.36,13.49,14.85,14.24,5.75,5.11,6.42,15.11,10.77,7.39
2021,9.17,6.03,9.59,8.64,12.44,11.45,8.10,7.07,13.10,15.39,14.48,5.62,5.18,6.33,14.70,10.85,7.22
2022,9.22,5.80,9.60,8.97,12.20,11.92,8.39,6.80,13.42,14.89,14.28,5.54,4.98,6.49,15.12,10.54,7.75
2023,9.43,6.27,9.85,8.83,12.41,11.66,8.64,7.33,13.50,14.93,14.26,6.17,5.30,6.82,14.94,10.66,7.27
2024,9.22,5.89,9.86,8.66,12.38,11.78,8.37,7.04,13.38,15.01,14.42,5.39,5.06,6.15,15.00,10.78,7.44
2025,9.30,5.88,9.90,8.71,12.60,11.64,8.25,7.33,13.31,15.14,14.50,5.49,5.32,6.34,14.93,11.17,7.47
2026,9.53,6.40,10.05,8.93,12.87,11.72,8.52,7.55,13.42,15.50,14.60,5.96,5.58,6.63,15.00,11.32,7.81
2027,9.80,6.75,10.31,9.29,12.85,12.08,9.12,7.89,13.85,15.48,14.90,5.86,5.85,6.80,15.32,11.07,7.98
2028,9.67,6.38,10.29,9.22,12.75,12.10,8.91,7.59,13.67,15.30,14.46,6.18,5.53,6.78,15.31,11.01,7.94
2029,9.74,6.60,10.22,9.12,12.70,12.05,8.94,7.71,13.59,15.63,14.67,6.22,5.71,7.03,15.13,11.06,7.81
2030,9.57,6.40,10.20,8.88,12.59,11.89,8.71,7.52,13.64,15.44,14.69,6.13,5.59,6.56,15.18,10.88,7.49
2031,9.36,6.07,9.69,9.16,12.25,11.98,8.55,6.99,13.30,15.21,14.28,5.95,5.07,6.76,15.15,10.58,7.68
2032,9.62,6.37,10.08,9.17,12.63,12.06,8.82,7.33,13.68,15.43,14.68,6.39,5.31,6.87,15.19,10.89,7.88
2033,9.44,6.31,9.76,8.93,12.36,11.92,8.61,7.25,13.52,15.14,14.36,6.09,5.43,6.68,15.37,10.73,7.69
2034,9.61,6.50,10.26,9.10,12.65,12.05,8.66,7.50,13.59,15.37,14.54,6.21,5.61,6.60,15.22,11.09,7.96
2035,9.90,6.89,10.29,9.27,12.94,12.23,9.09,7.65,13.91,15.81,15.03,6.64,6.05,7.03,15.48,11.29,8.06
2036,9.95,6.70,10.71,9.13,13.26,12.15,8.93,7.96,13.82,15.94,15.09,6.58,5.96,6.83,15.36,11.79,7.75
2037,9.99,7.08,10.46,9.38,12.72,12.51,9.34,7.83,14.02,15.44,14.74,6.61,5.95,7.15,15.74,11.09,7.96
2038,10.05,6.78,10.73,9.21,13.37,12.19,9.23,7.72,14.13,15.88,15.20,6.59,5.84,7.01,15.53,11.88,7.70
2039,10.02,6.73,10.50,9.61,12.92,12.61,9.41,7.79,14.17,15.53,14.95,6.43,5.74,7.02,15.87,11.28,8.34
2040,9.60,6.14,10.32,9.12,12.62,12.01,8.63,7.53,13.70,15.44,14.51,5.93,5.31,6.81,15.34,11.13,8.19
2041,9.76,6.58,10.25,9.18,12.81,11.97,8.67,7.79,13.63,15.45,14.63,6.57,5.92,7.04,15.22,11.34,7.57
2042,10.11,6.79,10.52,9.41,13.00,12.64,9.44,7.95,14.20,15.70,15.01,6.68,5.93,7.32,15.92,11.43,8.18
2043,10.05,7.14,10.54,9.40,13.03,12.34,9.36,8.04,13.93,15.48,14.80,6.58,6.08,7.40,15.38,11.30,8.21
2044,10.20,7.35,10.68,9.34,13.15,12.36,9.36,8.35,13.98,15.74,14.99,6.80,6.56,7.44,15.66,11.78,8.01
2045,10.04,6.96,10.75,9.50,12.95,12.44,8.99,8.09,13.91,15.78,14.86,6.50,6.43,7.05,15.49,11.56,8.28
2046,10.14,7.25,10.67,9.47,13.26,12.43,9.27,8.15,13.78,15.97,15.07,6.75,6.38,7.25,15.59,11.66,8.47
2047,10.43,7.55,10.82,9.83,13.16,12.79,9.89,8.01,14.22,15.78,15.14,7.62,6.37,7.83,15.93,11.36,8.29
2048,10.56,7.37,11.11,9.96,13.63,12.92,9.78,8.43,14.59,16.09,15.51,7.03,6.36,7.81,16.11,11.96,8.66
2049,10.65,7.70,10.97,9.94,13.36,12.76,9.95,8.74,14.23,15.94,15.12,7.77,6.93,8.19,15.87,11.95,8.64
2050,10.30,7.26,10.76,9.86,13.23,12.87,9.64,8.16,14.24,15.70,14.95,6.87,5.84,7.55,15.91,11.65,8.67
2051,10.27,7.29,10.75,9.72,13.24,12.56,9.53,8.28,14.06,15.84,15.07,6.86,6.44,7.45,15.69,11.56,8.57
2052,10.36,7.06,11.17,9.75,13.36,12.73,9.46,8.37,14.41,15.88,15.27,6.79,6.36,7.33,15.89,11.98,8.60
2053,10.23,6.90,10.70,9.67,13.23,12.72,9.43,8.13,14.41,16.10,15.31,6.50,6.27,7.27,16.12,11.49,8.61
2054,10.53,7.50,11.22,9.74,13.53,12.89,9.75,8.41,14.56,16.11,15.65,7.16,6.48,7.47,16.13,11.97,8.08
2055,10.59,7.51,11.07,9.97,13.27,12.99,9.88,8.72,14.58,16.01,15.43,7.17,6.62,7.85,16.28,11.52,8.69
2056,10.26,7.21,10.75,9.82,13.12,12.66,9.46,8.23,14.07,15.79,14.99,6.87,6.24,7.51,15.73,11.56,8.31
2057,10.55,7.44,10.92,10.08,13.42,12.95,9.76,8.48,14.38,16.13,15.57,7.28,6.66,7.87,16.12,11.65,8.61
2058,10.75,7.64,11.23,10.07,13.64,13.01,10.01,8.67,14.67,16.36,15.73,7.46,6.77,8.02,16.20,12.00,8.64
2059,11.08,8.08,11.74,10.48,13.80,13.39,10.29,9.03,14.91,16.55,15.96,7.93,6.95,8.36,16.54,12.15,9.09
2060,10.81,7.93,11.54,9.96,13.58,12.84,9.91,9.12,14.46,16.23,15.49,7.95,7.11,7.96,16.00,12.14,8.56
2061,10.35,7.26,10.98,9.58,13.23,12.45,9.49,8.39,14.25,15.84,15.20,7.33,6.35,7.54,15.61,11.84,8.24
2062,10.41,7.26,10.82,9.84,13.52,12.78,9.64,8.21,14.34,16.29,15.45,6.96,6.21,7.63,16.02,11.93,8.60
2063,10.38,7.24,11.22,9.70,13.56,12.66,9.63,8.24,14.50,16.27,15.51,6.57,5.95,7.33,15.97,11.92,8.45
2064,10.23,7.01,10.45,9.94,13.06,12.55,9.38,8.08,13.91,15.80,14.92,7.12,6.29,7.86,15.71,11.50,8.53
2065,10.38,7.26,10.95,9.85,13.37,12.80,9.47,8.31,14.25,16.03,15.26,7.00,6.55,7.42,16.01,11.87,8.30
2066,10.50,7.31,10.99,9.93,13.52,12.81,9.64,8.44,14.33,15.98,15.23,7.18,6.77,7.80,16.05,11.89,8.50
2067,10.37,7.23,10.97,9.74,13.30,12.60,9.43,8.37,14.23,15.99,15.18,7.17,6.40,7.68,15.82,11.83,8.57
2068,11.05,8.10,11.80,10.08,13.90,13.16,10.32,9.33,15.01,16.42,15.78,7.72,7.24,8.04,16.48,12.35,8.90
2069,10.55,7.44,11.07,10.05,13.33,12.89,9.87,8.46,14.48,16.05,15.44,7.07,6.57,7.76,16.13,11.71,8.67
2070,10.10,6.78,10.52,9.79,13.11,12.55,9.26,7.92,13.96,15.93,15.05,6.50,6.02,7.36,15.58,11.65,8.82
2071,10.42,7.23,10.92,9.79,13.35,12.92,9.63,8.30,14.54,16.05,15.25,6.88,6.42,7.51,16.16,11.90,8.50
2072,10.79,8.01,11.31,10.08,13.89,12.97,9.98,8.94,14.57,16.76,15.88,7.40,7.00,7.80,16.12,12.01,8.53
2073,10.79,7.23,11.41,10.31,13.78,13.45,10.06,8.47,14.81,16.27,15.51,7.07,6.40,8.11,16.61,12.26,9.08
2074,10.79,7.59,11.44,10.12,13.57,12.93,10.16,8.85,14.70,16.16,15.55,7.60,6.85,7.92,16.05,11.90,8.74
2075,10.68,7.74,11.37,9.94,13.58,12.96,9.93,8.88,14.71,16.08,15.46,7.12,6.63,7.53,16.26,12.23,8.82
2076,11.20,8.48,11.79,10.54,13.56,13.64,10.65,9.54,15.19,16.11,15.47,8.02,7.35,8.23,16.61,12.16,8.67
2077,10.42,7.41,10.97,9.78,13.38,12.77,9.61,8.49,14.33,16.35,15.49,6.96,6.28,7.54,15.94,11.62,8.42
2078,10.43,7.13,10.78,9.97,13.57,12.89,9.52,8.12,14.34,16.26,15.55,6.98,6.19,7.77,16.09,12.07,8.69
2079,10.64,7.43,11.52,9.92,13.79,12.79,9.64,8.85,14.49,16.11,15.32,7.00,6.61,7.66,15.93,12.57,8.43
2080,10.57,7.62,11.09,9.94,13.23,12.70,9.81,8.65,14.48,15.78,15.16,7.31,6.71,8.14,15.85,11.62,8.29
2081,10.89,8.01,11.28,10.25,13.47,13.24,10.10,8.97,14.87,16.24,15.63,7.60,7.21,8.15,16.44,12.03,9.16
2082,10.67,7.36,10.91,10.36,13.17,13.41,10.14,8.00,14.84,15.79,15.48,7.41,6.31,8.30,16.52,11.63,9.06
2083,10.83,7.75,11.46,10.05,13.75,12.90,10.01,8.78,14.55,16.31,15.76,7.56,7.03,8.15,16.10,12.13,8.47
2084,10.63,7.54,11.19,9.96,13.41,12.97,9.89,8.83,14.50,16.07,15.36,6.99,6.73,7.88,16.11,11.82,8.61
2085,10.52,7.42,11.18,9.70,13.55,12.80,9.63,8.62,14.55,16.09,15.42,6.99,6.85,7.49,16.14,11.93,8.44
2086,10.77,7.57,11.19,10.39,13.54,13.30,10.01,8.66,14.84,16.40,15.60,7.24,6.92,7.84,16.54,12.04,9.34
2087,11.20,8.01,11.66,10.76,13.99,13.43,10.54,8.87,15.34,16.68,16.04,8.06,7.12,8.59,16.63,12.25,9.32
2088,10.52,7.41,10.90,9.97,13.25,12.90,9.81,8.30,14.53,16.02,15.32,7.33,6.64,7.79,15.96,11.81,8.63
2089,10.66,7.44,11.52,9.99,13.55,12.81,9.83,8.74,14.53,16.01,15.45,7.08,6.64,7.81,15.92,12.13,8.62
2090,10.90,7.67,11.69,10.40,13.89,13.37,10.04,9.01,14.75,16.45,15.92,7.44,6.96,7.65,16.53,12.15,9.25
2091,10.50,7.08,11.13,9.93,13.56,12.87,9.69,8.45,14.45,16.12,15.55,6.73,6.30,7.70,16.19,12.04,8.85
2092,10.35,7.26,10.67,9.66,13.49,12.63,9.48,8.22,14.18,16.14,15.08,7.23,6.75,7.45,15.84,12.10,8.43
2093,10.69,7.74,11.12,10.28,13.38,12.84,10.09,8.41,14.48,16.13,15.19,7.66,6.64,8.30,15.98,11.60,8.74
2094,10.91,7.90,11.00,10.37,13.41,13.31,10.33,8.76,14.74,16.12,15.27,8.00,7.21,8.55,16.38,11.83,8.93
2095,10.25,7.00,10.79,9.63,13.20,12.52,9.54,8.17,14.23,15.87,15.03,6.64,6.18,7.53,15.72,11.71,8.11
2096,10.51,7.42,10.92,9.90,13.46,12.91,9.67,8.33,14.31,16.14,15.43,7.14,6.60,7.81,15.98,12.09,8.52
2097,10.17,7.10,10.55,9.81,13.18,12.69,9.49,7.82,14.08,15.77,15.04,6.73,6.06,7.40,15.77,11.55,8.43
2098,10.54,7.38,11.17,9.99,13.47,12.80,9.71,8.52,14.55,16.11,15.43,7.03,6.53,7.65,15.93,11.97,8.54
2099,10.72,7.56,11.56,9.77,13.80,12.75,9.85,8.95,14.76,16.17,15.71,7.18,6.93,7.71,15.91,12.17,8.29
2100,10.56,7.41,11.06,10.00,13.74,12.94,9.79,8.34,14.47,16.42,15.67,6.96,6.20,7.64,16.10,12.43,8.75
