Variable:,tas
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
2025,5.07,10.07,6.10,6.18,10.04,10.09,3.76,9.13,9.59,9.86,1.67,8.51,8.83,10.28,9.00,8.98,8.54,8.26,3.57,5.03,8.37,9.44
2026,4.99,9.92,5.89,6.01,9.94,10.21,3.89,9.01,9.27,9.77,1.55,8.38,8.58,10.34,8.74,8.98,8.49,8.00,3.67,5.04,8.15,9.41
2027,4.93,9.65,5.77,5.90,9.71,9.76,3.93,8.61,9.09,9.43,1.73,7.98,8.26,10.03,8.48,8.60,8.31,7.65,3.70,4.95,7.87,8.91
2028,5.05,10.20,5.83,6.09,10.37,10.09,3.60,9.17,9.70,9.94,1.69,8.37,8.82,10.46,8.97,9.24,8.76,7.99,3.61,4.99,8.26,9.38
2029,5.36,10.16,6.05,6.41,10.32,10.15,3.89,8.97,9.58,9.91,2.32,8.32,8.66,10.47,8.96,9.26,8.88,8.07,4.15,5.29,8.28,9.30
2030,5.30,10.23,6.05,6.17,10.24,10.29,4.00,9.04,9.61,9.97,2.18,8.47,8.75,10.51,8.93,9.09,8.59,8.18,3.95,5.27,8.27,9.46
2031,5.01,10.05,5.84,5.87,9.88,10.04,3.99,8.88,9.36,9.79,1.65,8.34,8.56,10.26,8.73,8.86,8.35,7.95,3.66,5.07,8.08,9.27
2032,4.95,9.80,5.72,5.89,9.78,9.84,3.71,8.74,9.20,9.56,1.81,8.10,8.31,10.05,8.53,8.75,8.31,7.74,3.63,4.92,7.91,9.04
2033,5.11,10.21,6.07,6.09,9.96,10.17,3.79,9.14,9.63,9.92,1.77,8.47,8.75,10.50,8.88,8.93,8.50,8.17,3.69,5.14,8.25,9.43
2034,5.27,10.10,6.10,6.32,10.17,10.11,4.02,9.08,9.59,9.84,2.07,8.44,8.76,10.32,8.96,9.17,8.76,8.01,3.92,5.40,8.32,9.37
2035,4.92,10.13,5.78,5.97,10.20,10.15,3.51,8.95,9.49,9.88,1.50,8.31,8.64,10.44,8.83,9.08,8.60,7.95,3.45,4.96,8.16,9.34
2036,4.94,9.95,5.71,5.82,10.23,9.96,3.56,8.91,9.41,9.74,1.74,8.20,8.58,10.25,8.72,8.90,8.36,7.85,3.55,4.83,8.01,9.22
2037,5.62,10.06,6.36,6.55,10.13,10.12,4.37,9.05,9.50,9.84,2.66,8.61,8.83,10.37,9.06,9.29,8.88,8.33,4.45,5.66,8.50,9.46
2038,5.07,10.03,5.83,5.98,10.20,10.04,3.70,8.79,9.46,9.73,1.99,8.20,8.54,10.40,8.77,9.04,8.51,7.82,3.70,4.99,8.09,9.18
2039,5.77,10.44,6.33,6.47,10.46,10.58,4.60,9.38,9.81,10.23,2.80,8.72,9.04,10.80,9.16,9.39,8.92,8.43,4.61,5.69,8.48,9.83
2040,5.54,10.31,6.24,6.41,10.47,10.37,4.45,9.23,9.74,10.07,2.40,8.55,8.86,10.64,9.06,9.37,8.82,8.23,4.37,5.66,8.38,9.58
2041,6.19,10.50,6.93,7.20,10.72,10.56,4.90,9.48,10.00,10.29,3.13,9.34,9.41,10.71,9.80,9.98,9.59,8.93,5.10,6.42,9.22,9.97
2042,5.73,10.51,6.61,6.67,10.57,10.42,4.47,9.39,9.95,10.19,2.62,8.89,9.04,10.73,9.32,9.55,9.14,8.58,4.44,5.63,8.70,9.69
2043,5.83,10.59,6.91,7.01,10.80,10.40,4.88,9.43,10.11,10.30,2.50,9.00,9.19,10.75,9.54,9.79,9.40,8.69,4.42,6.01,8.96,9.65
2044,5.19,10.10,6.00,6.22,10.21,10.09,3.87,8.96,9.54,9.85,2.05,8.31,8.63,10.39,8.86,9.07,8.63,8.00,3.80,5.23,8.20,9.28
2045,5.55,10.34,6.41,6.54,10.36,10.35,4.29,9.41,9.86,10.09,2.40,8.69,9.10,10.63,9.21,9.08,8.79,8.34,4.17,5.62,8.60,9.62
2046,5.95,10.51,6.93,6.95,10.46,10.76,4.83,9.58,9.95,10.34,2.80,9.20,9.27,10.92,9.56,9.59,9.24,8.90,4.59,5.92,9.05,10.05
2047,5.19,9.97,5.76,5.93,9.89,9.96,3.92,8.81,9.38,9.71,2.22,8.13,8.53,10.24,8.76,9.01,8.51,7.78,3.98,5.10,8.03,9.14
2048,5.42,10.50,6.27,6.55,10.64,10.51,4.26,9.21,9.87,10.19,2.05,8.41,8.82,10.78,9.10,9.55,9.02,8.25,4.08,5.62,8.39,9.69
2049,5.66,10.70,6.48,6.71,10.83,10.83,4.42,9.72,10.17,10.50,2.31,8.91,9.37,11.03,9.54,9.68,9.25,8.47,4.18,5.76,8.82,9.91
2050,5.52,10.65,6.38,6.38,10.65,10.63,4.41,9.33,9.99,10.37,2.30,8.76,9.04,10.94,9.31,9.52,8.96,8.39,4.04,5.39,8.59,9.73
2051,5.89,10.80,6.77,6.80,10.81,10.93,4.78,9.77,10.22,10.59,2.60,9.09,9.39,11.13,9.51,9.63,9.16,8.87,4.62,5.93,8.83,10.16
2052,5.29,10.10,5.98,6.17,10.30,10.13,3.84,9.07,9.53,9.86,2.36,8.46,8.72,10.38,8.96,9.16,8.68,7.96,3.80,5.15,8.29,9.39
2053,5.46,10.49,6.46,6.48,10.56,10.55,4.16,9.37,9.89,10.24,2.19,8.86,9.08,10.77,9.29,9.39,8.95,8.49,4.01,5.33,8.66,9.78
2054,5.53,10.64,6.33,6.53,10.73,10.59,4.09,9.50,10.06,10.35,2.32,8.74,9.14,10.87,9.36,9.62,9.10,8.46,4.06,5.44,8.63,9.77
2055,5.78,10.50,6.32,6.54,10.66,10.59,4.34,9.40,10.01,10.25,2.89,8.64,9.09,10.76,9.23,9.44,8.96,8.27,4.54,5.77,8.52,9.71
2056,5.69,10.19,6.19,6.39,10.33,10.16,4.42,9.08,9.68,9.91,2.90,8.41,8.77,10.46,9.06,9.51,8.95,8.10,4.58,5.68,8.37,9.41
2057,5.62,10.44,6.44,6.65,10.58,10.50,4.28,9.38,9.88,10.19,2.45,8.78,9.05,10.79,9.29,9.47,9.06,8.44,4.27,5.64,8.65,9.72
2058,5.74,10.66,6.50,6.65,10.64,10.69,4.22,9.49,10.05,10.40,2.76,8.91,9.17,10.92,9.40,9.58,9.12,8.55,4.30,5.65,8.77,9.90
2059,5.82,10.93,6.65,6.69,10.82,10.97,4.39,9.80,10.28,10.68,2.67,9.04,9.36,11.18,9.53,9.73,9.24,8.79,4.27,5.71,8.86,10.12
2060,5.62,10.70,6.45,6.64,10.74,10.72,4.05,9.64,10.14,10.46,2.42,8.96,9.31,10.96,9.57,9.80,9.27,8.60,4.10,5.50,8.86,9.88
2061,6.00,10.96,7.05,7.05,10.92,11.08,4.74,9.98,10.34,10.74,2.75,9.30,9.56,11.26,9.62,9.70,9.27,8.98,4.56,5.89,9.01,10.28
2062,5.84,10.95,6.77,6.85,11.03,10.96,4.42,9.93,10.40,10.74,2.45,9.36,9.62,11.16,9.83,9.97,9.48,9.00,4.32,5.76,9.16,10.18
2063,5.52,10.45,6.17,6.30,10.33,10.40,4.49,9.34,9.91,10.19,2.39,8.60,9.04,10.79,9.18,9.29,8.75,8.18,4.18,5.59,8.41,9.60
2064,6.07,10.68,6.78,7.02,10.95,10.73,4.91,9.54,10.14,10.43,2.99,9.02,9.29,10.97,9.58,9.92,9.46,8.85,4.81,6.15,8.92,10.05
2065,5.64,10.18,6.54,6.59,10.33,10.25,4.36,9.29,9.66,10.00,2.56,8.92,8.96,10.49,9.21,9.35,8.93,8.67,4.31,5.52,8.71,9.67
2066,5.80,10.80,6.64,6.73,10.80,10.81,4.52,9.59,10.12,10.55,2.65,8.93,9.21,11.12,9.46,9.68,9.16,8.70,4.41,5.70,8.82,9.95
2067,6.04,10.94,6.77,7.00,10.85,10.95,4.73,9.85,10.41,10.69,2.85,9.23,9.58,11.22,9.79,10.00,9.54,8.86,4.74,5.97,9.12,10.12
2068,5.71,10.62,6.52,6.68,10.68,10.66,4.57,9.58,10.08,10.39,2.45,8.87,9.27,10.85,9.44,9.60,9.10,8.49,4.36,5.66,8.73,9.87
2069,6.11,11.19,7.02,7.19,11.03,11.24,4.86,10.11,10.61,10.98,2.69,9.40,9.76,11.43,9.95,10.10,9.68,9.02,4.79,6.23,9.29,10.41
2070,5.75,10.80,6.46,6.68,10.84,10.73,4.31,9.55,10.16,10.50,2.61,8.96,9.27,11.01,9.54,9.81,9.30,8.57,4.36,5.74,8.83,9.95
2071,5.55,10.54,6.39,6.45,10.56,10.58,4.32,9.45,9.99,10.31,2.32,8.69,9.07,10.86,9.22,9.42,8.90,8.41,4.19,5.47,8.49,9.74
2072,5.65,10.30,6.25,6.38,10.46,10.44,4.18,9.51,9.88,10.09,2.69,8.72,9.17,10.57,9.28,9.48,8.98,8.36,4.31,5.50,8.53,9.82
2073,6.05,10.95,7.10,7.15,11.11,10.97,4.76,9.89,10.43,10.70,2.64,9.47,9.67,11.17,9.89,10.09,9.65,9.24,4.60,6.13,9.30,10.36
2074,6.31,11.29,7.03,7.08,11.15,11.46,5.03,10.24,10.66,11.05,3.20,9.40,9.77,11.46,9.88,10.00,9.52,9.17,5.06,6.11,9.19,10.66
2075,5.97,10.71,6.73,6.90,10.80,10.69,4.74,9.68,10.18,10.47,2.88,9.12,9.43,10.93,9.68,9.81,9.37,8.64,4.66,5.89,9.04,9.94
2076,5.57,10.57,6.42,6.57,10.57,10.60,4.31,9.51,9.99,10.35,2.31,8.80,9.16,10.88,9.33,9.46,9.00,8.46,4.12,5.54,8.67,9.80
2077,5.97,10.56,6.43,6.60,10.55,10.56,4.77,9.31,9.89,10.31,3.24,8.77,9.10,10.83,9.39,9.58,9.11,8.31,4.84,5.88,8.72,9.67
2078,6.11,10.85,6.76,6.98,10.99,10.89,4.72,9.68,10.30,10.60,3.20,9.04,9.40,11.18,9.66,9.92,9.43,8.73,4.79,5.84,8.97,10.05
2079,6.04,10.77,6.99,7.11,10.93,10.87,4.80,9.69,10.20,10.51,2.86,9.36,9.40,11.09,9.67,9.77,9.36,9.13,4.53,5.99,9.16,10.32
2080,5.98,10.79,6.80,6.88,11.04,10.80,4.70,9.72,10.28,10.53,2.80,9.39,9.60,11.11,9.82,9.99,9.48,9.15,4.47,5.83,9.11,10.15
2081,5.84,10.77,6.71,6.82,10.78,10.87,4.56,9.62,10.19,10.54,2.65,9.01,9.37,11.14,9.56,9.86,9.42,8.71,4.36,5.80,8.83,10.01
2082,5.81,10.69,6.78,6.87,10.64,10.95,4.58,9.78,10.17,10.51,2.55,9.03,9.37,11.00,9.50,9.59,9.15,8.86,4.37,5.67,8.87,10.20
2083,5.91,11.02,6.57,6.71,11.05,10.98,4.49,9.87,10.42,10.77,2.82,9.06,9.51,11.30,9.68,9.95,9.42,8.71,4.44,5.72,8.91,10.08
2084,5.80,10.74,6.58,6.74,11.04,10.84,4.47,9.64,10.17,10.49,2.54,9.14,9.32,11.03,9.51,9.73,9.28,8.78,4.40,5.85,8.87,10.12
2085,5.77,10.95,6.60,6.71,11.10,11.03,4.48,9.79,10.40,10.69,2.43,9.03,9.48,11.22,9.75,9.88,9.36,8.71,4.24,5.65,9.00,10.15
2086,5.83,10.79,6.50,6.63,10.78,10.91,4.35,9.71,10.22,10.59,2.68,9.18,9.46,11.22,9.70,9.82,9.35,8.78,4.40,5.74,9.01,10.11
2087,5.91,10.66,6.70,6.94,10.63,10.78,4.78,9.64,10.10,10.44,2.73,8.98,9.27,10.99,9.50,9.73,9.27,8.67,4.62,5.98,8.87,10.01
2088,5.73,10.71,6.39,6.57,10.71,10.79,4.33,9.55,10.11,10.47,2.56,8.99,9.19,11.06,9.38,9.55,9.06,8.63,4.41,5.85,8.71,10.04
2089,5.84,10.95,6.67,6.73,10.87,10.99,4.44,9.78,10.30,10.71,2.67,9.11,9.38,11.30,9.55,9.69,9.22,8.80,4.40,5.73,8.90,10.13
2090,6.10,10.84,6.81,6.98,11.07,10.95,4.86,9.77,10.28,10.60,3.05,8.98,9.39,11.17,9.59,9.85,9.40,8.73,4.84,6.12,8.91,10.23
2091,5.85,10.61,6.64,6.78,10.65,10.73,4.58,9.69,10.05,10.43,2.68,9.05,9.30,10.94,9.45,9.64,9.19,8.76,4.48,5.86,8.82,10.03
2092,6.10,11.06,6.63,6.84,10.91,11.13,4.78,9.85,10.42,10.81,3.07,9.14,9.50,11.31,9.66,9.87,9.31,8.81,4.88,6.05,8.88,10.23
2093,6.00,10.52,6.79,6.99,10.50,10.70,4.86,9.60,9.97,10.33,3.00,8.98,9.17,10.83,9.46,9.57,9.17,8.65,4.67,6.10,8.89,9.90
2094,5.83,10.85,6.33,6.51,10.91,10.76,4.51,9.48,10.20,10.57,2.91,8.74,9.20,11.13,9.46,9.71,9.10,8.33,4.53,5.78,8.63,9.71
2095,6.28,10.79,6.89,7.09,10.95,11.19,4.94,10.20,10.39,10.64,3.17,9.50,9.90,11.07,10.01,10.20,9.65,9.20,4.81,6.25,9.26,10.66
2096,6.28,11.00,6.98,7.06,10.99,11.02,4.90,10.05,10.44,10.78,3.27,9.51,9.67,11.27,9.92,10.05,9.67,9.02,4.97,6.06,9.36,10.28
2097,6.31,11.18,7.06,7.18,11.21,11.15,4.91,10.08,10.58,10.92,3.25,9.52,9.78,11.40,10.03,10.26,9.77,9.15,4.94,6.17,9.36,10.36
2098,5.92,10.78,6.74,6.88,10.83,10.82,4.63,9.77,10.22,10.53,2.80,9.06,9.39,11.02,9.57,9.77,9.31,8.78,4.49,5.87,8.92,10.01
2099,6.19,11.08,7.23,7.32,11.34,11.06,5.03,10.03,10.54,10.84,2.81,9.58,9.83,11.35,10.06,10.23,9.75,9.23,4.67,6.24,9.44,10.31
2100,6.14,10.93,6.72,6.92,10.94,11.01,4.74,9.91,10.36,10.72,3.20,9.12,9.50,11.19,9.62,9.82,9.35,8.80,4.78,6.04,8.94,10.21
