Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
2015,13.09,13.96,13.96,13.96,13.96,13.96,13.96,13.96
2016,12.79,13.80,13.80,13.80,13.80,13.80,13.80,13.80
2017,13.09,14.15,14.15,14.15,14.15,14.15,14.15,14.15
2018,12.92,13.75,13.75,13.75,13.75,13.75,13.75,13.75
2019,12.83,13.74,13.74,13.74,13.74,13.74,13.74,13.74
2020,13.22,14.11,14.11,14.11,14.11,14.11,14.11,14.11
2021,12.95,13.84,13.84,13.84,13.84,13.84,13.84,13.84
2022,13.22,13.92,13.92,13.92,13.92,13.92,13.92,13.92
2023,13.26,14.07,14.07,14.07,14.07,14.07,14.07,14.07
2024,13.56,14.42,14.42,14.42,14.42,14.42,14.42,14.42
2025,13.22,14.05,14.05,14.05,14.05,14.05,14.05,14.05
2026,13.22,14.46,14.46,14.46,14.46,14.46,14.46,14.46
2027,12.97,14.06,14.06,14.06,14.06,14.06,14.06,14.06
2028,13.16,13.96,13.96,13.96,13.96,13.96,13.96,13.96
2029,13.43,14.23,14.23,14.23,14.23,14.23,14.23,14.23
2030,13.46,14.25,14.25,14.25,14.25,14.25,14.25,14.25
2031,13.59,14.47,14.47,14.47,14.47,14.47,14.47,14.47
2032,13.57,14.25,14.25,14.25,14.25,14.25,14.25,14.25
2033,13.46,14.39,14.39,14.39,14.39,14.39,14.39,14.39
2034,13.63,14.60,14.60,14.60,14.60,14.60,14.60,14.60
2035,13.55,14.33,14.33,14.33,14.33,14.33,14.33,14.33
2036,13.46,14.28,14.28,14.28,14.28,14.28,14.28,14.28
2037,13.47,14.33,14.33,14.33,14.33,14.33,14.33,14.33
2038,13.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91
2039,13.93,14.72,14.72,14.72,14.72,14.72,14.72,14.72
2040,13.65,14.50,14.50,14.50,14.50,14.50,14.50,14.50
2041,13.86,14.70,14.70,14.70,14.70,14.70,14.70,14.70
2042,13.63,14.54,14.54,14.54,14.54,14.54,14.54,14.54
2043,13.80,14.61,14.61,14.61,14.61,14.61,14.61,14.61
2044,13.88,14.67,14.67,14.67,14.67,14.67,14.67,14.67
2045,14.27,15.02,15.02,15.02,15.02,15.02,15.02,15.02
2046,13.92,14.67,14.67,14.67,14.67,14.67,14.67,14.67
2047,13.96,14.95,14.95,14.95,14.95,14.95,14.95,14.95
2048,14.03,14.98,14.98,14.98,14.98,14.98,14.98,14.98
2049,14.07,14.99,14.99,14.99,14.99,14.99,14.99,14.99
2050,14.24,15.12,15.12,15.12,15.12,15.12,15.12,15.12
2051,14.33,15.14,15.14,15.14,15.14,15.14,15.14,15.14
2052,13.93,14.70,14.70,14.70,14.70,14.70,14.70,14.70
2053,14.12,14.86,14.86,14.86,14.86,14.86,14.86,14.86
2054,14.04,14.85,14.85,14.85,14.85,14.85,14.85,14.85
2055,14.12,15.24,15.24,15.24,15.24,15.24,15.24,15.24
2056,14.11,15.03,15.03,15.03,15.03,15.03,15.03,15.03
2057,14.16,15.22,15.22,15.22,15.22,15.22,15.22,15.22
2058,14.11,15.19,15.19,15.19,15.19,15.19,15.19,15.19
2059,14.14,15.03,15.03,15.03,15.03,15.03,15.03,15.03
2060,14.33,15.25,15.25,15.25,15.25,15.25,15.25,15.25
2061,14.41,15.23,15.23,15.23,15.23,15.23,15.23,15.23
2062,14.22,15.03,15.03,15.03,15.03,15.03,15.03,15.03
2063,14.00,15.02,15.02,15.02,15.02,15.02,15.02,15.02
2064,14.57,15.27,15.27,15.27,15.27,15.27,15.27,15.27
2065,14.04,14.94,14.94,14.94,14.94,14.94,14.94,14.94
2066,13.91,14.78,14.78,14.78,14.78,14.78,14.78,14.78
2067,14.27,15.19,15.19,15.19,15.19,15.19,15.19,15.19
2068,14.41,15.31,15.31,15.31,15.31,15.31,15.31,15.31
2069,14.41,15.37,15.37,15.37,15.37,15.37,15.37,15.37
2070,14.18,15.15,15.15,15.15,15.15,15.15,15.15,15.15
2071,14.05,15.01,15.01,15.01,15.01,15.01,15.01,15.01
2072,13.87,14.91,14.91,14.91,14.91,14.91,14.91,14.91
2073,14.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19
2074,14.14,14.86,14.86,14.86,14.86,14.86,14.86,14.86
2075,14.46,15.23,15.23,15.23,15.23,15.23,15.23,15.23
2076,14.09,15.01,15.01,15.01,15.01,15.01,15.01,15.01
2077,14.55,15.28,15.28,15.28,15.28,15.28,15.28,15.28
2078,14.34,15.32,15.32,15.32,15.32,15.32,15.32,15.32
2079,14.37,15.44,15.44,15.44,15.44,15.44,15.44,15.44
2080,14.75,15.70,15.70,15.70,15.70,15.70,15.70,15.70
2081,14.40,15.44,15.44,15.44,15.44,15.44,15.44,15.44
2082,14.29,15.05,15.05,15.05,15.05,15.05,15.05,15.05
2083,14.15,15.05,15.05,15.05,15.05,15.05,15.05,15.05
2084,14.40,15.23,15.23,15.23,15.23,15.23,15.23,15.23
2085,14.97,15.85,15.85,15.85,15.85,15.85,15.85,15.85
2086,14.28,15.21,15.21,15.21,15.21,15.21,15.21,15.21
2087,14.12,15.02,15.02,15.02,15.02,15.02,15.02,15.02
2088,13.90,14.81,14.81,14.81,14.81,14.81,14.81,14.81
2089,14.10,15.30,15.30,15.30,15.30,15.30,15.30,15.30
2090,14.48,15.59,15.59,15.59,15.59,15.59,15.59,15.59
2091,14.12,14.96,14.96,14.96,14.96,14.96,14.96,14.96
2092,14.75,15.67,15.67,15.67,15.67,15.67,15.67,15.67
2093,14.46,15.36,15.36,15.36,15.36,15.36,15.36,15.36
2094,14.34,15.14,15.14,15.14,15.14,15.14,15.14,15.14
2095,14.13,15.01,15.01,15.01,15.01,15.01,15.01,15.01
2096,14.41,15.32,15.32,15.32,15.32,15.32,15.32,15.32
2097,14.26,15.13,15.13,15.13,15.13,15.13,15.13,15.13
2098,14.44,15.26,15.26,15.26,15.26,15.26,15.26,15.26
2099,14.56,15.60,15.60,15.60,15.60,15.60,15.60,15.60
2100,14.62,15.35,15.35,15.35,15.35,15.35,15.35,15.35
