Variable:,tas
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
2015,11.70,11.96,11.98,11.73
2016,11.66,11.91,11.96,11.59
2017,12.27,12.48,12.48,12.23
2018,11.76,11.96,12.07,11.69
2019,11.70,12.02,12.00,11.77
2020,11.81,12.17,12.10,11.88
2021,11.85,12.09,12.13,11.87
2022,12.05,12.30,12.33,12.07
2023,11.98,12.31,12.27,12.02
2024,11.91,12.25,12.26,11.94
2025,12.13,12.36,12.42,12.11
2026,12.33,12.52,12.55,12.33
2027,12.05,12.27,12.33,12.02
2028,12.04,12.22,12.30,11.96
2029,12.08,12.37,12.41,12.12
2030,12.08,12.37,12.37,12.09
2031,11.85,12.09,12.12,11.82
2032,11.90,12.20,12.19,11.95
2033,12.12,12.34,12.37,12.15
2034,12.07,12.38,12.34,12.14
2035,12.15,12.38,12.42,12.13
2036,12.31,12.44,12.55,12.33
2037,12.29,12.58,12.55,12.34
2038,12.49,12.73,12.75,12.48
2039,12.49,12.74,12.74,12.53
2040,12.36,12.48,12.57,12.29
2041,12.26,12.57,12.53,12.36
2042,13.03,13.34,13.27,13.13
2043,12.51,12.84,12.73,12.63
2044,12.70,13.01,12.87,12.81
2045,12.53,12.73,12.78,12.60
2046,12.71,12.87,12.94,12.69
2047,12.33,12.63,12.65,12.41
2048,12.61,12.76,12.88,12.60
2049,12.73,12.96,12.99,12.72
2050,12.71,12.93,12.99,12.75
2051,12.79,13.13,13.06,12.88
2052,12.46,12.70,12.78,12.53
2053,13.01,13.30,13.29,13.07
2054,12.71,12.98,12.96,12.78
2055,12.90,13.28,13.20,12.96
2056,12.65,12.94,12.85,12.75
2057,12.77,13.03,13.00,12.81
2058,12.62,12.85,12.85,12.65
2059,12.58,12.80,12.86,12.57
2060,12.81,13.14,13.01,12.94
2061,13.33,13.63,13.52,13.44
2062,12.89,13.10,13.16,12.91
2063,12.60,12.87,12.82,12.70
2064,13.07,13.46,13.33,13.26
2065,12.64,12.95,12.93,12.69
2066,12.62,12.98,13.00,12.67
2067,13.01,13.21,13.26,12.99
2068,12.87,13.30,13.14,13.05
2069,13.23,13.52,13.50,13.24
2070,12.69,13.04,12.97,12.79
2071,12.96,13.22,13.23,12.93
2072,12.63,12.84,12.85,12.63
2073,13.20,13.46,13.42,13.24
2074,13.07,13.39,13.29,13.14
2075,12.90,13.25,13.08,13.03
2076,12.79,13.39,13.06,13.05
2077,13.08,13.47,13.36,13.26
2078,13.35,13.69,13.61,13.50
2079,13.42,13.64,13.63,13.44
2080,13.14,13.44,13.41,13.23
2081,13.09,13.45,13.28,13.23
2082,12.85,13.10,13.11,12.93
2083,13.05,13.33,13.31,13.05
2084,12.85,13.21,13.10,13.00
2085,13.62,14.09,13.89,13.83
2086,12.92,13.19,13.14,12.97
2087,12.76,13.03,13.03,12.83
2088,12.91,13.10,13.15,12.85
2089,13.24,13.47,13.44,13.28
2090,12.88,13.11,13.10,12.90
2091,12.72,12.91,12.95,12.72
2092,13.20,13.42,13.52,13.23
2093,13.08,13.38,13.36,13.15
2094,13.33,13.77,13.58,13.51
2095,13.05,13.26,13.28,13.04
2096,12.99,13.30,13.27,13.06
2097,13.20,13.64,13.49,13.33
2098,12.69,13.03,12.91,12.86
2099,12.84,13.01,13.07,12.79
2100,13.11,13.53,13.37,13.32
