Variable:,tas
,"Macao SAR, China","Administrative unit not available"
2015,24.23,23.69
2016,24.21,23.61
2017,24.18,23.67
2018,24.40,23.87
2019,24.47,24.04
2020,24.38,23.98
2021,24.32,23.80
2022,24.38,23.89
2023,24.54,24.11
2024,24.42,23.89
2025,24.69,24.16
2026,24.58,24.04
2027,24.75,24.15
2028,24.46,23.99
2029,24.61,24.15
2030,24.80,24.35
2031,24.70,24.21
2032,24.75,24.22
2033,24.89,24.43
2034,25.08,24.53
2035,25.03,24.60
2036,25.02,24.69
2037,24.81,24.30
2038,24.96,24.46
2039,25.12,24.75
2040,25.00,24.53
2041,25.01,24.56
2042,24.94,24.48
2043,25.00,24.69
2044,25.01,24.54
2045,25.27,24.79
2046,25.21,24.65
2047,25.05,24.82
2048,25.10,24.65
2049,25.18,24.72
2050,25.31,24.88
2051,25.40,25.05
2052,24.94,24.55
2053,25.20,24.71
2054,25.44,24.80
2055,25.43,25.19
2056,25.34,24.83
2057,25.29,24.88
2058,25.16,24.68
2059,25.26,24.80
2060,25.27,24.75
2061,25.34,24.88
2062,25.46,24.97
2063,25.39,24.94
2064,25.22,24.78
2065,25.26,24.90
2066,25.33,24.91
2067,25.27,24.82
2068,25.23,24.88
2069,25.47,25.01
2070,25.44,25.06
2071,25.24,24.76
2072,25.22,24.74
2073,25.35,24.88
2074,25.54,25.06
2075,25.23,24.84
2076,25.36,24.85
2077,25.31,24.81
2078,25.45,25.04
2079,25.35,24.97
2080,25.26,24.87
2081,25.32,25.06
2082,25.18,24.97
2083,25.46,24.95
2084,25.38,24.92
2085,25.55,25.10
2086,25.48,25.06
2087,25.46,24.92
2088,25.38,24.94
2089,25.23,24.78
2090,25.39,24.91
2091,25.16,24.69
2092,25.46,25.00
2093,25.38,24.98
2094,25.67,25.22
2095,25.49,25.07
2096,25.37,24.96
2097,25.45,25.02
2098,25.38,24.90
2099,25.07,24.58
2100,25.31,24.89
