Variable:,tas
,Nauru,"Administrative unit not available"
2015,28.36,28.24
2016,28.29,28.15
2017,28.45,28.37
2018,28.42,28.30
2019,28.40,28.29
2020,28.64,28.53
2021,28.41,28.27
2022,28.44,28.33
2023,28.37,28.25
2024,28.50,28.39
2025,28.34,28.23
2026,28.69,28.52
2027,28.76,28.61
2028,28.58,28.46
2029,28.48,28.37
2030,28.60,28.47
2031,28.78,28.64
2032,28.57,28.45
2033,28.75,28.60
2034,28.54,28.43
2035,28.50,28.38
2036,29.04,28.92
2037,28.94,28.81
2038,28.78,28.67
2039,28.74,28.64
2040,28.71,28.59
2041,28.84,28.74
2042,28.85,28.76
2043,29.11,28.98
2044,28.91,28.80
2045,28.94,28.83
2046,29.26,29.12
2047,28.96,28.87
2048,28.95,28.81
2049,29.10,29.00
2050,29.18,29.01
2051,29.07,28.98
2052,29.11,28.98
2053,28.95,28.86
2054,29.02,28.90
2055,29.07,28.93
2056,29.01,28.87
2057,29.12,29.01
2058,29.37,29.21
2059,28.94,28.83
2060,29.06,28.95
2061,28.98,28.90
2062,29.03,28.93
2063,29.33,29.21
2064,29.11,28.99
2065,28.83,28.74
2066,29.10,28.99
2067,29.04,28.96
2068,28.96,28.82
2069,29.07,28.97
2070,29.26,29.14
2071,28.96,28.87
2072,29.22,29.11
2073,29.21,29.10
2074,29.06,28.95
2075,29.04,28.93
2076,29.10,29.01
2077,29.16,29.07
2078,29.36,29.23
2079,29.16,29.03
2080,29.00,28.92
2081,29.21,29.10
2082,29.13,29.02
2083,28.94,28.81
2084,29.14,29.05
2085,29.44,29.33
2086,29.37,29.25
2087,29.12,28.99
2088,28.98,28.91
2089,29.24,29.11
2090,29.03,28.92
2091,29.26,29.13
2092,29.26,29.16
2093,29.29,29.17
2094,29.00,28.90
2095,29.28,29.19
2096,29.32,29.19
2097,28.82,28.73
2098,29.12,29.04
2099,29.01,28.94
2100,29.22,29.13
