Variable:,tas
,Comoros,Anjouan,Moheli,Ngazidja
2015,26.62,26.89,26.86,26.43
2016,26.61,26.96,26.90,26.41
2017,26.56,26.92,26.87,26.36
2018,26.65,26.96,26.92,26.45
2019,26.72,26.98,26.97,26.53
2020,26.78,27.08,27.03,26.57
2021,26.75,27.03,27.01,26.57
2022,26.80,27.11,27.09,26.62
2023,26.82,27.12,27.10,26.62
2024,26.85,27.29,27.22,26.66
2025,26.83,27.16,27.12,26.63
2026,26.97,27.26,27.25,26.78
2027,27.12,27.38,27.37,26.94
2028,26.98,27.33,27.27,26.80
2029,26.90,27.25,27.22,26.71
2030,26.95,27.22,27.18,26.74
2031,27.01,27.32,27.26,26.81
2032,26.92,27.22,27.19,26.71
2033,27.01,27.33,27.28,26.82
2034,27.24,27.56,27.47,27.06
2035,27.02,27.31,27.25,26.82
2036,27.04,27.34,27.31,26.85
2037,27.21,27.51,27.48,27.01
2038,27.02,27.39,27.33,26.84
2039,27.17,27.53,27.53,26.99
2040,27.23,27.56,27.53,27.05
2041,27.00,27.34,27.29,26.81
2042,27.15,27.56,27.50,26.98
2043,27.29,27.61,27.56,27.09
2044,27.27,27.58,27.57,27.09
2045,27.12,27.39,27.37,26.93
2046,27.31,27.65,27.61,27.13
2047,27.32,27.68,27.62,27.12
2048,27.13,27.47,27.42,26.93
2049,27.20,27.63,27.52,27.01
2050,27.37,27.70,27.63,27.18
2051,27.34,27.67,27.61,27.14
2052,27.49,27.79,27.74,27.30
2053,27.29,27.62,27.60,27.10
2054,27.41,27.77,27.72,27.22
2055,27.31,27.70,27.65,27.12
2056,27.41,27.76,27.70,27.21
2057,27.30,27.54,27.49,27.09
2058,27.44,27.79,27.70,27.25
2059,27.51,27.81,27.70,27.30
2060,27.44,27.76,27.68,27.24
2061,27.31,27.63,27.60,27.12
2062,27.31,27.67,27.65,27.12
2063,27.44,27.71,27.70,27.22
2064,27.54,27.89,27.81,27.34
2065,27.45,27.75,27.68,27.24
2066,27.50,27.87,27.83,27.31
2067,27.39,27.71,27.69,27.20
2068,27.38,27.72,27.68,27.19
2069,27.35,27.64,27.61,27.15
2070,27.44,27.85,27.76,27.25
2071,27.44,27.80,27.71,27.24
2072,27.33,27.62,27.57,27.13
2073,27.60,27.97,27.88,27.39
2074,27.55,27.90,27.86,27.37
2075,27.30,27.67,27.60,27.10
2076,27.59,27.90,27.86,27.40
2077,27.41,27.72,27.65,27.20
2078,27.50,27.85,27.80,27.29
2079,27.62,27.93,27.92,27.44
2080,27.55,27.98,27.90,27.37
2081,27.45,27.76,27.65,27.24
2082,27.50,27.90,27.82,27.30
2083,27.36,27.77,27.69,27.16
2084,27.55,27.85,27.85,27.36
2085,27.50,27.83,27.71,27.29
2086,27.45,27.77,27.72,27.26
2087,27.65,27.99,27.92,27.45
2088,27.58,27.86,27.79,27.37
2089,27.46,27.77,27.76,27.28
2090,27.51,27.92,27.89,27.34
2091,27.45,27.83,27.75,27.25
2092,27.46,27.77,27.69,27.26
2093,27.71,28.04,27.98,27.51
2094,27.36,27.72,27.70,27.19
2095,27.40,27.79,27.71,27.19
2096,27.37,27.72,27.68,27.19
2097,27.45,27.79,27.73,27.26
2098,27.42,27.72,27.68,27.22
2099,27.43,27.73,27.69,27.24
2100,27.38,27.73,27.66,27.18
