Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
2015,27.03,27.44,27.44,27.44,27.44,27.44,27.44,27.44
2016,26.88,27.32,27.32,27.32,27.32,27.32,27.32,27.32
2017,26.92,27.29,27.29,27.29,27.29,27.29,27.29,27.29
2018,27.09,27.45,27.45,27.45,27.45,27.45,27.45,27.45
2019,26.83,27.25,27.25,27.25,27.25,27.25,27.25,27.25
2020,27.04,27.43,27.43,27.43,27.43,27.43,27.43,27.43
2021,26.97,27.39,27.39,27.39,27.39,27.39,27.39,27.39
2022,27.10,27.48,27.48,27.48,27.48,27.48,27.48,27.48
2023,27.13,27.50,27.50,27.50,27.50,27.50,27.50,27.50
2024,27.11,27.53,27.53,27.53,27.53,27.53,27.53,27.53
2025,27.25,27.65,27.65,27.65,27.65,27.65,27.65,27.65
2026,27.17,27.56,27.56,27.56,27.56,27.56,27.56,27.56
2027,27.30,27.71,27.71,27.71,27.71,27.71,27.71,27.71
2028,27.37,27.83,27.83,27.83,27.83,27.83,27.83,27.83
2029,27.23,27.64,27.64,27.64,27.64,27.64,27.64,27.64
2030,27.26,27.69,27.69,27.69,27.69,27.69,27.69,27.69
2031,27.37,27.79,27.79,27.79,27.79,27.79,27.79,27.79
2032,27.34,27.71,27.71,27.71,27.71,27.71,27.71,27.71
2033,27.38,27.75,27.75,27.75,27.75,27.75,27.75,27.75
2034,27.49,27.89,27.89,27.89,27.89,27.89,27.89,27.89
2035,27.56,27.92,27.92,27.92,27.92,27.92,27.92,27.92
2036,27.40,27.80,27.80,27.80,27.80,27.80,27.80,27.80
2037,27.54,27.98,27.98,27.98,27.98,27.98,27.98,27.98
2038,27.39,27.81,27.81,27.81,27.81,27.81,27.81,27.81
2039,27.42,27.80,27.80,27.80,27.80,27.80,27.80,27.80
2040,27.46,27.91,27.91,27.91,27.91,27.91,27.91,27.91
2041,27.37,27.74,27.74,27.74,27.74,27.74,27.74,27.74
2042,27.55,27.98,27.98,27.98,27.98,27.98,27.98,27.98
2043,27.54,27.94,27.94,27.94,27.94,27.94,27.94,27.94
2044,27.67,28.05,28.05,28.05,28.05,28.05,28.05,28.05
2045,27.58,27.97,27.97,27.97,27.97,27.97,27.97,27.97
2046,27.78,28.16,28.16,28.16,28.16,28.16,28.16,28.16
