Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2015,28.35,28.48,28.48,28.48,28.48,28.46,28.48,28.48,28.48,28.48
2016,28.23,28.38,28.38,28.38,28.38,28.35,28.38,28.38,28.38,28.38
2017,28.22,28.36,28.36,28.36,28.36,28.33,28.36,28.36,28.36,28.36
2018,28.40,28.61,28.61,28.61,28.61,28.57,28.61,28.61,28.61,28.61
2019,28.48,28.67,28.67,28.67,28.67,28.63,28.67,28.67,28.67,28.67
2020,28.41,28.67,28.67,28.67,28.67,28.62,28.67,28.67,28.67,28.67
2021,28.48,28.70,28.70,28.70,28.70,28.66,28.70,28.70,28.70,28.70
2022,28.36,28.64,28.64,28.64,28.64,28.59,28.64,28.64,28.64,28.64
2023,28.49,28.74,28.74,28.74,28.74,28.69,28.74,28.74,28.74,28.74
2024,28.55,29.02,29.02,29.02,29.02,28.93,29.02,29.02,29.02,29.02
2025,28.66,28.84,28.84,28.84,28.84,28.81,28.84,28.84,28.84,28.84
2026,28.52,28.84,28.84,28.84,28.84,28.78,28.84,28.84,28.84,28.84
2027,28.64,28.88,28.88,28.88,28.88,28.84,28.88,28.88,28.88,28.88
2028,28.65,28.93,28.93,28.93,28.93,28.88,28.93,28.93,28.93,28.93
2029,28.57,28.78,28.78,28.78,28.78,28.74,28.78,28.78,28.78,28.78
2030,28.65,29.03,29.03,29.03,29.03,28.96,29.03,29.03,29.03,29.03
2031,28.69,28.96,28.96,28.96,28.96,28.91,28.96,28.96,28.96,28.96
2032,28.70,28.92,28.92,28.92,28.92,28.88,28.92,28.92,28.92,28.92
2033,28.72,28.98,28.98,28.98,28.98,28.93,28.98,28.98,28.98,28.98
2034,28.81,29.07,29.07,29.07,29.07,29.02,29.07,29.07,29.07,29.07
2035,28.82,29.02,29.02,29.02,29.02,28.98,29.02,29.02,29.02,29.02
2036,28.86,29.26,29.26,29.26,29.26,29.19,29.26,29.26,29.26,29.26
2037,28.81,29.11,29.11,29.11,29.11,29.05,29.11,29.11,29.11,29.11
2038,28.98,29.11,29.11,29.11,29.11,29.09,29.11,29.11,29.11,29.11
2039,28.93,29.15,29.15,29.15,29.15,29.11,29.15,29.15,29.15,29.15
2040,28.89,29.11,29.11,29.11,29.11,29.07,29.11,29.11,29.11,29.11
2041,28.91,29.19,29.19,29.19,29.19,29.14,29.19,29.19,29.19,29.19
2042,28.80,29.03,29.03,29.03,29.03,28.99,29.03,29.03,29.03,29.03
2043,29.08,29.40,29.40,29.40,29.40,29.34,29.40,29.40,29.40,29.40
2044,28.98,29.22,29.22,29.22,29.22,29.18,29.22,29.22,29.22,29.22
2045,28.90,29.32,29.32,29.32,29.32,29.24,29.32,29.32,29.32,29.32
2046,29.10,29.49,29.49,29.49,29.49,29.42,29.49,29.49,29.49,29.49
2047,29.00,29.25,29.25,29.25,29.25,29.20,29.25,29.25,29.25,29.25
2048,29.11,29.37,29.37,29.37,29.37,29.32,29.37,29.37,29.37,29.37
2049,29.08,29.43,29.43,29.43,29.43,29.36,29.43,29.43,29.43,29.43
2050,29.10,29.58,29.58,29.58,29.58,29.49,29.58,29.58,29.58,29.58
2051,29.05,29.30,29.30,29.30,29.30,29.25,29.30,29.30,29.30,29.30
2052,29.05,29.45,29.45,29.45,29.45,29.38,29.45,29.45,29.45,29.45
2053,29.06,29.31,29.31,29.31,29.31,29.26,29.31,29.31,29.31,29.31
2054,29.18,29.53,29.53,29.53,29.53,29.46,29.53,29.53,29.53,29.53
2055,29.22,29.38,29.38,29.38,29.38,29.35,29.38,29.38,29.38,29.38
2056,29.20,29.47,29.47,29.47,29.47,29.42,29.47,29.47,29.47,29.47
2057,29.12,29.39,29.39,29.39,29.39,29.34,29.39,29.39,29.39,29.39
2058,29.17,29.62,29.62,29.62,29.62,29.54,29.62,29.62,29.62,29.62
2059,29.36,29.80,29.80,29.80,29.80,29.72,29.80,29.80,29.80,29.80
2060,29.26,29.65,29.65,29.65,29.65,29.58,29.65,29.65,29.65,29.65
2061,29.22,29.49,29.49,29.49,29.49,29.44,29.49,29.49,29.49,29.49
2062,29.23,29.51,29.51,29.51,29.51,29.46,29.51,29.51,29.51,29.51
2063,29.31,29.61,29.61,29.61,29.61,29.55,29.61,29.61,29.61,29.61
2064,29.38,29.62,29.62,29.62,29.62,29.58,29.62,29.62,29.62,29.62
2065,29.27,29.69,29.69,29.69,29.69,29.61,29.69,29.69,29.69,29.69
2066,29.27,29.70,29.70,29.70,29.70,29.62,29.70,29.70,29.70,29.70
2067,29.42,29.62,29.62,29.62,29.62,29.58,29.62,29.62,29.62,29.62
2068,29.16,29.49,29.49,29.49,29.49,29.43,29.49,29.49,29.49,29.49
2069,29.34,29.65,29.65,29.65,29.65,29.59,29.65,29.65,29.65,29.65
2070,29.24,29.50,29.50,29.50,29.50,29.45,29.50,29.50,29.50,29.50
2071,29.29,29.57,29.57,29.57,29.57,29.52,29.57,29.57,29.57,29.57
2072,29.18,29.50,29.50,29.50,29.50,29.44,29.50,29.50,29.50,29.50
2073,29.08,29.44,29.44,29.44,29.44,29.37,29.44,29.44,29.44,29.44
2074,29.26,29.47,29.47,29.47,29.47,29.43,29.47,29.47,29.47,29.47
2075,29.16,29.56,29.56,29.56,29.56,29.49,29.56,29.56,29.56,29.56
2076,29.33,29.71,29.71,29.71,29.71,29.64,29.71,29.71,29.71,29.71
2077,29.20,29.58,29.58,29.58,29.58,29.51,29.58,29.58,29.58,29.58
2078,29.17,29.51,29.51,29.51,29.51,29.45,29.51,29.51,29.51,29.51
2079,29.31,29.61,29.61,29.61,29.61,29.55,29.61,29.61,29.61,29.61
2080,29.23,29.68,29.68,29.68,29.68,29.60,29.68,29.68,29.68,29.68
2081,29.27,29.70,29.70,29.70,29.70,29.62,29.70,29.70,29.70,29.70
2082,29.42,29.91,29.91,29.91,29.91,29.82,29.91,29.91,29.91,29.91
2083,29.07,29.40,29.40,29.40,29.40,29.34,29.40,29.40,29.40,29.40
2084,29.14,29.46,29.46,29.46,29.46,29.40,29.46,29.46,29.46,29.46
2085,29.13,29.42,29.42,29.42,29.42,29.37,29.42,29.42,29.42,29.42
2086,29.29,29.61,29.61,29.61,29.61,29.55,29.61,29.61,29.61,29.61
2087,29.28,29.48,29.48,29.48,29.48,29.44,29.48,29.48,29.48,29.48
2088,29.10,29.40,29.40,29.40,29.40,29.34,29.40,29.40,29.40,29.40
2089,29.22,29.55,29.55,29.55,29.55,29.49,29.55,29.55,29.55,29.55
2090,29.21,29.46,29.46,29.46,29.46,29.41,29.46,29.46,29.46,29.46
2091,29.19,29.48,29.48,29.48,29.48,29.43,29.48,29.48,29.48,29.48
2092,29.23,29.58,29.58,29.58,29.58,29.51,29.58,29.58,29.58,29.58
2093,29.29,29.68,29.68,29.68,29.68,29.61,29.68,29.68,29.68,29.68
2094,29.41,29.67,29.67,29.67,29.67,29.62,29.67,29.67,29.67,29.67
2095,29.23,29.54,29.54,29.54,29.54,29.48,29.54,29.54,29.54,29.54
2096,29.32,29.72,29.72,29.72,29.72,29.65,29.72,29.72,29.72,29.72
2097,29.46,29.67,29.67,29.67,29.67,29.63,29.67,29.67,29.67,29.67
2098,29.16,29.39,29.39,29.39,29.39,29.35,29.39,29.39,29.39,29.39
2099,29.35,29.58,29.58,29.58,29.58,29.54,29.58,29.58,29.58,29.58
2100,29.25,29.64,29.64,29.64,29.64,29.57,29.64,29.64,29.64,29.64
