Variable:,tas
2015,26.95
2016,26.83
2017,26.81
2018,26.99
2019,26.79
2020,26.94
2021,26.88
2022,26.99
2023,27.02
2024,27.04
2025,27.19
2026,27.11
2027,27.22
2028,27.34
2029,27.18
2030,27.21
2031,27.29
2032,27.21
2033,27.27
2034,27.41
2035,27.42
2036,27.30
2037,27.50
2038,27.33
2039,27.32
2040,27.42
2041,27.25
2042,27.50
2043,27.46
2044,27.55
2045,27.51
2046,27.66
2047,27.55
2048,27.46
2049,27.70
2050,27.62
2051,27.61
2052,27.82
2053,27.51
2054,27.75
2055,27.62
2056,27.58
2057,27.51
2058,27.60
2059,27.78
2060,27.70
2061,27.54
2062,27.83
2063,27.90
2064,27.56
2065,27.59
2066,27.63
2067,27.69
2068,27.60
2069,27.71
2070,27.80
2071,27.58
2072,27.59
2073,27.93
2074,27.82
2075,27.60
2076,27.77
2077,27.69
2078,27.81
2079,27.88
2080,27.79
2081,27.82
2082,27.85
2083,27.47
2084,27.69
2085,27.74
2086,27.87
2087,27.96
2088,27.76
2089,27.62
2090,27.74
2091,27.87
2092,27.87
2093,27.79
2094,27.77
2095,27.61
2096,27.78
2097,27.97
2098,27.70
2099,27.76
2100,27.73
