Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,21.77,26.79,26.20,16.67,15.17,14.95,9.30,9.26,24.98,18.19
2016,21.68,26.76,26.06,16.59,15.02,14.82,9.09,9.04,24.98,17.93
2017,21.76,26.81,26.11,16.71,15.12,14.88,9.11,9.27,25.05,18.12
2018,21.77,26.89,26.17,16.72,15.20,15.06,9.29,9.33,24.95,18.08
2019,22.06,27.22,26.55,16.98,15.45,15.23,9.38,9.42,25.24,18.21
2020,21.87,26.97,26.29,16.79,15.23,15.11,9.33,9.28,25.10,18.19
2021,22.09,26.94,26.49,16.95,15.42,15.20,9.54,9.42,25.43,18.32
2022,22.55,27.68,27.11,17.32,15.64,15.48,9.70,9.79,25.90,18.61
2023,22.05,27.21,26.53,16.89,15.36,15.16,9.27,9.33,25.32,18.26
2024,22.59,27.80,27.07,17.43,15.78,15.55,9.86,9.89,25.89,18.67
2025,22.33,27.30,26.71,17.25,15.61,15.40,9.57,9.51,25.71,18.80
2026,22.34,27.48,26.75,17.23,15.55,15.46,9.58,9.52,25.69,18.73
2027,22.57,27.79,26.99,17.34,15.84,15.69,9.90,9.86,25.84,18.64
2028,22.39,27.64,26.89,17.14,15.71,15.56,9.74,9.70,25.58,18.38
2029,22.38,27.47,26.82,17.31,15.72,15.52,9.70,9.74,25.66,18.67
2030,22.60,27.78,27.17,17.26,15.79,15.56,9.73,9.79,25.89,18.65
2031,22.68,27.83,27.22,17.58,15.84,15.70,9.79,9.85,26.00,18.92
2032,22.49,27.54,27.01,17.29,15.75,15.58,9.65,9.59,25.83,18.60
2033,22.46,27.57,26.96,17.21,15.63,15.48,9.67,9.73,25.80,18.66
2034,22.67,27.78,27.15,17.44,15.96,15.84,10.03,10.01,25.92,18.73
2035,22.46,27.59,26.94,17.32,15.78,15.64,9.94,9.95,25.66,18.60
2036,22.68,27.74,27.10,17.51,15.95,15.78,9.91,9.92,26.02,18.89
2037,23.02,28.45,27.67,17.71,16.16,16.02,9.94,9.96,26.29,18.97
2038,22.85,27.97,27.31,17.53,15.99,15.85,9.94,10.00,26.24,18.85
2039,22.87,28.11,27.38,17.71,16.11,15.93,10.27,10.28,26.10,18.92
2040,22.60,27.88,27.14,17.40,15.87,15.70,9.84,9.88,25.83,18.71
2041,22.44,27.37,26.79,17.38,15.81,15.61,9.86,9.91,25.77,18.84
2042,22.89,28.00,27.38,17.59,16.05,15.91,10.08,10.04,26.28,19.03
2043,23.03,28.22,27.47,17.80,16.30,16.13,10.39,10.33,26.27,19.02
2044,22.75,27.84,27.14,17.59,16.05,15.89,10.19,10.23,26.05,18.90
2045,22.79,27.86,27.17,17.68,16.07,15.75,10.01,10.11,26.16,19.00
2046,23.32,28.59,27.85,18.03,16.45,16.25,10.52,10.52,26.64,19.36
2047,23.08,28.50,27.62,17.86,16.34,16.17,10.49,10.35,26.27,19.18
2048,23.05,28.19,27.54,17.86,16.29,16.10,10.25,10.27,26.37,19.08
2049,23.02,28.12,27.46,17.77,16.21,16.04,10.47,10.36,26.31,19.19
2050,23.07,28.27,27.55,17.90,16.42,16.20,10.48,10.51,26.28,19.18
2051,23.17,28.49,27.71,17.93,16.38,16.32,10.58,10.44,26.33,19.28
2052,23.05,28.22,27.47,17.87,16.35,16.06,10.24,10.34,26.38,19.17
2053,23.19,28.39,27.61,17.98,16.45,16.19,10.32,10.37,26.62,19.31
2054,22.91,28.22,27.44,17.62,16.19,16.14,10.36,10.28,26.06,18.90
2055,23.19,28.64,27.81,17.84,16.34,16.20,10.23,10.28,26.45,19.23
2056,23.19,28.34,27.67,17.87,16.35,16.25,10.49,10.52,26.48,19.17
2057,23.10,28.41,27.70,17.80,16.27,16.10,10.30,10.35,26.35,19.11
2058,23.23,28.29,27.73,18.05,16.48,16.28,10.61,10.57,26.48,19.27
2059,23.21,28.40,27.78,17.94,16.53,16.36,10.54,10.49,26.45,19.19
2060,23.20,28.20,27.65,18.02,16.46,16.14,10.44,10.49,26.55,19.32
2061,23.10,28.33,27.65,17.72,16.28,16.10,10.24,10.31,26.39,19.19
2062,23.28,28.38,27.78,18.03,16.54,16.35,10.74,10.78,26.51,19.36
2063,23.28,28.70,27.82,18.05,16.48,16.35,10.61,10.59,26.47,19.35
2064,23.17,28.20,27.70,18.01,16.39,16.25,10.48,10.60,26.39,19.33
2065,23.02,28.03,27.38,17.86,16.39,16.17,10.32,10.36,26.37,19.21
2066,23.37,28.68,27.82,18.05,16.50,16.26,10.45,10.54,26.73,19.37
2067,23.26,28.46,27.83,17.93,16.41,16.27,10.33,10.37,26.60,19.37
2068,23.39,28.82,27.97,18.16,16.51,16.37,10.64,10.68,26.59,19.55
2069,23.15,28.54,27.74,17.86,16.42,16.22,10.42,10.42,26.33,19.18
2070,23.19,28.32,27.56,18.26,16.73,16.46,10.74,10.74,26.34,19.49
2071,23.08,28.16,27.58,17.85,16.38,16.20,10.46,10.36,26.34,19.34
2072,23.28,28.41,27.78,18.05,16.39,16.24,10.45,10.41,26.65,19.52
2073,23.62,28.72,28.14,18.26,16.72,16.51,10.70,10.73,27.01,19.55
2074,23.05,28.24,27.54,17.78,16.42,16.25,10.50,10.50,26.19,19.08
2075,23.21,28.37,27.75,17.84,16.35,16.13,10.27,10.32,26.55,19.37
2076,23.11,28.49,27.59,17.89,16.31,16.21,10.25,10.39,26.38,19.22
2077,23.15,28.18,27.62,17.85,16.40,16.23,10.40,10.35,26.48,19.12
2078,23.53,28.72,28.07,18.22,16.65,16.49,10.61,10.74,26.85,19.53
2079,23.20,28.44,27.67,18.03,16.51,16.30,10.46,10.52,26.46,19.43
2080,23.38,28.41,27.88,18.18,16.56,16.26,10.46,10.62,26.68,19.60
2081,23.33,28.62,27.89,18.09,16.54,16.34,10.59,10.56,26.60,19.51
2082,23.33,28.59,27.91,18.03,16.58,16.39,10.48,10.53,26.62,19.38
2083,23.11,28.16,27.65,17.87,16.34,16.14,10.20,10.20,26.48,19.39
2084,23.50,28.81,28.05,18.37,16.70,16.46,10.59,10.67,26.74,19.60
2085,23.67,29.59,28.35,18.15,16.58,16.50,10.74,10.70,26.86,19.52
2086,23.62,29.00,28.22,18.18,16.73,16.71,10.72,10.68,26.88,19.33
2087,23.26,28.50,27.77,17.99,16.52,16.38,10.57,10.63,26.46,19.11
2088,23.08,28.14,27.56,17.93,16.49,16.28,10.48,10.57,26.24,19.11
2089,23.30,28.59,27.85,17.91,16.49,16.44,10.51,10.45,26.58,19.33
2090,23.25,28.70,27.75,18.05,16.43,16.29,10.36,10.52,26.51,19.30
2091,23.31,28.38,27.75,17.92,16.44,16.24,10.46,10.35,26.75,19.23
2092,23.57,28.66,27.98,18.24,16.63,16.44,10.78,10.89,26.96,19.63
2093,23.50,28.61,27.90,18.21,16.67,16.48,10.63,10.64,26.90,19.49
2094,23.09,28.26,27.52,17.83,16.32,16.18,10.40,10.39,26.39,19.31
2095,23.13,28.15,27.46,17.93,16.39,16.19,10.41,10.40,26.54,19.21
2096,23.28,28.64,27.81,17.89,16.38,16.29,10.41,10.45,26.59,19.27
2097,23.42,28.48,28.07,18.03,16.53,16.36,10.64,10.65,26.68,19.29
2098,23.02,28.04,27.45,17.79,16.27,16.10,10.32,10.37,26.34,19.19
2099,23.16,28.46,27.72,17.85,16.44,16.24,10.39,10.38,26.39,19.12
2100,23.36,28.71,27.87,18.06,16.54,16.36,10.63,10.69,26.60,19.27
