Variable:,tas
2015,25.22
2016,25.03
2017,25.32
2018,24.99
2019,25.17
2020,25.15
2021,25.19
2022,25.34
2023,25.38
2024,25.44
2025,25.45
2026,25.67
2027,25.62
2028,25.58
2029,25.57
2030,25.53
2031,25.51
2032,25.96
2033,25.41
2034,25.66
2035,25.45
2036,25.65
2037,25.83
2038,25.99
2039,25.99
2040,25.89
2041,25.78
2042,26.16
2043,25.74
2044,25.91
2045,26.07
2046,26.08
2047,26.39
2048,26.23
2049,26.14
2050,26.18
2051,26.16
2052,26.06
2053,26.03
2054,25.88
2055,26.12
2056,25.98
2057,25.92
2058,26.22
2059,26.05
2060,26.21
2061,26.21
2062,26.19
2063,26.13
2064,26.44
2065,25.92
2066,26.18
2067,26.28
2068,26.18
2069,26.20
2070,26.29
2071,26.03
2072,26.18
2073,26.30
2074,25.98
2075,26.10
2076,26.25
2077,26.66
2078,26.24
2079,26.26
2080,26.31
2081,26.21
2082,26.27
2083,26.30
2084,26.05
2085,26.34
2086,26.35
2087,26.39
2088,26.20
2089,26.24
2090,26.38
2091,26.33
2092,26.43
2093,26.18
2094,26.18
2095,26.32
2096,26.10
2097,26.38
2098,26.09
2099,26.41
2100,26.34
