Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2015,25.50,23.98,25.34,24.98,28.79,26.53,25.93,24.11,24.73,25.46,26.32
2016,25.50,24.08,25.36,24.90,28.60,26.56,25.93,24.28,24.79,25.43,26.37
2017,25.58,24.15,25.40,24.98,28.81,26.50,26.03,24.32,24.86,25.38,26.35
2018,25.72,24.28,25.51,25.09,29.18,26.63,26.25,24.31,24.89,25.56,26.38
2019,25.73,24.29,25.59,25.14,28.88,26.75,26.18,24.47,24.99,25.63,26.57
2020,25.76,24.24,25.61,25.19,29.10,26.79,26.20,24.38,24.98,25.67,26.55
2021,25.83,24.40,25.62,25.19,29.11,26.69,26.38,24.52,25.04,25.61,26.54
2022,25.86,24.42,25.66,25.24,29.25,26.77,26.39,24.52,25.05,25.69,26.59
2023,25.81,24.41,25.61,25.19,29.07,26.77,26.34,24.47,25.02,25.65,26.57
2024,25.93,24.46,25.77,25.35,29.20,26.99,26.39,24.54,25.03,25.84,26.70
2025,25.95,24.47,25.74,25.33,29.41,26.87,26.44,24.61,25.11,25.80,26.70
2026,25.94,24.52,25.71,25.25,29.45,26.87,26.48,24.60,25.15,25.77,26.71
2027,26.13,24.64,25.91,25.52,29.53,27.07,26.68,24.76,25.34,25.91,26.88
2028,26.12,24.63,25.90,25.51,29.50,27.02,26.67,24.76,25.33,25.91,26.85
2029,26.05,24.59,25.84,25.40,29.41,27.00,26.64,24.71,25.25,25.92,26.82
2030,26.25,24.87,26.02,25.62,29.43,27.11,26.82,24.92,25.43,26.01,26.96
2031,26.21,24.78,25.99,25.60,29.64,27.08,26.73,24.79,25.32,26.00,26.85
2032,26.24,24.80,26.00,25.58,29.64,27.14,26.79,24.88,25.41,26.03,27.00
2033,26.11,24.65,25.90,25.50,29.44,27.06,26.61,24.75,25.33,25.97,26.86
2034,26.37,25.02,26.10,25.71,29.68,27.21,26.98,25.02,25.53,26.15,27.04
2035,26.30,24.85,26.11,25.69,29.57,27.16,26.80,24.98,25.49,26.08,26.99
2036,26.39,24.95,26.17,25.79,29.75,27.26,26.95,24.97,25.53,26.22,27.06
2037,26.57,25.12,26.34,25.98,30.01,27.42,27.06,25.19,25.72,26.35,27.24
2038,26.35,24.93,26.13,25.75,29.68,27.20,26.88,25.02,25.51,26.16,27.01
2039,26.29,24.85,26.09,25.68,29.80,27.17,26.74,24.96,25.45,26.09,27.02
2040,26.35,24.86,26.22,25.75,29.60,27.37,26.80,25.07,25.59,26.25,27.15
2041,26.34,24.96,26.10,25.72,29.72,27.20,26.84,25.08,25.51,26.08,27.07
2042,26.36,24.94,26.20,25.77,29.61,27.28,26.84,25.05,25.60,26.14,27.10
2043,26.73,25.26,26.50,26.08,30.26,27.61,27.26,25.36,25.91,26.50,27.42
2044,26.56,25.15,26.38,26.02,29.69,27.35,27.08,25.25,25.73,26.37,27.19
2045,26.39,24.93,26.20,25.84,29.67,27.28,26.83,25.06,25.59,26.28,27.11
2046,26.55,25.21,26.33,25.93,29.85,27.42,27.05,25.22,25.72,26.32,27.24
2047,26.50,25.09,26.31,25.88,29.84,27.45,27.00,25.19,25.70,26.37,27.25
2048,26.57,25.31,26.36,25.93,29.70,27.41,27.06,25.30,25.81,26.28,27.26
2049,26.51,25.11,26.35,25.92,29.66,27.52,26.91,25.30,25.80,26.43,27.36
2050,26.60,25.24,26.37,25.99,29.81,27.44,27.13,25.35,25.77,26.38,27.28
2051,26.65,25.18,26.42,26.15,29.97,27.50,27.09,25.25,25.78,26.44,27.31
2052,26.76,25.39,26.54,26.11,30.10,27.64,27.29,25.48,25.99,26.51,27.46
2053,26.65,25.24,26.39,26.01,30.07,27.49,27.28,25.25,25.78,26.42,27.32
2054,26.68,25.36,26.41,26.00,30.01,27.58,27.30,25.34,25.84,26.48,27.42
2055,26.78,25.45,26.55,26.21,29.97,27.61,27.35,25.39,25.95,26.58,27.42
2056,26.67,25.28,26.42,26.06,29.96,27.54,27.15,25.37,25.85,26.43,27.38
2057,26.60,25.18,26.46,26.04,29.79,27.52,27.01,25.25,25.83,26.44,27.29
