Variable:,tas
,"San Marino","Administrative unit not available"
2015,13.31,14.94
2016,13.22,14.93
2017,13.53,15.03
2018,13.43,15.12
2019,13.39,15.01
2020,13.46,15.11
2021,13.83,15.43
2022,13.41,15.27
2023,13.80,15.41
2024,13.44,15.09
2025,13.91,15.51
2026,13.57,15.27
2027,13.44,15.16
2028,13.82,15.48
2029,13.55,15.21
2030,13.76,15.57
2031,13.64,15.40
2032,13.72,15.50
2033,13.83,15.45
2034,13.81,15.61
2035,13.83,15.78
2036,13.71,15.45
2037,13.71,15.40
2038,14.25,16.11
2039,14.21,15.74
2040,14.00,15.64
2041,14.03,15.65
2042,14.10,15.65
2043,14.09,15.69
2044,14.45,16.01
2045,14.10,15.85
2046,14.07,15.77
2047,14.25,15.87
2048,14.49,15.90
2049,14.52,15.95
2050,14.58,16.30
2051,14.38,16.03
2052,14.57,16.20
2053,14.56,16.16
2054,14.68,16.26
2055,14.60,16.18
2056,14.56,16.01
2057,14.69,16.12
2058,14.85,16.47
2059,14.40,16.06
2060,14.61,16.14
2061,14.92,16.31
2062,15.09,16.48
2063,14.39,15.92
2064,14.76,16.28
2065,14.37,15.91
2066,14.41,15.95
2067,14.76,16.47
2068,14.72,16.33
2069,14.92,16.36
2070,14.20,15.89
2071,14.73,16.28
2072,14.20,15.81
2073,14.36,15.75
2074,14.67,16.26
2075,14.91,16.52
2076,14.49,16.10
2077,14.65,16.15
2078,15.02,16.60
2079,15.07,16.53
2080,15.05,16.81
2081,14.70,16.42
2082,14.75,16.16
2083,14.83,16.50
2084,15.02,16.70
2085,14.63,16.08
2086,15.00,16.60
2087,14.64,16.31
2088,14.33,16.07
2089,14.77,16.61
2090,14.73,16.23
2091,14.58,16.19
2092,14.78,16.29
2093,14.97,16.53
2094,14.88,16.56
2095,14.68,16.22
2096,15.10,16.51
2097,14.68,16.26
2098,14.66,16.40
2099,15.01,16.61
2100,15.07,16.76
