Variable:,tas
,"Pitcairn Islands","Administrative unit not available"
2015,24.05,23.66
2016,23.91,23.54
2017,23.91,23.48
2018,23.73,23.35
2019,23.82,23.51
2020,23.69,23.43
2021,24.07,23.67
2022,24.06,23.62
2023,23.96,23.53
2024,24.02,23.74
2025,24.02,23.62
2026,23.86,23.52
2027,23.97,23.59
2028,24.10,23.66
2029,24.02,23.74
2030,23.94,23.57
2031,24.21,23.82
2032,23.93,23.70
2033,24.05,23.76
2034,24.05,23.61
2035,24.05,23.74
2036,23.91,23.58
2037,24.13,23.72
2038,24.09,23.64
2039,24.13,23.73
2040,24.12,23.72
2041,24.16,23.78
2042,23.99,23.61
2043,24.02,23.62
2044,24.17,23.71
2045,24.06,23.72
2046,24.20,23.84
2047,24.14,23.75
2048,24.14,23.81
2049,24.11,23.77
2050,24.16,23.79
2051,24.12,23.70
2052,24.21,23.88
2053,24.23,23.83
2054,24.13,23.76
2055,24.34,24.00
2056,24.26,23.97
2057,24.13,23.76
2058,24.24,23.85
2059,24.39,23.92
2060,24.30,24.00
2061,24.27,24.02
2062,24.38,23.96
2063,24.23,23.86
2064,24.34,24.04
2065,24.22,23.94
2066,24.21,23.96
2067,24.19,24.00
2068,24.33,23.94
2069,24.19,23.84
2070,24.16,23.83
2071,24.47,23.98
2072,24.18,23.86
2073,24.15,23.80
2074,24.39,23.94
2075,24.24,23.87
2076,24.17,23.79
2077,24.11,23.78
2078,24.40,24.03
2079,24.19,23.88
2080,24.19,23.76
2081,24.22,23.83
2082,24.43,24.02
2083,24.19,23.82
2084,24.32,23.93
2085,24.29,23.92
2086,24.21,23.83
2087,24.27,23.84
2088,24.29,23.91
2089,24.34,23.96
2090,24.24,23.72
2091,24.11,23.78
2092,24.24,23.85
2093,24.21,23.80
2094,24.28,23.87
2095,24.34,23.92
2096,24.25,23.86
2097,24.35,23.96
2098,24.32,23.85
2099,24.49,24.17
2100,24.40,23.97
