Variable:,tas
2015,27.07
2016,27.08
2017,27.08
2018,27.13
2019,27.13
2020,27.26
2021,27.20
2022,27.28
2023,27.27
2024,27.42
2025,27.37
2026,27.41
2027,27.52
2028,27.48
2029,27.39
2030,27.40
2031,27.46
2032,27.36
2033,27.50
2034,27.74
2035,27.51
2036,27.51
2037,27.70
2038,27.57
2039,27.66
2040,27.73
2041,27.49
2042,27.71
2043,27.75
2044,27.73
2045,27.58
2046,27.79
2047,27.86
2048,27.68
2049,27.81
2050,27.87
2051,27.84
2052,27.95
2053,27.78
2054,27.93
2055,27.88
2056,27.95
2057,27.70
2058,27.94
2059,27.97
2060,27.93
2061,27.77
2062,27.86
2063,27.88
2064,28.01
2065,27.92
2066,28.02
2067,27.92
2068,27.88
2069,27.82
2070,27.99
2071,28.01
2072,27.81
2073,28.17
2074,28.07
2075,27.90
2076,28.07
2077,27.88
2078,28.01
2079,28.07
2080,28.14
2081,27.93
2082,28.08
2083,27.89
2084,28.00
2085,28.02
2086,27.93
2087,28.13
2088,28.02
2089,27.91
2090,28.08
2091,27.95
2092,27.93
2093,28.19
2094,27.83
2095,27.95
2096,27.93
2097,27.96
2098,27.93
2099,27.89
2100,27.90
