Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,8.06,9.16,7.00,7.00,10.16,10.16,7.07,7.44,11.32,8.27,9.07,10.33,8.41,11.10,6.50,6.42,7.48,8.89,8.23,10.15,7.76,7.42,6.42,6.39,10.23,8.89,8.89
2016,7.70,8.83,6.63,6.63,9.78,9.78,6.72,7.10,10.97,7.88,8.63,9.96,8.08,10.76,6.14,6.06,7.11,8.57,7.90,9.77,7.41,7.06,6.06,6.06,9.87,8.57,8.57
2017,8.41,9.50,7.45,7.45,10.40,10.40,7.27,7.55,11.32,8.61,9.37,10.56,8.72,11.18,6.76,6.68,7.91,9.26,8.57,10.39,8.18,7.68,6.68,6.56,10.25,9.26,9.26
2018,7.73,8.89,6.63,6.63,9.89,9.89,6.77,7.14,11.04,7.87,8.61,10.07,8.13,10.83,6.13,6.05,7.11,8.62,7.94,9.88,7.43,7.04,6.05,6.07,9.93,8.62,8.62
2019,7.82,8.98,6.76,6.76,9.95,9.95,6.81,7.16,11.03,7.95,8.69,10.13,8.21,10.85,6.21,6.13,7.23,8.72,8.03,9.94,7.55,7.10,6.13,6.10,9.93,8.72,8.72
2020,7.89,9.06,6.86,6.86,10.05,10.05,6.82,7.13,11.00,8.01,8.71,10.23,8.26,10.89,6.18,6.09,7.32,8.80,8.08,10.04,7.64,7.09,6.09,6.08,9.90,8.80,8.80
2021,8.12,9.24,7.10,7.10,10.19,10.19,7.10,7.42,11.22,8.32,9.06,10.36,8.48,11.05,6.56,6.48,7.57,8.98,8.31,10.18,7.86,7.47,6.48,6.42,10.14,8.98,8.98
2022,7.77,8.88,6.69,6.69,9.93,9.93,6.84,7.28,11.28,7.86,8.54,10.17,8.14,11.11,6.15,6.07,7.15,8.60,7.93,9.92,7.46,7.06,6.07,6.19,10.14,8.60,8.60
2023,8.38,9.53,7.35,7.35,10.50,10.50,7.35,7.67,11.50,8.57,9.31,10.67,8.76,11.34,6.79,6.71,7.82,9.27,8.59,10.49,8.12,7.70,6.71,6.64,10.42,9.27,9.27
2024,8.02,9.11,6.97,6.97,10.11,10.11,7.01,7.34,11.17,8.24,9.01,10.28,8.37,10.99,6.51,6.43,7.45,8.84,8.20,10.10,7.72,7.43,6.43,6.33,10.08,8.84,8.84
2025,8.30,9.37,7.39,7.39,10.28,10.28,7.15,7.49,11.37,8.49,9.24,10.46,8.59,11.20,6.59,6.51,7.83,9.13,8.43,10.27,8.09,7.51,6.51,6.45,10.27,9.13,9.13
2026,8.49,9.68,7.54,7.54,10.59,10.59,7.35,7.62,11.42,8.60,9.21,10.75,8.86,11.32,6.73,6.64,7.98,9.44,8.70,10.58,8.30,7.62,6.64,6.59,10.34,9.44,9.44
2027,7.96,9.09,6.86,6.86,10.06,10.06,6.94,7.26,11.09,8.11,8.88,10.25,8.32,10.96,6.34,6.26,7.34,8.83,8.15,10.05,7.65,7.25,6.26,6.23,10.00,8.83,8.83
2028,8.14,9.27,7.09,7.09,10.28,10.28,7.17,7.52,11.33,8.27,8.99,10.44,8.51,11.14,6.51,6.43,7.55,9.00,8.32,10.27,7.86,7.42,6.43,6.48,10.25,9.00,9.00
2029,8.17,9.29,7.10,7.10,10.29,10.29,7.21,7.57,11.39,8.31,9.03,10.47,8.54,11.21,6.58,6.50,7.57,9.02,8.35,10.28,7.87,7.49,6.50,6.54,10.31,9.02,9.02
2030,8.37,9.51,7.25,7.25,10.50,10.50,7.34,7.69,11.54,8.51,9.29,10.66,8.74,11.35,6.68,6.60,7.74,9.25,8.54,10.49,8.05,7.61,6.60,6.63,10.45,9.25,9.25
2031,8.25,9.28,7.24,7.24,10.30,10.30,7.22,7.55,11.41,8.51,9.30,10.47,8.57,11.20,6.81,6.74,7.72,9.01,8.41,10.29,7.95,7.73,6.74,6.57,10.32,9.01,9.01
2032,8.09,9.23,6.94,6.94,10.28,10.28,7.22,7.60,11.45,8.25,8.99,10.47,8.51,11.27,6.61,6.53,7.43,8.95,8.31,10.27,7.75,7.51,6.53,6.56,10.37,8.95,8.95
2033,8.23,9.38,7.18,7.18,10.34,10.34,7.19,7.53,11.39,8.39,9.14,10.52,8.59,11.23,6.53,6.45,7.66,9.12,8.41,10.33,7.96,7.46,6.45,6.48,10.30,9.12,9.12
2034,8.42,9.48,7.40,7.40,10.50,10.50,7.46,7.82,11.63,8.60,9.34,10.69,8.75,11.47,6.81,6.73,7.87,9.21,8.55,10.49,8.13,7.72,6.73,6.77,10.55,9.21,9.21
2035,8.71,9.92,7.70,7.70,10.92,10.92,7.68,7.99,11.82,8.76,9.37,11.09,9.11,11.70,6.93,6.84,8.14,9.65,8.90,10.91,8.48,7.82,6.84,6.92,10.73,9.65,9.65
2036,8.46,9.59,7.38,7.38,10.47,10.47,7.47,7.83,11.63,8.67,9.45,10.65,8.84,11.43,6.93,6.85,7.87,9.36,8.69,10.46,8.18,7.83,6.85,6.82,10.56,9.36,9.36
2037,8.35,9.50,7.31,7.31,10.41,10.41,7.29,7.66,11.56,8.50,9.23,10.60,8.72,11.37,6.73,6.65,7.78,9.25,8.56,10.40,8.09,7.64,6.65,6.62,10.46,9.25,9.25
2038,8.96,10.06,7.94,7.94,11.01,11.01,7.92,8.26,12.08,9.18,9.99,11.18,9.30,11.90,7.31,7.23,8.42,9.81,9.12,11.00,8.69,8.25,7.23,7.24,10.99,9.81,9.81
2039,8.77,9.90,7.84,7.84,10.66,10.66,7.63,7.94,11.69,9.01,9.78,10.84,9.11,11.55,7.17,7.09,8.30,9.69,9.00,10.66,8.58,8.08,7.09,6.96,10.62,9.69,9.69
2040,8.66,9.84,7.62,7.62,10.73,10.73,7.60,7.90,11.70,8.87,9.61,10.89,9.06,11.53,7.10,7.02,8.10,9.60,8.91,10.72,8.42,8.01,7.02,6.90,10.62,9.60,9.60
2041,8.75,9.87,7.73,7.73,10.82,10.82,7.69,8.04,11.96,8.96,9.74,10.99,9.10,11.75,7.17,7.09,8.21,9.61,8.94,10.81,8.49,8.09,7.09,7.01,10.86,9.61,9.61
2042,8.79,10.04,7.65,7.65,11.01,11.01,7.77,8.06,11.87,8.87,9.59,11.17,9.23,11.76,7.07,6.98,8.14,9.78,9.03,11.00,8.51,7.98,6.98,7.02,10.79,9.78,9.78
2043,8.56,9.62,7.50,7.50,10.65,10.65,7.53,7.91,11.84,8.74,9.59,10.85,8.88,11.67,6.95,6.87,7.98,9.35,8.69,10.64,8.24,7.88,6.87,6.85,10.72,9.35,9.35
2044,9.07,10.22,8.05,8.05,11.15,11.15,8.02,8.35,12.17,9.25,10.02,11.31,9.44,11.99,7.41,7.33,8.52,9.97,9.27,11.14,8.82,8.34,7.33,7.32,11.09,9.97,9.97
2045,8.69,9.81,7.57,7.57,10.83,10.83,7.82,8.24,12.13,8.86,9.62,11.02,9.09,11.88,7.20,7.12,8.06,9.54,8.90,10.82,8.36,8.10,7.12,7.18,11.03,9.54,9.54
2046,8.80,9.86,7.78,7.78,10.89,10.89,7.74,8.07,11.99,8.99,9.73,11.08,9.11,11.83,7.24,7.16,8.24,9.58,8.94,10.88,8.50,8.14,7.16,7.05,10.87,9.58,9.58
2047,8.53,9.64,7.50,7.50,10.63,10.63,7.52,7.90,11.81,8.67,9.35,10.83,8.89,11.64,6.92,6.84,7.96,9.38,8.70,10.62,8.26,7.82,6.84,6.85,10.70,9.38,9.38
2048,8.55,9.67,7.46,7.46,10.70,10.70,7.57,7.97,11.89,8.65,9.37,10.90,8.90,11.71,6.85,6.77,7.93,9.39,8.69,10.69,8.24,7.78,6.77,6.89,10.78,9.39,9.39
2049,9.09,10.18,8.05,8.05,11.17,11.17,8.07,8.39,12.18,9.31,10.11,11.35,9.43,12.04,7.52,7.44,8.53,9.91,9.25,11.16,8.80,8.44,7.44,7.39,11.10,9.91,9.91
2050,9.08,10.20,8.28,8.28,10.96,10.96,7.89,8.23,12.04,9.28,9.94,11.13,9.39,11.84,7.36,7.27,8.70,9.99,9.27,10.96,8.97,8.27,7.27,7.23,10.96,9.99,9.99
2051,8.99,10.03,7.89,7.89,11.10,11.10,7.94,8.28,12.24,9.28,10.23,11.30,9.29,12.08,7.48,7.41,8.40,9.74,9.12,11.09,8.63,8.44,7.41,7.27,11.12,9.74,9.74
2052,8.70,9.80,7.66,7.66,10.74,10.74,7.62,7.93,11.74,8.97,9.86,10.91,9.04,11.57,7.13,7.05,8.16,9.55,8.88,10.73,8.42,8.08,7.05,6.96,10.66,9.55,9.55
2053,8.98,10.18,7.92,7.92,11.18,11.18,7.92,8.24,12.14,9.08,9.76,11.36,9.37,12.02,7.26,7.17,8.38,9.91,9.18,11.17,8.72,8.17,7.17,7.18,11.03,9.91,9.91
2054,8.90,9.94,7.88,7.88,10.93,10.93,7.82,8.20,12.15,9.13,9.97,11.13,9.19,11.96,7.29,7.21,8.36,9.67,9.02,10.92,8.60,8.24,7.21,7.16,11.03,9.67,9.67
2055,8.83,9.95,7.76,7.76,10.95,10.95,7.87,8.28,12.26,9.01,9.75,11.14,9.21,11.99,7.29,7.21,8.24,9.68,9.02,10.94,8.53,8.21,7.21,7.23,11.13,9.68,9.68
2056,8.81,10.00,7.75,7.75,11.03,11.03,7.72,8.06,12.08,8.93,9.63,11.22,9.18,11.93,7.04,6.95,8.22,9.72,8.98,11.02,8.54,7.97,6.95,6.98,10.95,9.72,9.72
2057,8.78,9.86,7.74,7.74,10.82,10.82,7.70,8.02,11.84,8.98,9.81,11.00,9.10,11.70,7.17,7.09,8.22,9.60,8.93,10.81,8.49,8.11,7.09,7.02,10.76,9.60,9.60
2058,9.05,10.22,7.97,7.97,11.10,11.10,8.03,8.39,12.24,9.22,9.95,11.28,9.45,12.04,7.48,7.40,8.45,9.99,9.30,11.09,8.78,8.39,7.40,7.37,11.16,9.99,9.99
2059,8.91,10.08,7.94,7.94,10.99,10.99,7.77,8.06,11.89,9.07,9.82,11.16,9.26,11.77,7.18,7.09,8.40,9.83,9.10,10.98,8.70,8.11,7.09,7.04,10.80,9.83,9.83
2060,9.22,10.24,8.22,8.22,11.23,11.23,8.15,8.48,12.30,9.44,10.24,11.40,9.51,12.11,7.67,7.60,8.69,9.97,9.34,11.22,8.92,8.59,7.60,7.48,11.22,9.97,9.97
2061,9.55,10.68,8.57,8.57,11.59,11.59,8.45,8.77,12.62,9.73,10.44,11.77,9.89,12.46,7.90,7.82,9.03,10.43,9.74,11.58,9.32,8.81,7.82,7.75,11.53,10.43,10.43
2062,9.10,10.19,8.10,8.10,11.12,11.12,8.05,8.46,12.37,9.26,10.02,11.31,9.42,12.15,7.41,7.33,8.56,9.94,9.25,11.11,8.84,8.35,7.33,7.42,11.26,9.94,9.94
2063,8.81,9.92,7.74,7.74,10.88,10.88,7.77,8.08,11.86,8.95,9.71,11.07,9.15,11.74,7.15,7.07,8.21,9.66,8.97,10.87,8.51,8.07,7.07,7.08,10.78,9.66,9.66
2064,9.34,10.40,8.29,8.29,11.43,11.43,8.30,8.69,12.60,9.50,10.32,11.63,9.64,12.44,7.62,7.54,8.77,10.13,9.44,11.42,9.03,8.57,7.54,7.61,11.51,10.13,10.13
2065,8.79,9.89,7.74,7.74,10.92,10.92,7.81,8.17,12.05,8.94,9.68,11.10,9.15,11.86,7.19,7.11,8.21,9.62,8.95,10.91,8.50,8.10,7.11,7.13,10.95,9.62,9.62
2066,8.83,10.01,7.82,7.82,10.93,10.93,7.72,8.07,12.07,9.00,9.71,11.11,9.20,11.86,7.16,7.08,8.29,9.76,9.05,10.92,8.60,8.08,7.08,7.01,10.92,9.76,9.76
2067,9.26,10.36,8.13,8.13,11.37,11.37,8.23,8.56,12.43,9.45,10.34,11.54,9.60,12.26,7.65,7.57,8.63,10.09,9.42,11.36,8.92,8.59,7.57,7.52,11.33,10.09,10.09
2068,9.05,10.13,8.04,8.04,11.12,11.12,8.04,8.42,12.29,9.23,10.00,11.31,9.38,12.10,7.37,7.29,8.51,9.87,9.18,11.11,8.78,8.31,7.29,7.37,11.19,9.87,9.87
2069,9.26,10.34,8.20,8.20,11.32,11.32,8.25,8.59,12.40,9.49,10.30,11.50,9.61,12.23,7.75,7.67,8.69,10.08,9.44,11.31,8.96,8.66,7.67,7.60,11.32,10.08,10.08
2070,9.01,10.19,8.01,8.01,11.11,11.11,7.93,8.25,12.14,9.16,9.82,11.28,9.39,11.96,7.35,7.27,8.47,9.94,9.23,11.10,8.79,8.24,7.27,7.21,11.04,9.94,9.94
2071,8.88,10.00,7.83,7.83,10.95,10.95,7.84,8.15,11.99,9.11,9.87,11.11,9.24,11.80,7.38,7.30,8.32,9.74,9.09,10.94,8.60,8.29,7.30,7.17,10.90,9.74,9.74
2072,8.61,9.71,7.51,7.51,10.72,10.72,7.65,8.05,11.94,8.76,9.54,10.91,8.97,11.73,7.04,6.96,7.99,9.44,8.78,10.71,8.29,7.94,6.96,6.98,10.84,9.44,9.44
2073,9.00,10.17,8.08,8.08,11.11,11.11,7.86,8.17,12.04,9.07,9.64,11.28,9.35,11.91,7.20,7.11,8.50,9.92,9.17,11.10,8.82,8.09,7.11,7.11,10.94,9.92,9.92
2074,9.46,10.58,8.50,8.50,11.59,11.59,8.36,8.70,12.63,9.62,10.30,11.76,9.79,12.45,7.76,7.68,8.95,10.31,9.61,11.58,9.23,8.68,7.68,7.63,11.52,10.31,10.31
2075,9.36,10.48,8.22,8.22,11.54,11.54,8.43,8.82,12.73,9.52,10.32,11.71,9.74,12.48,7.79,7.71,8.71,10.19,9.53,11.53,9.01,8.71,7.71,7.75,11.62,10.19,10.19
2076,9.02,10.13,8.01,8.01,11.12,11.12,7.98,8.30,12.15,9.20,9.95,11.32,9.36,12.04,7.40,7.32,8.47,9.86,9.18,11.11,8.75,8.32,7.32,7.30,11.06,9.86,9.86
2077,9.10,10.26,8.04,8.04,11.27,11.27,8.09,8.43,12.31,9.20,9.94,11.45,9.48,12.16,7.40,7.32,8.50,9.99,9.28,11.26,8.82,8.32,7.32,7.37,11.21,9.99,9.99
2078,9.41,10.52,8.40,8.40,11.40,11.40,8.33,8.60,12.33,9.63,10.42,11.58,9.76,12.21,7.85,7.77,8.88,10.29,9.62,11.39,9.16,8.77,7.77,7.64,11.26,10.29,10.29
2079,9.41,10.49,8.37,8.37,11.54,11.54,8.36,8.62,12.43,9.60,10.37,11.72,9.74,12.33,7.88,7.80,8.84,10.21,9.57,11.53,9.11,8.78,7.80,7.65,11.34,10.21,10.21
2080,9.49,10.56,8.48,8.48,11.53,11.53,8.57,8.94,12.69,9.65,10.34,11.72,9.84,12.51,7.97,7.89,8.93,10.30,9.66,11.52,9.21,8.86,7.89,7.95,11.62,10.30,10.30
2081,9.59,10.71,8.53,8.53,11.74,11.74,8.61,8.93,12.73,9.70,10.38,11.93,9.96,12.63,7.96,7.88,8.99,10.44,9.76,11.73,9.30,8.86,7.88,7.89,11.66,10.44,10.44
2082,9.20,10.37,8.02,8.02,11.43,11.43,8.32,8.73,12.69,9.34,10.08,11.62,9.63,12.45,7.65,7.57,8.52,10.09,9.42,11.42,8.85,8.56,7.57,7.65,11.57,10.09,10.09
