Variable:,tas
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,22.93,11.60,25.47,18.50,25.75,14.99,24.35,20.29,11.46,14.82,23.21
2016,23.05,11.61,25.31,18.48,26.01,14.91,24.46,20.24,11.49,14.75,23.35
2017,22.88,11.48,25.45,18.29,25.68,14.83,24.14,20.26,11.54,14.76,23.32
2018,23.19,11.82,25.40,18.68,26.10,15.07,24.62,20.32,11.61,14.95,23.53
2019,23.29,11.87,25.53,18.69,26.31,15.06,24.81,20.29,11.59,14.95,23.58
2020,23.34,11.96,25.45,18.72,26.44,15.32,24.66,20.50,11.70,15.08,23.67
2021,23.46,11.91,25.49,18.82,26.43,15.37,24.70,20.76,11.78,15.06,23.89
2022,23.15,11.83,25.57,18.66,26.02,15.36,24.52,20.34,11.68,14.98,23.50
2023,23.21,11.88,25.71,18.61,26.14,15.28,24.58,20.47,11.82,15.01,23.54
2024,23.47,12.05,25.66,18.78,26.31,15.40,24.82,20.80,12.12,15.35,23.85
2025,23.57,12.27,25.91,19.21,26.47,15.55,25.01,20.90,12.05,15.42,23.78
2026,23.51,11.98,25.81,18.71,26.59,15.24,25.02,20.49,11.99,15.22,23.84
2027,23.49,12.19,25.68,19.02,26.33,15.52,24.91,20.72,12.07,15.25,23.80
2028,23.41,12.09,25.76,18.93,26.23,15.33,24.82,20.65,12.00,15.33,23.73
2029,23.45,12.06,25.85,18.81,26.49,15.38,24.81,20.66,11.94,15.20,23.76
2030,23.54,12.24,25.73,19.06,26.52,15.50,24.86,20.85,12.00,15.28,23.85
2031,23.58,12.18,25.89,18.92,26.52,15.63,25.00,20.69,12.19,15.35,23.94
2032,23.51,12.13,25.73,18.83,26.49,15.51,24.90,20.71,12.18,15.40,23.82
2033,23.45,12.21,25.84,18.94,26.27,15.54,24.90,20.73,12.32,15.44,23.73
2034,23.74,12.43,25.76,19.08,26.76,15.88,25.13,20.90,12.11,15.48,24.06
2035,23.53,12.43,25.86,19.14,26.40,15.90,24.90,20.81,12.30,15.61,23.78
2036,23.87,12.18,25.90,19.16,26.98,15.59,25.39,21.01,12.19,15.40,24.09
2037,23.84,12.39,25.91,19.28,26.78,15.81,25.27,21.19,12.43,15.53,24.08
2038,23.69,12.27,25.82,19.07,26.65,15.69,24.96,20.95,12.41,15.45,24.08
2039,23.80,12.39,25.95,19.20,26.82,15.76,25.42,20.83,12.21,15.37,23.99
2040,23.67,12.57,26.01,19.12,26.65,15.71,25.07,20.84,12.27,15.51,23.97
2041,23.81,12.42,25.88,19.14,26.83,15.70,25.26,20.99,12.46,15.57,24.09
2042,23.84,12.38,25.84,19.24,26.70,15.77,25.22,21.00,12.53,15.65,24.24
2043,23.97,12.87,26.06,19.46,26.97,16.07,25.30,21.13,12.44,15.59,24.32
2044,23.76,12.54,26.00,19.12,26.76,15.76,25.20,21.02,12.30,15.55,24.03
2045,23.80,12.81,25.95,19.26,26.67,15.84,25.22,21.11,12.40,15.75,24.08
2046,24.09,12.78,26.10,19.56,27.07,15.93,25.55,21.28,12.44,15.80,24.37
2047,23.94,12.75,25.88,19.34,27.02,16.05,25.40,21.03,12.43,15.64,24.20
2048,23.90,12.55,25.89,19.23,26.78,15.91,25.36,21.00,12.50,15.66,24.28
2049,24.11,12.74,25.91,19.50,27.07,16.08,25.38,21.37,12.43,15.93,24.50
2050,23.88,12.66,25.99,19.36,26.77,15.92,25.25,21.03,12.53,15.74,24.25
2051,24.04,12.62,26.08,19.44,27.07,15.94,25.38,21.23,12.54,15.79,24.36
2052,23.97,12.52,26.17,19.31,26.92,15.96,25.36,21.23,12.43,15.58,24.32
2053,24.15,12.53,26.21,19.66,27.20,15.95,25.85,21.30,12.58,15.83,24.18
2054,23.86,12.50,26.15,19.32,26.96,15.96,25.09,21.02,12.62,15.76,24.19
2055,23.95,12.68,26.07,19.51,26.81,15.94,25.26,21.22,12.33,15.62,24.34
2056,24.04,12.46,26.14,19.37,26.96,15.73,25.53,21.19,12.25,15.59,24.38
2057,23.89,12.59,25.97,19.26,26.77,15.94,25.30,21.09,12.39,15.54,24.28
2058,23.90,12.69,26.18,19.41,26.82,15.98,25.22,21.12,12.46,15.75,24.24
2059,24.14,13.21,26.16,19.79,26.95,16.45,25.49,21.26,12.51,15.92,24.51
