Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,21.88,23.75,19.48,23.99,17.32,26.09,27.57,20.85,5.09
2016,21.68,23.50,19.09,23.71,16.96,25.95,27.51,20.51,4.89
2017,21.99,23.69,19.63,24.32,17.38,26.44,27.62,21.04,5.10
2018,21.86,23.60,19.49,24.09,17.26,26.21,27.61,20.78,5.09
2019,22.04,23.94,19.54,24.05,17.27,26.26,27.80,20.71,5.02
2020,22.20,23.92,19.73,24.52,17.82,26.52,27.89,21.26,5.48
2021,22.29,24.06,19.95,24.49,17.93,26.60,27.78,21.36,5.55
2022,22.31,24.03,20.04,24.77,18.04,26.62,27.88,21.57,5.54
2023,22.21,23.99,19.81,24.40,17.66,26.56,27.84,21.13,5.34
2024,22.30,24.11,19.79,24.34,17.60,26.60,28.09,21.05,5.32
2025,22.27,24.10,19.71,24.22,17.60,26.53,28.10,21.06,5.35
2026,22.20,24.04,19.65,24.36,17.64,26.45,27.99,21.19,5.31
2027,22.44,24.22,20.33,24.90,17.97,26.70,28.05,21.61,5.65
2028,22.34,24.09,19.90,24.61,17.78,26.70,28.03,21.33,5.47
2029,22.48,24.32,19.98,24.49,17.89,26.71,28.24,21.27,5.62
2030,22.56,24.38,20.04,24.66,17.79,27.00,28.26,21.31,5.49
2031,22.54,24.32,19.99,24.72,17.82,26.91,28.26,21.37,5.60
2032,22.56,24.37,20.09,24.71,17.99,26.84,28.22,21.51,5.75
2033,22.66,24.47,20.25,24.60,18.01,26.86,28.31,21.30,6.07
2034,22.49,24.33,20.13,24.57,17.85,26.79,28.10,21.31,5.62
2035,22.63,24.41,20.13,24.87,18.03,26.99,28.32,21.53,5.76
2036,22.62,24.45,20.10,24.74,18.03,26.89,28.37,21.53,5.69
2037,22.77,24.59,20.35,24.95,18.19,27.03,28.58,21.59,5.74
2038,22.64,24.46,20.05,24.73,17.93,27.04,28.41,21.42,5.67
2039,23.12,24.84,20.82,25.38,18.72,27.46,28.63,22.19,6.35
2040,22.78,24.56,20.21,24.80,18.07,27.21,28.38,21.54,5.95
2041,22.63,24.45,20.09,24.75,17.96,26.95,28.39,21.50,5.76
2042,23.00,24.79,20.71,25.22,18.48,27.39,28.48,22.05,6.04
2043,22.89,24.59,20.38,25.07,18.37,27.28,28.62,21.85,6.09
2044,22.98,24.80,20.50,25.18,18.35,27.33,28.57,21.88,6.02
2045,23.15,24.90,21.01,25.50,18.64,27.58,28.70,22.14,6.07
2046,23.07,24.88,20.40,25.24,18.34,27.48,28.80,21.94,6.02
2047,23.13,24.90,20.88,25.52,18.51,27.61,28.74,22.09,5.95
2048,23.09,24.80,20.76,25.43,18.57,27.44,28.85,22.15,6.15
2049,23.20,25.05,20.64,25.31,18.54,27.56,28.88,22.10,6.20
2050,23.20,25.00,20.65,25.33,18.52,27.55,28.85,22.05,6.34
2051,23.13,24.88,20.70,25.41,18.46,27.60,28.87,22.05,5.98
2052,23.18,24.89,20.71,25.58,18.59,27.62,28.78,22.26,6.38
2053,23.13,24.85,20.92,25.52,18.65,27.57,28.61,22.15,6.28
2054,23.00,24.82,20.48,25.21,18.42,27.30,28.68,21.95,6.12
2055,23.12,25.00,20.71,25.23,18.46,27.38,28.79,21.87,6.10
2056,23.06,24.87,20.52,25.15,18.39,27.35,28.79,21.87,6.28
2057,23.14,24.95,20.67,25.15,18.58,27.37,28.77,21.96,6.33
2058,22.96,24.70,20.46,25.14,18.34,27.34,28.70,21.92,6.16
2059,23.42,25.15,20.82,25.68,18.72,27.81,29.05,22.34,6.50
2060,23.12,24.92,20.55,25.13,18.46,27.47,28.82,21.84,6.23
2061,23.14,24.99,20.71,25.22,18.55,27.40,28.71,21.99,6.33
2062,23.37,25.11,21.11,25.49,19.00,27.71,28.81,22.36,6.66
2063,23.19,24.92,20.67,25.38,18.72,27.61,28.79,22.10,6.30
2064,23.31,25.10,20.83,25.48,18.67,27.67,28.89,22.19,6.47
2065,23.19,24.94,20.82,25.56,18.72,27.56,28.83,22.20,6.23
2066,23.22,25.06,20.71,25.30,18.53,27.56,28.94,22.01,6.08
2067,23.30,25.11,20.85,25.27,18.66,27.62,28.86,22.09,6.48
2068,23.22,24.99,20.68,25.32,18.66,27.54,28.79,22.10,6.53
2069,23.45,25.21,20.97,25.61,18.80,27.82,29.03,22.36,6.71
2070,23.17,24.91,20.76,25.42,18.74,27.50,28.69,22.22,6.52
2071,23.42,25.06,21.11,26.00,19.15,27.89,28.90,22.57,6.60
2072,23.11,24.87,20.81,25.43,18.79,27.37,28.51,22.22,6.48
2073,23.38,25.06,20.96,25.84,18.86,27.79,28.94,22.49,6.65
2074,23.25,25.00,20.65,25.41,18.56,27.62,29.03,22.09,6.36
2075,23.39,25.06,21.05,25.61,18.93,27.89,28.95,22.36,6.43
2076,23.38,25.09,20.93,25.74,18.89,27.82,28.97,22.49,6.49
2077,23.21,24.96,20.80,25.57,18.62,27.66,28.88,22.19,6.13
2078,23.21,25.00,20.65,25.40,18.43,27.62,29.03,22.07,6.12
2079,23.20,24.98,20.63,25.26,18.45,27.52,29.01,21.99,6.33
2080,23.25,24.94,20.90,25.63,18.83,27.67,28.68,22.34,6.60
2081,23.42,25.11,20.96,25.87,18.90,27.94,28.92,22.62,6.44
2082,23.40,25.16,21.00,25.79,18.87,27.84,29.03,22.34,6.30
2083,23.30,25.05,20.80,25.54,18.69,27.74,28.98,22.28,6.33
2084,23.14,24.82,20.65,25.26,18.56,27.51,28.93,21.97,6.31
2085,23.35,25.04,21.02,25.74,18.99,27.75,28.88,22.48,6.54
2086,23.37,25.15,20.84,25.58,18.65,27.75,29.01,22.19,6.55
2087,23.48,25.19,21.02,25.84,18.85,27.97,29.08,22.44,6.37
2088,23.21,24.97,20.67,25.43,18.59,27.59,28.88,22.18,6.37
2089,23.30,25.10,20.76,25.35,18.56,27.69,29.01,22.00,6.33
2090,23.40,25.25,20.96,25.49,18.78,27.81,28.92,22.14,6.30
2091,23.14,24.85,20.83,25.42,18.80,27.44,28.69,22.19,6.49
2092,23.16,24.99,20.63,25.25,18.44,27.49,28.94,21.98,6.19
2093,23.42,25.12,20.93,25.74,18.79,27.91,29.00,22.43,6.61
2094,23.51,25.22,21.25,25.89,19.09,28.00,28.99,22.61,6.55
2095,23.01,24.80,20.51,25.03,18.35,27.37,28.84,21.78,5.96
2096,22.96,24.70,20.36,25.28,18.38,27.40,28.67,21.94,6.02
2097,23.35,25.07,21.05,25.48,18.77,27.83,28.94,22.31,6.30
2098,23.13,24.83,20.60,25.49,18.54,27.59,28.80,22.07,6.31
2099,23.12,24.77,20.89,25.46,18.71,27.57,28.84,22.16,6.16
2100,23.21,24.87,20.80,25.78,18.80,27.69,28.72,22.33,6.35
