Variable:,tas
2015,27.40
2016,27.48
2017,27.40
2018,27.50
2019,27.56
2020,27.53
2021,27.53
2022,27.56
2023,27.64
2024,27.75
2025,27.78
2026,27.66
2027,27.90
2028,27.89
2029,27.84
2030,27.88
2031,27.88
2032,27.77
2033,27.77
2034,27.96
2035,27.94
2036,27.89
2037,27.99
2038,27.99
2039,27.89
2040,28.01
2041,27.76
2042,28.06
2043,28.07
2044,28.19
2045,28.23
2046,28.15
2047,28.13
2048,28.14
2049,28.27
2050,28.27
2051,28.20
2052,28.30
2053,28.10
2054,28.20
2055,28.18
2056,28.24
2057,28.09
2058,28.17
2059,28.42
2060,28.36
2061,28.13
2062,28.49
2063,28.48
2064,28.27
2065,28.10
2066,28.24
2067,28.35
2068,28.22
2069,28.30
2070,28.40
2071,28.25
2072,28.21
2073,28.56
2074,28.34
2075,28.22
2076,28.25
2077,28.43
2078,28.30
2079,28.42
2080,28.39
2081,28.35
2082,28.48
2083,27.99
2084,28.33
2085,28.29
2086,28.39
2087,28.57
2088,28.37
2089,28.18
2090,28.35
2091,28.49
2092,28.47
2093,28.40
2094,28.46
2095,28.32
2096,28.19
2097,28.33
2098,28.37
2099,28.33
2100,28.28
