Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
2015,8.66,14.30,8.19,10.29,10.73,11.03,6.59,8.02,10.97,12.49,5.12,7.52,6.21
2016,9.27,15.09,8.81,10.94,11.36,11.65,7.12,8.56,11.59,13.21,5.67,8.07,6.72
2017,8.96,14.85,8.47,10.54,10.90,11.42,6.93,8.32,11.12,12.82,5.27,7.75,6.56
2018,9.05,14.80,8.55,10.66,11.13,11.39,6.84,8.43,11.40,12.93,5.34,7.88,6.45
2019,8.69,14.33,8.32,10.37,10.75,11.12,6.73,8.10,10.96,12.52,5.23,7.59,6.34
2020,9.22,14.89,8.93,10.96,11.35,11.61,7.14,8.53,11.58,13.10,5.73,8.09,6.73
2021,9.07,14.95,8.64,10.74,11.09,11.50,6.94,8.37,11.32,12.94,5.49,7.87,6.52
2022,9.37,14.88,8.69,10.81,11.31,11.98,7.39,8.81,11.58,13.13,5.62,8.22,7.01
2023,9.11,14.73,8.67,10.63,10.94,11.76,7.32,8.59,11.15,12.80,5.44,7.95,6.97
2024,9.47,15.08,9.09,11.20,11.57,11.99,7.50,8.75,11.79,13.40,6.02,8.32,7.09
2025,9.54,15.34,9.11,11.21,11.62,12.05,7.56,8.87,11.87,13.39,6.02,8.42,7.16
2026,9.56,15.28,9.23,11.31,11.67,12.02,7.72,8.91,11.85,13.44,6.32,8.48,7.32
2027,9.63,15.12,9.19,11.25,11.65,12.26,7.76,9.05,11.86,13.38,6.19,8.53,7.36
2028,9.27,14.93,8.78,10.88,11.30,11.71,7.14,8.46,11.54,13.18,5.61,8.00,6.72
2029,9.60,15.25,9.00,11.13,11.62,11.97,7.63,8.98,11.88,13.44,5.92,8.45,7.28
2030,9.56,15.42,9.07,11.17,11.55,12.09,7.59,8.86,11.78,13.39,6.03,8.38,7.19
2031,9.52,15.09,9.09,11.13,11.53,12.10,7.73,9.04,11.75,13.24,6.05,8.48,7.37
2032,9.67,15.30,9.33,11.35,11.77,11.97,7.58,9.00,12.01,13.52,6.14,8.53,7.22
2033,9.28,14.98,8.87,10.94,11.38,11.59,7.22,8.61,11.63,13.16,5.70,8.15,6.86
2034,9.66,15.51,9.05,11.22,11.75,11.98,7.50,8.93,12.02,13.62,5.91,8.45,7.12
2035,9.95,15.66,9.75,11.77,12.09,12.31,7.80,9.24,12.29,13.86,6.57,8.79,7.36
2036,9.48,15.27,9.22,11.32,11.69,11.86,7.34,8.73,11.91,13.48,6.04,8.32,6.90
2037,9.49,15.14,9.15,11.20,11.58,11.89,7.43,8.83,11.80,13.33,6.07,8.36,7.02
2038,10.08,15.55,9.53,11.59,12.10,12.62,8.19,9.60,12.35,13.78,6.61,9.05,7.79
2039,9.54,15.12,9.14,11.17,11.56,12.12,7.64,8.99,11.79,13.29,6.06,8.46,7.24
2040,9.69,15.29,9.41,11.42,11.82,12.20,7.86,9.16,12.05,13.48,6.42,8.71,7.46
2041,9.52,15.37,9.16,11.21,11.58,11.95,7.44,8.78,11.80,13.39,6.01,8.33,7.03
2042,9.73,15.32,9.28,11.32,11.66,12.42,7.78,9.10,11.90,13.44,6.07,8.54,7.39
2043,9.52,15.24,9.23,11.23,11.58,11.96,7.54,8.84,11.80,13.35,6.08,8.40,7.14
2044,9.87,15.37,9.34,11.40,11.86,12.33,7.65,9.21,12.15,13.58,6.15,8.67,7.24
2045,9.79,15.67,9.63,11.71,12.11,12.08,7.77,9.02,12.33,13.92,6.38,8.68,7.37
2046,10.36,16.42,10.12,12.27,12.58,12.66,8.21,9.53,12.74,14.58,6.79,9.09,7.81
2047,9.92,15.37,9.23,11.33,11.90,12.50,7.88,9.20,12.17,13.67,6.22,8.70,7.48
2048,10.05,15.78,9.41,11.57,12.11,12.46,7.67,9.17,12.38,14.00,6.21,8.69,7.24
2049,10.20,15.96,9.84,11.91,12.35,12.53,8.10,9.55,12.61,14.11,6.71,9.11,7.69
2050,9.73,15.43,9.54,11.53,11.91,12.27,7.71,9.05,12.16,13.70,6.13,8.59,7.28
2051,9.96,15.72,9.64,11.69,12.04,12.42,7.92,9.31,12.26,13.87,6.39,8.80,7.51
2052,10.35,15.92,9.92,11.97,12.31,13.01,8.40,9.89,12.54,14.04,6.78,9.25,8.00
2053,10.09,15.60,9.71,11.78,12.18,12.59,8.22,9.51,12.41,13.93,6.64,9.03,7.86
2054,10.08,15.75,9.61,11.72,12.14,12.57,8.18,9.43,12.38,13.95,6.46,8.95,7.84
2055,9.93,15.80,9.51,11.63,12.08,12.23,7.89,9.22,12.31,13.93,6.35,8.78,7.52
2056,9.78,15.50,9.32,11.42,11.84,12.27,7.69,9.12,12.07,13.63,6.28,8.62,7.25
2057,10.15,15.92,9.98,12.00,12.28,12.63,8.16,9.45,12.48,14.08,6.74,9.01,7.75
2058,10.10,16.01,9.72,11.82,12.16,12.49,8.07,9.42,12.37,14.05,6.59,8.94,7.69
2059,10.76,16.52,10.48,12.58,12.93,13.07,8.54,10.01,13.11,14.79,7.35,9.56,8.08
2060,10.17,15.97,9.86,11.88,12.14,12.71,8.24,9.62,12.32,13.94,6.74,9.04,7.84
2061,10.09,15.74,9.48,11.56,11.96,12.58,8.06,9.56,12.20,13.82,6.32,8.90,7.71
2062,10.30,15.95,10.11,12.05,12.24,13.03,8.50,9.74,12.43,13.98,6.95,9.20,8.11
2063,10.18,15.92,9.94,11.95,12.30,12.59,8.24,9.56,12.52,14.07,6.80,9.12,7.87
2064,10.12,15.91,10.07,12.06,12.40,12.52,8.11,9.35,12.60,14.16,6.79,8.99,7.69
2065,9.84,15.54,9.52,11.57,12.01,12.17,7.92,9.20,12.25,13.70,6.48,8.81,7.54
2066,10.15,15.99,9.85,11.99,12.53,12.42,7.95,9.24,12.82,14.33,6.61,8.99,7.53
2067,9.91,15.43,9.46,11.53,11.93,12.49,7.94,9.30,12.17,13.69,6.32,8.77,7.55
2068,10.27,15.99,10.33,12.31,12.58,12.58,8.33,9.58,12.77,14.18,7.30,9.31,7.89
2069,10.03,15.63,9.50,11.61,12.04,12.53,7.85,9.43,12.27,13.85,6.34,8.83,7.41
2070,10.00,15.68,9.56,11.64,12.01,12.45,7.97,9.45,12.23,13.80,6.45,8.87,7.59
2071,10.10,15.74,9.71,11.81,12.24,12.48,8.02,9.39,12.47,14.02,6.62,8.94,7.63
2072,10.29,15.93,9.77,11.90,12.39,12.66,8.07,9.52,12.63,14.25,6.60,9.03,7.66
2073,10.20,15.78,9.80,11.85,12.30,12.69,8.26,9.52,12.53,14.08,6.67,9.06,7.87
2074,10.23,15.84,9.94,11.99,12.38,12.60,8.20,9.56,12.61,14.10,6.84,9.14,7.79
2075,10.20,15.91,9.81,11.92,12.34,12.52,8.09,9.42,12.58,14.19,6.59,8.99,7.71
2076,10.24,16.00,9.68,11.81,12.24,12.55,8.08,9.55,12.50,14.15,6.38,8.99,7.74
2077,10.32,15.89,9.71,11.81,12.28,13.15,8.58,9.78,12.51,13.98,6.87,9.25,8.19
2078,10.32,15.88,9.82,11.93,12.36,12.87,8.43,9.73,12.59,14.09,6.84,9.22,8.08
2079,10.05,15.78,9.44,11.58,12.07,12.56,8.47,9.52,12.29,13.84,6.68,9.07,8.18
2080,10.03,15.55,9.50,11.61,12.15,12.58,8.01,9.40,12.43,13.85,6.42,8.94,7.60
2081,10.12,15.93,9.72,11.82,12.24,12.56,8.04,9.38,12.47,14.11,6.48,8.90,7.62
2082,9.95,15.75,9.65,11.72,12.09,12.40,7.86,9.30,12.31,13.88,6.47,8.82,7.43
2083,10.20,15.87,9.83,11.93,12.32,12.76,8.34,9.55,12.54,14.13,6.62,9.07,7.98
2084,10.13,15.82,9.82,11.89,12.19,12.91,8.27,9.48,12.38,13.96,6.75,8.99,7.83
2085,10.18,15.78,9.82,11.88,12.28,12.69,8.31,9.58,12.50,14.03,6.75,9.11,7.92
2086,10.42,16.28,10.18,12.27,12.55,12.79,8.58,9.82,12.75,14.33,7.16,9.40,8.20
2087,10.58,16.30,10.18,12.29,12.73,13.05,8.50,9.81,12.97,14.55,6.98,9.38,8.10
2088,10.23,16.50,9.97,12.11,12.39,12.53,8.17,9.53,12.62,14.29,6.67,9.09,7.80
2089,10.04,15.69,9.63,11.71,12.03,12.54,8.00,9.43,12.18,13.92,6.59,8.84,7.58
2090,10.13,15.63,9.87,11.93,12.25,12.80,8.31,9.41,12.44,14.01,6.74,9.00,7.91
2091,10.33,15.74,9.97,11.99,12.43,12.91,8.57,9.82,12.65,14.06,7.03,9.36,8.20
2092,9.93,15.89,9.40,11.56,12.04,12.19,7.58,9.13,12.30,14.00,6.11,8.64,7.17
2093,10.22,16.15,10.04,12.09,12.41,12.67,8.45,9.63,12.61,14.14,7.05,9.25,8.05
2094,10.19,15.99,9.97,12.01,12.29,12.55,8.12,9.46,12.49,14.16,6.65,8.99,7.73
2095,9.99,15.90,9.51,11.64,12.00,12.46,7.72,9.25,12.23,13.91,6.26,8.69,7.27
2096,10.22,16.06,9.99,12.05,12.37,12.71,8.34,9.59,12.57,14.14,6.89,9.15,7.95
2097,9.87,15.65,9.63,11.70,12.01,12.23,7.84,9.18,12.18,13.87,6.50,8.73,7.40
2098,10.20,15.89,9.88,11.94,12.29,12.64,8.23,9.64,12.52,14.10,6.65,9.10,7.85
2099,10.25,16.22,10.03,12.13,12.45,12.51,7.99,9.45,12.64,14.36,6.76,9.01,7.55
2100,10.32,16.17,10.00,12.09,12.47,12.69,8.37,9.57,12.68,14.32,6.85,9.16,8.00
