Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,15.70,15.98,17.53,11.44,23.05,10.26,18.45,21.48,19.22,23.90,9.20,16.01,16.13,11.96,22.17,10.66,12.36,15.87,9.97,17.70,8.13,19.88,21.74,5.49,16.33
2016,15.65,16.05,17.43,11.26,22.65,10.55,18.18,21.43,19.15,23.52,8.98,16.08,15.97,11.91,22.01,10.75,12.62,15.70,9.88,17.56,8.14,19.71,21.52,5.45,16.18
2017,15.82,16.20,17.71,11.48,22.78,10.65,18.48,21.62,19.40,23.70,9.27,16.18,16.21,12.12,22.25,10.86,12.62,15.89,10.04,17.79,8.31,19.98,21.66,5.54,16.38
2018,15.69,15.99,17.48,11.51,22.71,10.58,18.31,21.27,19.09,23.49,9.15,16.09,16.17,12.10,21.80,10.84,12.54,15.78,9.99,17.76,8.20,19.71,21.68,5.62,16.26
2019,15.83,16.14,17.43,11.56,22.88,10.71,18.60,21.39,19.27,23.69,9.33,16.25,16.30,12.12,22.16,10.77,12.64,15.98,10.11,18.02,8.22,19.78,21.85,5.41,16.39
2020,15.83,16.00,17.37,11.66,23.04,10.56,18.42,21.81,19.26,23.91,9.25,16.28,16.33,12.07,22.51,10.80,12.65,15.96,10.11,17.87,8.28,19.89,21.79,5.61,16.48
2021,15.89,16.28,17.71,11.59,23.15,10.54,18.54,21.61,19.28,24.00,9.37,16.37,16.32,12.23,22.37,10.83,12.65,15.99,10.17,17.95,8.19,19.99,21.86,5.66,16.50
2022,15.94,16.19,17.66,11.86,23.05,10.60,18.61,21.64,19.35,24.03,9.72,16.40,16.40,12.27,22.52,10.91,12.71,16.24,10.21,17.97,8.28,19.91,21.77,5.56,16.63
2023,15.81,16.05,17.28,11.51,22.93,10.89,18.18,21.57,18.99,23.92,9.35,16.28,16.10,12.11,22.36,11.06,12.80,15.95,10.01,17.62,8.46,19.66,21.50,5.54,16.35
2024,16.05,16.26,17.69,12.05,23.09,10.70,18.80,21.67,19.38,24.06,9.76,16.46,16.73,12.36,22.46,10.97,12.81,16.33,10.35,18.18,8.36,20.07,22.03,5.57,16.85
