Variable:,tas
2015,26.02
2016,25.91
2017,25.86
2018,26.06
2019,25.94
2020,25.97
2021,25.97
2022,26.10
2023,26.12
2024,26.14
2025,26.35
2026,26.17
2027,26.35
2028,26.42
2029,26.29
2030,26.35
2031,26.40
2032,26.27
2033,26.32
2034,26.49
2035,26.42
2036,26.41
2037,26.55
2038,26.45
2039,26.38
2040,26.53
2041,26.26
2042,26.61
2043,26.59
2044,26.63
2045,26.59
2046,26.69
2047,26.63
2048,26.62
2049,26.78
2050,26.75
2051,26.67
2052,26.92
2053,26.58
2054,26.76
2055,26.68
2056,26.68
2057,26.57
2058,26.63
2059,26.85
2060,26.78
2061,26.64
2062,26.92
2063,26.99
2064,26.66
2065,26.66
2066,26.71
2067,26.75
2068,26.76
2069,26.72
2070,26.87
2071,26.64
2072,26.64
2073,27.02
2074,26.86
2075,26.71
2076,26.83
2077,26.74
2078,26.85
2079,26.94
2080,26.86
2081,26.89
2082,26.89
2083,26.55
2084,26.70
2085,26.80
2086,26.89
2087,27.03
2088,26.86
2089,26.67
2090,26.81
2091,26.92
2092,26.98
2093,26.90
2094,26.82
2095,26.67
2096,26.82
2097,27.00
2098,26.76
2099,26.82
2100,26.82
