Variable:,tas
,Tokelau,"Administrative unit not available"
2015,28.66,28.28
2016,28.51,28.15
2017,28.51,28.15
2018,28.59,28.19
2019,28.57,28.20
2020,28.61,28.25
2021,28.59,28.22
2022,28.67,28.31
2023,28.75,28.38
2024,28.74,28.36
2025,28.67,28.32
2026,28.83,28.45
2027,28.92,28.53
2028,28.78,28.42
2029,28.76,28.38
2030,28.87,28.49
2031,28.98,28.63
2032,29.00,28.64
2033,28.96,28.59
2034,28.95,28.58
2035,28.87,28.52
2036,28.93,28.56
2037,29.05,28.71
2038,29.06,28.70
2039,29.08,28.71
2040,29.01,28.67
2041,29.08,28.72
2042,29.07,28.69
2043,29.31,28.96
2044,29.11,28.75
2045,29.20,28.81
2046,29.21,28.86
2047,29.18,28.83
2048,29.13,28.78
2049,29.22,28.86
2050,29.30,28.90
2051,29.24,28.87
2052,29.30,28.95
2053,29.18,28.80
2054,29.30,28.92
2055,29.31,28.93
2056,29.33,28.96
2057,29.38,29.01
2058,29.33,28.97
2059,29.29,28.93
2060,29.23,28.86
2061,29.23,28.85
2062,29.25,28.88
2063,29.32,28.92
2064,29.36,28.97
2065,29.22,28.85
2066,29.26,28.89
2067,29.34,28.96
2068,29.32,28.93
2069,29.34,28.99
2070,29.42,29.06
2071,29.29,28.91
2072,29.41,29.02
2073,29.36,28.99
2074,29.27,28.90
2075,29.31,28.95
2076,29.35,29.01
2077,29.53,29.17
2078,29.40,29.01
2079,29.51,29.14
2080,29.33,28.95
2081,29.41,29.03
2082,29.37,29.00
2083,29.31,28.95
2084,29.36,29.00
2085,29.46,29.09
2086,29.40,29.01
2087,29.39,29.02
2088,29.29,28.93
2089,29.52,29.13
2090,29.26,28.89
2091,29.34,28.98
2092,29.39,29.04
2093,29.42,29.04
2094,29.32,28.98
2095,29.51,29.14
2096,29.31,28.92
2097,29.24,28.88
2098,29.37,28.99
2099,29.44,29.05
2100,29.48,29.11
