Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2015,17.30,18.25,21.38,18.47,21.38,21.41,21.38
2016,17.43,18.38,21.49,18.57,21.49,21.51,21.49
2017,17.43,18.38,21.49,18.59,21.49,21.51,21.49
2018,17.39,18.37,21.52,18.54,21.52,21.52,21.52
2019,17.13,18.10,21.28,18.30,21.28,21.30,21.28
2020,17.87,18.85,22.02,18.99,22.02,22.00,22.02
2021,17.51,18.48,21.68,18.66,21.68,21.68,21.68
2022,17.64,18.60,21.70,18.73,21.70,21.68,21.70
2023,17.72,18.69,21.84,18.88,21.84,21.86,21.84
2024,17.65,18.59,21.71,18.80,21.71,21.73,21.71
2025,17.96,18.91,22.04,19.11,22.04,22.05,22.04
2026,18.03,18.96,22.01,19.18,22.01,22.05,22.01
2027,18.00,18.95,22.03,19.11,22.03,22.04,22.03
2028,17.71,18.68,21.87,18.89,21.87,21.88,21.87
2029,17.85,18.80,21.89,19.00,21.89,21.92,21.89
2030,18.01,18.95,22.07,19.13,22.07,22.07,22.07
2031,17.84,18.79,21.86,19.00,21.86,21.91,21.86
2032,18.26,19.21,22.27,19.35,22.27,22.26,22.27
2033,18.03,18.98,22.05,19.20,22.05,22.09,22.05
2034,18.19,19.13,22.22,19.33,22.22,22.24,22.22
2035,18.35,19.29,22.35,19.46,22.35,22.36,22.35
2036,17.90,18.86,22.02,19.04,22.02,22.02,22.02
2037,17.85,18.81,21.93,18.98,21.93,21.93,21.93
2038,18.30,19.24,22.26,19.41,22.26,22.28,22.26
2039,18.00,18.96,22.09,19.12,22.09,22.08,22.09
2040,18.03,19.01,22.16,19.17,22.16,22.16,22.16
2041,18.11,19.05,22.15,19.25,22.15,22.17,22.15
2042,17.94,18.93,22.13,19.10,22.13,22.12,22.13
2043,18.00,18.93,22.02,19.14,22.02,22.05,22.02
2044,18.13,19.05,22.06,19.22,22.06,22.07,22.06
2045,18.43,19.39,22.49,19.54,22.49,22.48,22.49
2046,19.14,20.10,23.22,20.26,23.22,23.22,23.22
2047,18.27,19.21,22.31,19.42,22.31,22.33,22.31
2048,18.14,19.09,22.21,19.29,22.21,22.23,22.21
2049,18.28,19.25,22.40,19.43,22.40,22.42,22.40
2050,18.19,19.16,22.32,19.31,22.32,22.31,22.32
2051,18.30,19.27,22.44,19.41,22.44,22.42,22.44
2052,18.49,19.45,22.58,19.65,22.58,22.60,22.58
2053,18.51,19.45,22.51,19.64,22.51,22.52,22.51
2054,18.34,19.29,22.38,19.44,22.38,22.37,22.38
2055,18.15,19.13,22.32,19.31,22.32,22.32,22.32
2056,18.46,19.42,22.56,19.59,22.56,22.55,22.56
2057,18.45,19.43,22.60,19.58,22.60,22.59,22.60
2058,18.54,19.49,22.55,19.66,22.55,22.56,22.55
2059,18.64,19.61,22.76,19.79,22.76,22.76,22.76
2060,18.59,19.52,22.58,19.74,22.58,22.62,22.58
2061,18.58,19.54,22.68,19.74,22.68,22.69,22.68
2062,18.58,19.55,22.72,19.76,22.72,22.74,22.72
2063,18.81,19.75,22.82,19.86,22.82,22.79,22.82
2064,18.64,19.58,22.63,19.75,22.63,22.64,22.63
2065,18.24,19.21,22.40,19.42,22.40,22.42,22.40
2066,18.47,19.39,22.42,19.62,22.42,22.47,22.42
2067,18.67,19.61,22.66,19.78,22.66,22.68,22.66
2068,18.77,19.74,22.90,19.91,22.90,22.90,22.90
2069,18.50,19.43,22.51,19.65,22.51,22.54,22.51
2070,18.40,19.35,22.47,19.53,22.47,22.47,22.47
2071,18.50,19.46,22.61,19.63,22.61,22.62,22.61
2072,18.29,19.26,22.40,19.45,22.40,22.42,22.40
2073,18.59,19.56,22.71,19.75,22.71,22.73,22.71
2074,18.48,19.43,22.56,19.63,22.56,22.58,22.56
2075,18.49,19.44,22.57,19.63,22.57,22.59,22.57
2076,18.30,19.28,22.47,19.47,22.47,22.48,22.47
2077,18.63,19.56,22.60,19.80,22.60,22.66,22.60
2078,18.65,19.58,22.62,19.77,22.62,22.63,22.62
2079,18.50,19.42,22.46,19.66,22.46,22.51,22.46
2080,18.37,19.34,22.48,19.51,22.48,22.49,22.48
2081,18.72,19.67,22.75,19.83,22.75,22.75,22.75
2082,18.40,19.32,22.34,19.50,22.34,22.36,22.34
2083,18.78,19.73,22.82,19.92,22.82,22.84,22.82
2084,18.62,19.56,22.65,19.78,22.65,22.69,22.65
2085,18.59,19.57,22.77,19.79,22.77,22.80,22.77
2086,18.80,19.76,22.88,20.00,22.88,22.93,22.88
2087,18.90,19.86,23.03,20.10,23.03,23.08,23.03
2088,18.63,19.63,22.84,19.84,22.84,22.88,22.84
2089,18.54,19.50,22.64,19.69,22.64,22.66,22.64
2090,18.48,19.42,22.52,19.64,22.52,22.56,22.52
2091,18.50,19.49,22.71,19.65,22.71,22.69,22.71
2092,18.49,19.47,22.71,19.71,22.71,22.75,22.71
2093,18.71,19.67,22.79,19.86,22.79,22.81,22.79
2094,18.66,19.63,22.81,19.79,22.81,22.79,22.81
2095,18.40,19.36,22.54,19.61,22.54,22.59,22.54
2096,18.77,19.75,22.93,19.87,22.93,22.89,22.93
2097,18.51,19.49,22.66,19.69,22.66,22.68,22.66
2098,18.67,19.64,22.81,19.82,22.81,22.82,22.81
2099,18.59,19.54,22.69,19.73,22.69,22.69,22.69
2100,18.66,19.64,22.85,19.83,22.85,22.85,22.85
