Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,11.86,13.32,12.14
2016,12.02,13.49,12.31
2017,12.17,13.57,12.41
2018,11.79,13.28,12.09
2019,11.89,13.35,12.17
2020,12.13,13.48,12.34
2021,12.36,13.78,12.62
2022,12.01,13.51,12.33
2023,12.21,13.64,12.47
2024,12.05,13.54,12.35
2025,12.48,13.89,12.74
2026,12.32,13.71,12.57
2027,12.21,13.63,12.49
2028,12.49,13.90,12.74
2029,12.37,13.75,12.63
2030,12.44,13.90,12.74
2031,12.60,13.89,12.84
2032,12.41,13.82,12.68
2033,12.33,13.77,12.61
2034,12.36,13.89,12.71
2035,12.52,13.97,12.83
2036,12.39,13.85,12.69
2037,12.33,13.75,12.60
2038,12.83,14.29,13.11
2039,12.86,14.25,13.11
2040,12.46,13.96,12.79
2041,12.45,13.97,12.80
2042,12.67,14.08,12.89
2043,12.49,13.93,12.76
2044,12.92,14.40,13.22
2045,12.65,14.11,12.94
2046,12.95,14.38,13.27
2047,13.18,14.45,13.37
2048,12.63,14.09,12.93
2049,13.07,14.46,13.30
2050,13.35,14.84,13.64
2051,12.78,14.22,13.04
2052,13.03,14.46,13.31
2053,13.14,14.67,13.45
2054,13.09,14.54,13.37
2055,12.93,14.33,13.18
2056,12.74,14.25,13.07
2057,13.04,14.47,13.30
2058,13.49,14.95,13.80
2059,12.88,14.34,13.19
2060,13.12,14.60,13.41
2061,13.33,14.74,13.58
2062,13.61,15.05,13.88
2063,13.08,14.44,13.34
2064,13.28,14.76,13.60
2065,12.62,14.13,12.94
2066,13.24,14.71,13.53
2067,13.47,14.87,13.75
2068,13.34,14.76,13.61
2069,13.48,14.83,13.70
2070,13.06,14.45,13.30
2071,13.43,14.81,13.66
2072,12.61,14.15,12.94
2073,13.13,14.62,13.45
2074,13.33,14.73,13.59
2075,13.50,15.02,13.82
2076,12.88,14.43,13.20
2077,13.30,14.84,13.61
2078,13.43,14.87,13.69
2079,13.66,15.09,13.91
2080,13.52,14.99,13.80
2081,13.22,14.68,13.49
2082,13.10,14.52,13.37
2083,13.42,14.88,13.71
2084,13.75,15.20,14.04
2085,13.07,14.57,13.37
2086,13.58,15.08,13.89
2087,13.12,14.56,13.43
2088,13.07,14.52,13.36
2089,13.19,14.64,13.49
2090,13.09,14.47,13.34
2091,12.88,14.35,13.18
2092,13.45,14.80,13.67
2093,13.40,14.91,13.74
2094,13.42,14.88,13.69
2095,13.61,15.00,13.86
2096,13.81,15.21,14.07
2097,13.20,14.65,13.46
2098,13.15,14.56,13.47
2099,13.65,14.99,13.88
2100,13.59,15.09,13.89
