Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2015,28.60,28.52,27.68,27.11,28.89,26.60,26.38
2016,28.66,28.49,27.79,27.27,28.78,26.79,26.59
2017,28.70,28.60,27.69,27.18,29.07,26.72,26.53
2018,28.66,28.54,27.68,27.14,28.94,26.66,26.45
2019,28.74,28.62,27.85,27.36,28.97,26.91,26.72
2020,28.92,28.86,27.92,27.28,29.25,26.70,26.46
2021,28.91,28.84,27.83,27.22,29.31,26.67,26.44
2022,28.81,28.69,27.90,27.36,29.04,26.87,26.66
2023,28.80,28.70,27.81,27.27,29.10,26.79,26.58
2024,28.96,28.82,28.03,27.49,29.19,26.99,26.78
2025,28.96,28.83,28.01,27.47,29.21,26.98,26.77
2026,28.98,28.85,28.03,27.49,29.27,27.00,26.79
2027,29.18,29.06,28.22,27.66,29.43,27.15,26.94
2028,29.12,29.05,28.13,27.54,29.48,27.00,26.77
2029,29.27,29.21,28.25,27.65,29.67,27.12,26.89
2030,29.08,29.00,28.16,27.56,29.32,27.00,26.77
2031,29.13,29.04,28.16,27.63,29.45,27.14,26.94
2032,29.36,29.24,28.32,27.74,29.63,27.22,27.00
2033,29.11,29.02,28.20,27.64,29.37,27.13,26.91
2034,29.26,29.19,28.28,27.73,29.61,27.22,27.01
2035,29.22,29.08,28.26,27.69,29.46,27.18,26.96
2036,29.30,29.23,28.30,27.72,29.66,27.20,26.98
2037,29.57,29.48,28.56,27.96,29.89,27.41,27.18
2038,29.27,29.16,28.31,27.75,29.56,27.25,27.04
2039,29.22,29.08,28.31,27.80,29.44,27.33,27.13
2040,29.32,29.28,28.45,27.85,29.59,27.29,27.06
2041,29.19,29.07,28.22,27.66,29.47,27.16,26.95
2042,29.40,29.30,28.42,27.83,29.68,27.29,27.06
2043,29.48,29.36,28.46,27.87,29.76,27.34,27.11
2044,29.31,29.17,28.38,27.86,29.54,27.38,27.18
2045,29.43,29.33,28.54,27.96,29.67,27.44,27.22
2046,29.62,29.54,28.59,27.96,29.95,27.39,27.15
2047,29.46,29.31,28.52,28.03,29.72,27.59,27.40
2048,29.38,29.21,28.45,27.98,29.60,27.54,27.36
2049,29.59,29.46,28.67,28.16,29.83,27.70,27.51
2050,29.72,29.55,28.72,28.17,29.92,27.66,27.45
2051,29.86,29.71,28.79,28.18,30.11,27.62,27.38
2052,29.62,29.42,28.79,28.19,29.65,27.64,27.41
2053,29.55,29.45,28.59,28.06,29.84,27.57,27.37
2054,29.76,29.61,28.75,28.17,29.98,27.65,27.43
2055,29.86,29.74,28.86,28.28,30.11,27.76,27.54
2056,29.56,29.43,28.67,28.07,29.74,27.54,27.31
2057,29.63,29.51,28.68,28.10,29.86,27.58,27.36
2058,29.83,29.70,28.82,28.27,30.12,27.76,27.55
2059,29.96,29.89,29.06,28.49,30.23,27.98,27.76
2060,29.55,29.42,28.61,28.03,29.79,27.50,27.28
2061,29.62,29.52,28.67,28.15,29.94,27.68,27.48
2062,29.71,29.58,28.82,28.26,29.92,27.75,27.54
2063,29.87,29.76,28.88,28.30,30.16,27.77,27.55
2064,29.86,29.71,28.92,28.35,30.05,27.84,27.62
2065,29.67,29.54,28.74,28.12,29.85,27.57,27.33
2066,29.79,29.69,28.83,28.26,30.06,27.75,27.53
2067,29.74,29.66,28.70,28.13,30.12,27.62,27.40
2068,29.82,29.71,28.81,28.21,30.10,27.65,27.42
2069,29.93,29.87,29.07,28.46,30.16,27.91,27.68
2070,29.88,29.81,28.93,28.32,30.18,27.77,27.54
2071,29.72,29.64,28.81,28.28,30.01,27.79,27.59
2072,29.77,29.70,28.82,28.24,30.10,27.72,27.50
2073,30.08,29.89,29.10,28.49,30.23,27.93,27.69
2074,29.60,29.45,28.65,28.08,29.82,27.57,27.35
2075,29.74,29.59,28.75,28.21,29.99,27.71,27.50
2076,29.88,29.75,28.99,28.41,30.04,27.88,27.66
2077,29.92,29.72,28.93,28.42,30.11,27.95,27.75
2078,29.93,29.84,28.97,28.37,30.21,27.84,27.61
2079,29.92,29.87,28.95,28.31,30.24,27.72,27.47
2080,29.87,29.76,28.96,28.43,30.12,27.94,27.74
2081,29.89,29.77,28.99,28.45,30.09,27.97,27.76
2082,30.09,29.96,29.10,28.50,30.34,27.95,27.72
2083,29.81,29.71,28.87,28.33,30.09,27.84,27.63
2084,29.84,29.73,28.90,28.33,30.13,27.82,27.60
2085,29.77,29.65,28.76,28.21,30.07,27.70,27.49
2086,29.91,29.72,28.88,28.37,30.15,27.91,27.71
2087,30.02,29.84,29.01,28.38,30.22,27.81,27.57
2088,29.75,29.62,28.87,28.38,29.95,27.94,27.75
2089,29.74,29.64,28.81,28.28,30.05,27.80,27.60
2090,29.96,29.84,28.96,28.46,30.26,28.01,27.82
2091,29.90,29.74,28.96,28.40,30.10,27.89,27.68
2092,29.83,29.70,28.86,28.32,30.10,27.83,27.62
2093,29.83,29.69,28.83,28.30,30.12,27.82,27.62
2094,29.91,29.77,28.90,28.29,30.12,27.73,27.50
2095,29.92,29.76,28.80,28.30,30.25,27.84,27.65
2096,29.77,29.61,28.82,28.24,29.94,27.70,27.48
2097,29.78,29.62,28.96,28.46,29.93,28.01,27.82
2098,29.86,29.73,28.82,28.26,30.18,27.75,27.53
2099,29.61,29.49,28.66,28.10,29.89,27.60,27.39
2100,29.95,29.86,29.07,28.51,30.17,28.00,27.78
