Variable:,tas
2015,26.85
2016,27.01
2017,26.66
2018,26.95
2019,27.23
2020,26.97
2021,26.98
2022,27.27
2023,27.16
2024,27.51
2025,27.21
2026,27.33
2027,27.55
2028,27.58
2029,27.53
2030,27.58
2031,27.55
2032,27.67
2033,27.42
2034,27.54
2035,27.43
2036,27.65
2037,27.71
2038,27.67
2039,27.70
2040,27.71
2041,27.37
2042,27.60
2043,27.95
2044,27.91
2045,27.80
2046,27.91
2047,28.03
2048,27.68
2049,27.85
2050,28.04
2051,27.87
2052,28.20
2053,27.83
2054,27.72
2055,27.85
2056,27.95
2057,27.75
2058,28.04
2059,28.28
2060,27.97
2061,27.90
2062,28.25
2063,28.17
2064,27.92
2065,27.90
2066,27.93
2067,28.17
2068,28.08
2069,27.96
2070,28.17
2071,27.81
2072,27.82
2073,28.26
2074,28.05
2075,27.83
2076,27.83
2077,28.03
2078,28.17
2079,28.15
2080,28.04
2081,28.06
2082,28.35
2083,27.91
2084,28.11
2085,28.22
2086,28.89
2087,28.11
2088,28.23
2089,28.10
2090,27.92
2091,28.11
2092,28.18
2093,28.18
2094,27.77
2095,27.78
2096,28.22
2097,28.11
2098,28.06
2099,28.09
2100,27.95
