Variable:,tas
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
2015,10.24,11.24,10.40,9.15,11.26
2016,10.27,11.26,10.33,9.19,11.22
2017,10.34,11.42,10.47,9.15,11.40
2018,10.22,11.22,10.19,9.11,11.20
2019,10.25,11.20,10.34,9.21,11.16
2020,10.14,11.15,10.16,9.02,11.09
2021,10.31,11.29,10.30,9.23,11.21
2022,10.41,11.48,10.35,9.19,11.41
2023,10.36,11.35,10.37,9.27,11.28
2024,10.46,11.47,10.56,9.38,11.37
2025,10.33,11.33,10.34,9.23,11.21
2026,10.38,11.39,10.33,9.27,11.27
2027,10.45,11.44,10.42,9.31,11.41
2028,10.47,11.49,10.53,9.33,11.51
2029,10.65,11.65,10.78,9.57,11.60
2030,10.33,11.31,10.32,9.24,11.30
2031,10.40,11.35,10.52,9.39,11.39
2032,10.35,11.41,10.43,9.21,11.41
2033,10.52,11.55,10.44,9.36,11.52
2034,10.33,11.38,10.37,9.14,11.37
2035,10.48,11.60,10.48,9.24,11.46
2036,10.87,11.81,11.02,9.86,11.87
2037,10.65,11.73,10.61,9.46,11.69
2038,10.56,11.61,10.50,9.39,11.53
2039,10.78,11.82,10.68,9.63,11.71
2040,10.68,11.75,10.65,9.45,11.80
2041,10.72,11.73,10.71,9.60,11.70
2042,10.97,12.02,10.87,9.79,11.82
2043,10.89,11.97,10.98,9.66,11.97
2044,10.75,11.75,11.01,9.66,11.78
2045,10.94,11.94,10.95,9.85,11.93
2046,10.91,12.01,10.95,9.68,12.04
2047,10.85,11.93,10.78,9.68,11.92
2048,11.05,12.06,10.96,9.92,11.96
2049,11.11,12.23,10.91,9.88,12.08
2050,11.01,12.01,11.05,9.92,11.99
2051,11.00,12.12,10.83,9.76,12.01
2052,10.81,11.92,10.86,9.63,11.89
2053,11.10,12.22,10.92,9.79,12.09
2054,10.84,11.94,10.79,9.59,11.93
2055,10.93,12.03,10.92,9.69,11.94
2056,10.74,11.85,10.60,9.48,11.83
2057,10.91,12.00,10.89,9.67,11.91
2058,10.73,11.82,10.73,9.54,11.78
2059,10.91,11.99,10.85,9.67,11.99
2060,10.98,12.10,11.04,9.72,12.26
2061,11.27,12.41,11.05,10.02,12.34
2062,10.90,12.09,10.68,9.54,11.99
2063,11.02,11.99,11.18,9.99,12.04
2064,11.08,12.23,11.01,9.82,12.05
2065,10.79,11.78,10.78,9.71,11.59
2066,11.14,12.18,11.05,9.99,12.10
2067,11.08,12.26,10.91,9.78,12.12
2068,11.06,12.19,11.07,9.81,12.01
2069,11.27,12.41,11.16,9.97,12.28
2070,10.93,11.97,10.95,9.80,11.99
2071,11.01,12.05,11.12,9.86,12.01
2072,10.86,11.81,10.83,9.81,11.82
2073,11.12,12.21,11.04,9.88,12.13
2074,11.30,12.36,11.04,10.12,12.04
2075,10.97,12.08,10.96,9.69,11.97
2076,11.15,12.22,11.16,9.94,12.16
2077,11.35,12.38,11.36,10.18,12.36
2078,11.23,12.38,11.05,9.95,12.31
2079,11.29,12.32,11.29,10.15,12.15
2080,11.39,12.40,11.34,10.26,12.36
2081,11.25,12.37,11.01,9.97,12.25
2082,11.21,12.25,11.23,10.05,12.25
2083,11.27,12.38,11.09,10.06,12.23
2084,11.02,12.17,10.92,9.70,12.11
2085,11.52,12.70,11.40,10.20,12.60
2086,10.99,12.07,10.98,9.78,12.06
2087,11.11,12.22,11.10,9.86,12.18
2088,11.19,12.31,11.14,9.94,12.16
2089,11.18,12.27,11.06,9.94,12.27
2090,11.14,12.25,11.11,9.89,12.18
2091,11.13,12.14,11.15,9.98,12.14
2092,11.69,12.71,11.67,10.57,12.66
2093,11.29,12.40,11.34,10.06,12.43
2094,11.29,12.35,11.25,10.06,12.25
2095,11.24,12.30,11.28,10.03,12.23
2096,11.14,12.19,11.00,9.94,12.04
2097,11.29,12.44,11.06,9.98,12.39
2098,11.06,12.08,10.99,9.94,12.02
2099,11.14,12.16,11.08,10.00,12.16
2100,11.08,12.24,10.93,9.77,12.11
