Variable:,tas
,"British Indian Ocean Territory","Administrative unit not available"
2015,27.34,27.02
2016,27.32,26.97
2017,27.31,26.94
2018,27.40,27.11
2019,27.47,27.13
2020,27.46,27.12
2021,27.49,27.15
2022,27.54,27.21
2023,27.54,27.20
2024,27.63,27.29
2025,27.46,27.12
2026,27.73,27.39
2027,27.63,27.26
2028,27.71,27.34
2029,27.61,27.25
2030,27.65,27.27
2031,27.75,27.38
2032,27.78,27.43
2033,27.81,27.45
2034,27.90,27.52
2035,27.75,27.37
2036,27.85,27.51
2037,27.91,27.61
2038,27.84,27.51
2039,27.95,27.56
2040,27.99,27.64
2041,27.87,27.52
2042,27.90,27.55
2043,27.95,27.60
2044,27.99,27.62
2045,27.92,27.58
2046,27.99,27.66
2047,28.03,27.70
2048,27.99,27.62
2049,28.04,27.70
2050,28.10,27.75
2051,28.16,27.78
2052,28.13,27.79
2053,28.14,27.80
2054,28.08,27.71
2055,28.08,27.71
2056,28.26,27.88
2057,28.04,27.72
2058,28.17,27.80
2059,28.33,27.94
2060,28.25,27.91
2061,28.18,27.83
2062,28.29,27.94
2063,28.32,27.97
2064,28.21,27.84
2065,28.25,27.90
2066,28.28,27.93
2067,28.22,27.81
2068,28.13,27.78
2069,28.34,27.96
2070,28.26,27.89
2071,28.17,27.82
2072,28.12,27.79
2073,28.30,27.94
2074,28.21,27.86
2075,28.15,27.80
2076,28.31,27.96
2077,28.24,27.92
2078,28.30,27.96
2079,28.34,27.96
2080,28.22,27.84
2081,28.15,27.79
2082,28.43,28.06
2083,28.12,27.78
2084,28.22,27.87
2085,28.32,27.97
2086,28.24,27.92
2087,28.37,27.98
2088,28.27,27.90
2089,28.23,27.83
2090,28.29,27.91
2091,28.24,27.91
2092,28.27,27.92
2093,28.38,28.03
2094,28.13,27.79
2095,28.02,27.66
2096,28.28,27.95
2097,28.33,27.98
2098,28.10,27.72
2099,28.24,27.88
2100,28.25,27.90
