Variable:,tas
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1995,8.94,8.64,9.05,9.37,9.35,8.60,9.70,9.45,9.54,9.58,9.18,9.47,9.08,9.31,9.37,9.40
1996,8.92,8.69,8.98,9.39,9.38,8.56,9.79,9.52,9.58,9.58,9.19,9.46,9.10,9.31,9.39,9.41
1997,8.97,8.77,9.00,9.43,9.39,8.62,9.76,9.52,9.54,9.65,9.17,9.53,9.12,9.35,9.43,9.46
1998,9.32,9.08,9.49,9.88,9.74,8.95,9.99,9.77,9.81,10.03,9.45,9.93,9.40,9.80,9.88,9.90
1999,9.18,8.94,9.23,9.59,9.65,8.84,9.98,9.76,9.78,9.81,9.40,9.74,9.35,9.51,9.59,9.64
2000,9.85,9.57,9.98,10.41,10.04,9.56,10.58,10.43,10.26,10.37,9.92,10.34,10.05,10.29,10.41,10.39
2001,9.72,9.52,9.79,10.20,10.08,9.43,10.44,10.20,10.15,10.34,9.76,10.27,9.80,10.10,10.20,10.22
2002,9.17,8.92,9.36,9.81,9.64,8.78,9.91,9.67,9.73,9.98,9.37,9.86,9.27,9.67,9.81,9.83
2003,9.64,9.42,9.72,10.13,10.07,9.29,10.35,10.16,10.20,10.34,9.87,10.21,9.80,10.04,10.13,10.16
2004,9.39,9.09,9.50,9.84,9.71,9.12,10.05,9.84,9.84,10.02,9.48,9.87,9.47,9.76,9.84,9.85
2005,9.47,9.25,9.57,9.98,9.89,9.12,10.23,9.99,10.07,10.19,9.69,10.02,9.60,9.89,9.98,9.99
2006,9.81,9.58,9.99,10.34,10.31,9.41,10.66,10.35,10.48,10.64,10.11,10.41,9.97,10.24,10.34,10.36
2007,9.58,9.37,9.57,10.06,9.99,9.22,10.28,10.06,10.08,10.25,9.73,10.13,9.69,10.01,10.06,10.08
2008,9.67,9.43,9.91,10.33,10.12,9.28,10.28,10.08,10.15,10.42,9.81,10.37,9.72,10.21,10.33,10.34
2009,9.70,9.49,9.86,10.16,10.09,9.34,10.49,10.30,10.26,10.34,9.88,10.26,9.90,10.08,10.16,10.19
2010,9.60,9.36,9.67,10.10,10.05,9.23,10.42,10.13,10.22,10.34,9.84,10.19,9.73,10.00,10.10,10.13
2011,9.84,9.64,9.95,10.38,10.24,9.47,10.50,10.31,10.31,10.53,9.95,10.43,9.94,10.30,10.38,10.40
2012,9.78,9.51,9.88,10.36,10.15,9.41,10.58,10.34,10.28,10.36,9.94,10.39,9.91,10.25,10.36,10.37
2013,9.51,9.27,9.77,10.17,10.00,9.07,10.31,10.03,10.13,10.26,9.74,10.22,9.61,10.05,10.17,10.19
2014,9.88,9.67,9.95,10.29,10.22,9.57,10.57,10.41,10.36,10.46,10.01,10.38,10.04,10.22,10.29,10.32
