Variable:,tas
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1995,8.23,7.90,8.15,7.32,8.80,8.95,7.39,5.74,10.70,8.42,11.45,8.95
1996,8.42,8.26,8.62,7.65,9.08,9.35,7.65,5.98,11.11,8.65,11.82,9.35
1997,8.11,7.93,8.24,7.32,8.83,9.03,7.32,5.69,10.77,8.36,11.52,9.03
1998,8.16,7.92,8.28,7.33,8.83,8.99,7.34,5.71,10.75,8.40,11.64,8.99
1999,8.26,8.02,8.38,7.42,9.00,9.11,7.37,5.79,10.91,8.51,11.72,9.11
2000,8.46,8.10,8.45,7.50,9.24,9.18,7.52,5.85,11.05,8.72,11.80,9.18
2001,8.67,8.48,8.81,7.87,9.38,9.58,7.86,6.20,11.37,8.92,12.11,9.58
2002,8.34,8.07,8.42,7.47,8.98,9.17,7.49,5.82,10.97,8.55,11.72,9.17
2003,8.46,8.17,8.54,7.59,9.07,9.22,7.65,5.98,11.20,8.65,11.93,9.22
2004,8.66,8.33,8.69,7.73,9.30,9.41,7.80,6.11,11.29,8.86,12.03,9.41
2005,8.48,8.24,8.58,7.66,9.18,9.31,7.64,6.01,11.09,8.71,11.88,9.31
2006,8.34,8.08,8.39,7.48,9.01,9.17,7.51,5.84,10.94,8.57,11.65,9.17
2007,8.49,8.18,8.48,7.60,9.15,9.22,7.61,5.99,11.16,8.70,11.89,9.22
2008,8.86,8.42,8.77,7.85,9.55,9.45,7.88,6.28,11.38,9.07,12.11,9.45
2009,8.61,8.50,8.83,7.92,9.29,9.56,7.86,6.30,11.16,8.87,11.94,9.56
2010,8.76,8.54,8.87,7.97,9.37,9.59,7.94,6.36,11.42,8.95,12.15,9.59
2011,8.44,8.28,8.54,7.70,9.07,9.33,7.64,6.09,11.25,8.64,11.99,9.33
2012,8.87,8.65,9.02,8.07,9.50,9.71,8.10,6.49,11.70,9.07,12.45,9.71
2013,8.83,8.63,8.90,8.06,9.45,9.66,8.07,6.45,11.36,9.05,12.15,9.66
2014,9.41,9.16,9.49,8.54,10.14,10.28,8.50,6.91,12.11,9.64,12.80,10.28
