Variable:,tas
1995,26.17
1996,26.28
1997,26.50
1998,26.37
1999,26.28
2000,26.29
2001,26.65
2002,26.63
2003,26.68
2004,26.78
2005,26.90
2006,26.71
2007,26.46
2008,26.85
2009,26.71
2010,26.69
2011,26.79
2012,26.81
2013,26.76
2014,26.92
