Variable:,tas
,Kuwait,"Al Farwaniyah","Al Ahmadi","Al Jahrah","Al Kuwayt",Hawalli
1995,26.08,25.78,26.26,25.72,25.70,26.51
1996,26.35,26.07,26.57,26.03,25.99,26.83
1997,26.49,26.17,26.60,26.11,26.09,26.94
1998,26.25,26.00,26.52,25.95,25.93,26.71
1999,26.34,26.08,26.56,26.02,26.00,26.80
2000,26.37,26.10,26.63,26.05,26.02,26.81
2001,26.85,26.64,27.15,26.59,26.58,27.26
2002,26.67,26.42,26.89,26.36,26.35,27.07
2003,26.77,26.51,26.96,26.45,26.43,27.22
2004,26.49,26.26,26.76,26.23,26.20,26.90
2005,26.69,26.36,26.91,26.32,26.28,27.11
2006,26.72,26.45,26.99,26.39,26.37,27.20
2007,26.87,26.62,27.13,26.57,26.55,27.32
2008,26.75,26.48,27.01,26.44,26.40,27.20
2009,26.76,26.48,27.00,26.41,26.40,27.21
2010,26.98,26.64,27.20,26.59,26.56,27.41
2011,26.89,26.66,27.20,26.59,26.58,27.42
2012,26.92,26.67,27.19,26.63,26.60,27.36
2013,26.86,26.60,27.18,26.54,26.52,27.35
2014,27.18,26.96,27.47,26.91,26.89,27.63
