Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1995,13.11,23.73,22.34,22.29,18.01,20.72
1996,13.05,23.56,22.17,22.26,17.90,20.51
1997,13.20,23.87,22.37,22.19,18.01,20.73
1998,13.10,23.86,22.37,22.12,17.94,20.66
1999,13.37,23.94,22.51,22.31,18.18,20.76
2000,13.47,24.16,22.65,22.42,18.30,20.97
2001,13.47,24.10,22.60,22.65,18.41,21.05
2002,13.55,24.22,22.55,22.67,18.45,21.08
2003,13.27,23.79,22.32,22.36,18.11,20.78
2004,13.48,24.05,22.48,22.70,18.46,21.04
2005,13.48,23.94,22.47,22.43,18.38,20.95
2006,13.27,23.82,22.31,22.22,18.09,20.70
2007,13.37,23.92,22.36,22.35,18.19,20.83
2008,13.38,23.90,22.39,22.29,18.16,20.92
2009,13.42,23.97,22.54,22.50,18.28,20.84
2010,13.62,24.12,22.63,22.59,18.40,21.13
2011,13.49,24.08,22.61,22.53,18.39,21.05
2012,13.70,24.23,22.78,22.81,18.57,21.18
2013,13.63,24.07,22.51,22.57,18.53,21.16
2014,13.75,24.15,22.59,22.65,18.49,21.16
